,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572220419.2183266,False,0.0,0.0,0,0,0,0
1,1572220419.2245476,False,0.0,0.0,0,0,0,0
2,1572220419.4000568,False,0.0,0.0,0,0,0,0
3,1572220419.5609403,False,0.0,0.0,0,0,0,0
4,1572220419.7240982,False,0.0,0.0,0,0,0,0
5,1572220419.8855152,False,0.0,0.0,0,0,0,0
6,1572220420.048318,False,0.0,0.0,0,0,0,0
7,1572220420.2126067,False,0.0,0.0,0,0,0,0
8,1572220420.3690326,False,0.0,0.0,0,0,0,0
9,1572220420.5317616,False,0.0,0.0,0,0,0,0
10,1572220420.7522528,False,0.085132,10.005333,1280,720,4,0
11,1572220420.9160862,False,0.260598,10.005333,1280,720,5,0
12,1572220421.0804543,False,0.425958,10.005333,1280,720,8,2
13,1572220421.2392602,False,0.588936,10.005333,1280,720,14,7
14,1572220421.423881,False,0.758127,20.010666,1280,720,16,8
15,1572220421.6286283,False,0.964508,20.010666,1280,720,22,12
16,1572220421.7998111,False,1.14756,20.010666,1280,720,29,15
17,1572220421.9874127,False,1.324594,20.010666,1280,720,33,16
18,1572220422.140987,False,1.486033,20.010666,1280,720,37,16
19,1572220422.306079,False,1.652286,20.010666,1280,720,42,17
20,1572220422.4688926,False,1.816269,30.015999,1280,720,45,18
21,1572220422.635114,False,1.981353,30.015999,1280,720,50,20
22,1572220422.8103495,False,2.139066,30.015999,1280,720,54,20
23,1572220422.984605,False,2.315887,30.015999,1280,720,59,21
24,1572220423.1679184,False,2.498956,30.015999,1280,720,63,22
25,1572220423.3491838,False,2.676922,30.015999,1280,720,67,23
26,1572220423.56498,False,2.863442,30.015999,1280,720,72,24
27,1572220423.726949,False,3.064469,30.015999,1280,720,76,25
28,1572220423.8966343,False,3.239386,30.015999,1280,720,81,26
29,1572220424.073035,False,3.42114,30.015999,1280,720,86,27
30,1572220424.2381926,False,3.572919,30.015999,1280,720,90,27
31,1572220424.4004352,False,3.746932,30.015999,1280,720,95,28
32,1572220424.5723472,False,3.919447,30.015999,1280,720,99,28
33,1572220424.7599561,False,4.104646,30.015999,1280,720,103,29
34,1572220424.9189968,False,4.256654,30.015999,1280,720,106,29
35,1572220425.098273,False,4.443113,30.015999,1280,720,111,30
36,1572220425.2691953,False,4.609087,30.015999,1280,720,115,30
37,1572220425.4482484,False,4.794331,30.015999,1280,720,121,30
38,1572220425.6238,False,4.952017,30.015999,1280,720,125,31
39,1572220425.80782,False,5.139195,30.015999,1280,720,130,32
40,1572220425.9685335,False,5.311501,30.015999,1280,720,133,32
