,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1576442670.0855439,False,-1.0,-1.0,0,0,0,0
1,1576442684.2102225,False,0.025838,10.000333,384,216,8,0
2,1576442684.3721669,False,0.202025,10.000333,384,216,8,0
3,1576442684.5267422,False,0.346108,10.000333,384,216,11,2
4,1576442684.710925,False,0.524134,10.000333,384,216,19,6
5,1576442684.8938143,False,0.710839,10.000333,384,216,25,11
6,1576442685.0549495,False,0.885945,10.000333,384,216,29,12
7,1576442685.2218523,False,1.047706,10.000333,384,216,32,12
8,1576442685.3827698,False,1.202886,10.000333,384,216,37,13
9,1576442685.5423815,False,1.369009,10.000333,384,216,40,13
10,1576442685.7038226,False,1.516764,10.000333,384,216,45,15
11,1576442685.8672888,False,1.687895,10.000333,384,216,48,15
12,1576442686.03601,False,1.85703,10.000333,384,216,53,16
13,1576442686.206115,False,2.026611,10.000333,384,216,58,16
14,1576442686.3697531,False,2.200205,10.000333,384,216,61,16
15,1576442686.5521524,False,2.372422,10.000333,384,216,65,17
16,1576442686.7038743,False,2.52381,10.000333,384,216,70,17
17,1576442686.8680286,False,2.679666,10.000333,384,216,74,17
18,1576442687.02673,False,2.855897,10.000333,384,216,78,19
19,1576442687.2358196,False,3.05682,10.000333,384,216,83,19
20,1576442687.4131932,False,3.227229,20.000333,384,216,88,19
21,1576442687.5857337,False,3.406475,20.000333,384,216,91,20
22,1576442687.7523227,False,3.581152,20.000333,384,216,96,21
23,1576442687.9192405,False,3.739396,20.000333,384,216,101,22
24,1576442688.0853994,False,3.899,20.000333,384,216,104,22
25,1576442688.2735262,False,4.087587,20.000333,384,216,109,23
26,1576442688.4389808,False,4.267912,20.000333,384,216,114,25
27,1576442688.5993035,False,4.417595,20.000333,384,216,118,25
28,1576442688.7645879,False,4.589777,20.000333,384,216,121,25
29,1576442688.9777405,False,4.801314,20.000333,384,216,126,25
30,1576442689.1546812,False,4.975365,20.000333,384,216,131,26
31,1576442689.317237,False,5.127949,20.000333,384,216,134,26
32,1576442689.4938266,False,5.314222,20.000333,384,216,139,27
33,1576442689.6553369,False,5.471391,20.000333,384,216,144,28
34,1576442689.8255594,False,5.641657,20.000333,384,216,148,28
35,1576442690.0040522,False,5.824885,20.000333,384,216,152,29
36,1576442690.1672144,False,5.983291,20.000333,384,216,156,29
37,1576442690.364954,False,6.186338,20.000333,384,216,161,30
38,1576442690.5310566,False,6.342358,20.000333,384,216,165,31
39,1576442690.6976063,False,6.518314,20.000333,384,216,170,32
40,1576442690.8733008,False,6.697077,20.000333,384,216,174,32
41,1576442691.0453217,False,6.855905,30.000333,384,216,178,33
42,1576442691.2090833,False,7.034935,30.000333,384,216,183,33
43,1576442691.357455,False,7.184836,30.000333,384,216,185,34
44,1576442691.561798,False,7.369888,30.000333,384,216,191,36
45,1576442691.710677,False,7.537978,30.000333,384,216,196,37
46,1576442691.8636208,False,7.677157,30.000333,384,216,198,37
47,1576442691.9874275,False,7.8198,30.000333,384,216,201,37
48,1576442692.1665173,False,7.982086,30.000333,384,216,206,38
49,1576442692.32294,False,8.154392,30.000333,384,216,211,40
50,1576442692.5064487,False,8.319492,30.000333,384,216,215,41
51,1576442692.6668744,False,8.484918,30.000333,384,216,218,41
52,1576442692.8298411,False,8.660014,30.000333,384,216,223,42
53,1576442692.9957683,False,8.813805,39.999999,384,216,227,43
54,1576442693.1606083,False,8.974466,39.999999,384,216,231,43
55,1576442693.3177283,False,9.149604,39.999999,384,216,236,44
56,1576442693.4739296,False,9.294373,39.999999,384,216,239,44
57,1576442693.6651015,False,9.484479,39.999999,384,216,244,45
58,1576442693.8268895,False,9.646067,39.999999,384,216,248,45
59,1576442693.9759202,False,9.794309,39.999999,384,216,251,45
60,1576442694.1226048,False,9.940961,39.999999,384,216,255,46
61,1576442694.3189812,False,10.125575,39.999999,384,216,261,46
62,1576442694.489331,False,10.306345,39.999999,384,216,265,48
63,1576442694.6558921,False,10.479581,39.999999,384,216,268,48
64,1576442694.8373272,False,10.647287,39.999999,384,216,273,50
65,1576442694.985819,False,10.812973,39.999999,384,216,278,50
66,1576442695.151641,False,10.973863,39.999999,384,216,280,50
67,1576442695.318158,False,11.133538,39.999999,384,216,285,51
68,1576442695.4824328,False,11.312586,39.999999,384,216,290,51
69,1576442695.6608043,False,11.474512,39.999999,384,216,293,51
70,1576442695.8430083,False,11.658639,39.999999,384,216,298,51
71,1576442696.0130837,False,11.831271,39.999999,384,216,303,52
72,1576442696.1939213,False,12.004399,39.999999,384,216,307,52
73,1576442696.3805914,False,12.203319,39.999999,384,216,310,52
74,1576442696.5480347,False,12.36916,39.999999,384,216,316,53
75,1576442696.7165911,False,12.523687,39.999999,384,216,321,53
76,1576442696.8775089,False,12.697894,39.999999,384,216,324,53
77,1576442697.0586455,False,12.872439,39.999999,384,216,328,55
78,1576442697.223072,False,13.052919,39.999999,384,216,333,55
79,1576442697.386933,False,13.212952,39.999999,384,216,337,55
80,1576442697.5448987,False,13.362102,39.999999,384,216,340,56
81,1576442697.7645383,False,13.581832,39.999999,384,216,345,56
82,1576442697.9370642,False,13.747393,39.999999,384,216,351,57
83,1576442698.0900245,False,13.921292,39.999999,384,216,355,57
84,1576442698.2671638,False,14.096719,39.999999,384,216,360,58
85,1576442698.4279268,False,14.241293,39.999999,384,216,362,58
86,1576442698.5882697,False,14.419245,39.999999,384,216,368,59
87,1576442698.7579215,False,14.578908,39.999999,384,216,371,60
88,1576442698.920563,False,14.731566,39.999999,384,216,375,60
89,1576442699.076874,False,14.897034,39.999999,384,216,379,61
90,1576442699.2396002,False,15.059547,39.999999,384,216,383,61
91,1576442699.4060435,False,15.225078,39.999999,384,216,388,62
92,1576442699.5532622,False,15.371317,39.999999,384,216,391,62
93,1576442699.7364147,False,15.549117,39.999999,384,216,396,63
94,1576442699.8928108,False,15.723947,39.999999,384,216,400,63
95,1576442700.0618155,False,15.871141,39.999999,384,216,403,64
96,1576442700.2307122,False,16.046844,39.999999,384,216,407,64
97,1576442700.3878582,False,16.217479,39.999999,384,216,412,65
98,1576442700.552283,False,16.372834,39.999999,384,216,416,66
99,1576442700.717223,False,16.530923,39.999999,384,216,421,66
100,1576442700.9417787,False,16.714027,39.999999,384,216,424,66
101,1576442701.1047544,False,16.930176,39.999999,384,216,431,67
102,1576442701.270841,False,17.091445,39.999999,384,216,434,67
103,1576442701.444685,False,17.262708,39.999999,384,216,438,69
104,1576442701.5975544,False,17.418346,50.000333,384,216,442,69
105,1576442701.7571485,False,17.587675,50.000333,384,216,446,70
106,1576442701.9193633,False,17.740497,50.000333,384,216,450,71
107,1576442702.080416,False,17.906417,50.000333,384,216,455,72
108,1576442702.244609,False,18.069584,50.000333,384,216,458,72
109,1576442702.4274366,False,18.243107,50.000333,384,216,462,72
110,1576442702.6018424,False,18.42571,50.000333,384,216,466,73
111,1576442702.7653954,False,18.584105,50.000333,384,216,471,74
112,1576442702.9306657,False,18.742047,50.000333,384,216,476,74
113,1576442703.0991433,False,18.912828,50.000333,384,216,480,75
114,1576442703.249135,False,19.080171,50.000333,384,216,484,75
115,1576442703.443038,False,19.272395,50.000333,384,216,489,76
116,1576442703.6132557,False,19.436826,50.000333,384,216,492,76
117,1576442703.7827158,False,19.603454,50.000333,384,216,496,76
118,1576442703.952257,False,19.771017,50.000333,384,216,501,76
119,1576442704.1105483,False,19.932071,50.000333,384,216,505,78
120,1576442704.2775066,False,20.10009,50.000333,384,216,508,78
121,1576442704.4452684,False,20.262664,50.000333,384,216,513,79
122,1576442704.6145475,False,20.438655,50.000333,384,216,518,80
123,1576442704.778742,False,20.606967,50.000333,384,216,522,80
