,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,28.697945945945943,,,,,,,,,,,265456.0,132728,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,265456.0,265456.0,265456.0,361712.0,326195.0,132728,132728,132728,180856,165816,18.15710073770492,18.15710073770492,18.15710073770492,35.091784836065585,74.75547591666665,0.0,4.0,0.037,,,,,,,,,,,4.0,0.0,1572039259.852,1572039259.809,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813210.mp4-1.ts,18.15710073770492
1,-0.008,,,,,,,,,,,639816.0,-1,3.9820001125335693,0,0,0,0.0,0,0.0,4,,,,,,,,,,,-4,265456.0,265456.0,265456.0,361712.0,326195.0,132728,132728,132728,180856,165816,18.15710073770492,18.15710073770492,18.15710073770492,35.091784836065585,74.75547591666665,0.042999982833862305,4.0,0.001,,,,,,,,,,,4.0,0.0,1572039259.875,1572039259.87,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-1.ts,100.0
2,-0.008,28.28173913043478,,,,,,,,,,1176510.0,-1,3.8489999771118164,0,0,1,265456.0,0,18.15710073770492,4,4.0,,,,,,,,,,-4,337127.0,337127.0,337127.0,505315.0,437960.0,168824,168824,168824,253048,222968,11.812134380165286,11.812134380165286,11.812134380165286,33.80548471074381,73.04168749999998,0.0,4.006178,0.001,0.092,,,,,,,,,,8.01,4.0,1572039260.01,1572039260.003,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-2.ts,100.0
3,-0.008,28.28173913043478,,,,,,,,,,1800075.0,-1,7.640000114440918,0,0,2,639816.0,4,100.0,4,4.0,,,,,,,,,,0,944652.0,484493.0,1800075.0,1800075.0,1800075.0,481656,247032,917816,917816,917816,89.96139537815127,73.21708361344538,100.0,100.0,100.0,0.0,4.012344000000001,0.001,0.092,,,,,,,,,,12.02,8.01,1572039260.228,1572039260.222,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-3.ts,100.0
4,-0.008,31.378324786324782,,28.86592771084337,28.28173913043478,,,,,,,2521897.0,-1,11.365999956130981,0,0,3,1176510.0,4,100.0,4,4.0,,4.0,4.0,,,,,,,0,1249535.0,607464.0,2521897.0,2521897.0,2521897.0,638072,310200,1287800,1287800,1287800,88.8232554621849,72.89386949579831,100.0,100.0,100.0,0.0,4.018511,0.001,0.234,,0.166,0.092,,,,,,,16.04,12.02,1572039260.5110002,1572039260.506,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-4.ts,100.0
5,-0.008,31.378324786324782,,28.86592771084337,28.28173913043478,,,,,,,1787147.0,-1,15.122999944686889,0,0,4,1800075.0,4,100.0,4,4.0,,4.0,4.0,,,,,,,0,917604.0,456214.0,1787147.0,1787147.0,1787147.0,466616,231992,908792,908792,908792,93.19483124999996,80.92850258333334,100.0,100.0,100.0,0.0,4.001456,0.001,0.234,,0.166,0.092,,,,,,,20.04,16.04,1572039260.776,1572039260.769,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-5.ts,100.0
6,-0.008,46.60471794871795,,47.25871559633027,31.378324786324782,28.86592771084337,28.28173913043478,,,,,1908475.0,-1,18.917000093460082,0,0,5,2521897.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,,,,,0,945747.0,508680.0,1908475.0,1908475.0,1908475.0,481656,259064,971960,971960,971960,88.67179126050421,71.15085210084031,100.0,100.0,100.0,0.0,4.0076220000000005,0.001,0.156,,0.218,0.234,0.166,0.092,,,,,24.05,20.04,1572039260.981,1572039260.975,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-6.ts,100.0
7,-0.008,47.99802469135802,,46.60471794871795,47.25871559633027,31.378324786324782,28.86592771084337,28.28173913043478,,,,2654558.0,-1,22.74000005722046,0,0,6,1787147.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,,,,0,1504569.0,720217.0,2654558.0,2654558.0,2654558.0,767416,367352,1353976,1353976,1353976,90.68974100000004,74.5340695833333,100.0,100.0,100.0,0.0,4.013789,0.001,0.162,,0.156,0.218,0.234,0.166,0.092,,,,28.06,24.05,1572039261.168,1572039261.162,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-7.ts,100.0
8,-0.008,47.71721585903083,,47.99802469135802,46.60471794871795,47.25871559633027,31.378324786324782,28.86592771084337,28.28173913043478,,,2797764.0,-1,24.770999965667723,0,0,7,1908475.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,,0,1661287.0,789792.0,2797764.0,2797764.0,2797764.0,848632,403448,1429176,1429176,1429176,90.64871285714285,75.6800443697479,100.0,100.0,100.0,0.0,4.019956,0.001,0.227,,0.162,0.156,0.218,0.234,0.166,0.092,,,32.08,28.06,1572039263.147,1572039263.141,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-8.ts,100.0
9,-0.008,19.44457142857143,,47.71721585903083,47.99802469135802,46.60471794871795,47.25871559633027,31.378324786324782,28.86592771084337,28.28173913043478,,2661653.0,-1,24.790999965667723,0,0,8,2654558.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,0,1396241.0,787187.0,2661653.0,2661653.0,2661653.0,710264,400440,1353976,1353976,1353976,86.46566341666677,71.81796524999999,100.0,100.0,100.0,0.0,4.002911,0.001,0.588,,0.227,0.162,0.156,0.218,0.234,0.166,0.092,,36.08,32.08,1572039267.148,1572039267.141,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-9.ts,100.0
10,-0.008,25.913416267942583,,19.44457142857143,47.71721585903083,47.99802469135802,46.60471794871795,47.25871559633027,31.378324786324782,28.86592771084337,28.28173913043478,2740285.0,-1,24.790999965667723,0,0,9,2797764.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1222906.0,602966.0,2740285.0,2740285.0,2740285.0,623032,307192,1396088,1396088,1396088,86.37965378151262,68.21116865546219,100.0,100.0,100.0,0.0,4.009078,0.001,0.418,,0.588,0.227,0.162,0.156,0.218,0.234,0.166,0.092,40.09,36.08,1572039271.1460001,1572039271.141,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-10.ts,100.0
11,-0.008,22.116245544554456,28.28173913043478,25.913416267942583,19.44457142857143,47.71721585903083,47.99802469135802,46.60471794871795,47.25871559633027,31.378324786324782,28.86592771084337,2806889.0,-1,24.80199989318848,0,0,10,2661653.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,955771.0,460568.0,2806889.0,2806889.0,2806889.0,487672,235000,1432184,1432184,1432184,88.36002091666668,71.3378425833333,100.0,100.0,100.0,0.0,4.015244,0.001,0.505,0.092,0.418,0.588,0.227,0.162,0.156,0.218,0.234,0.166,44.11,40.09,1572039275.1460001,1572039275.14,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-11.ts,100.0
12,-0.008,35.47204953560371,28.86592771084337,22.116245544554456,25.913416267942583,19.44457142857143,47.71721585903083,47.99802469135802,46.60471794871795,47.25871559633027,31.378324786324782,2208130.0,-1,24.820999965667724,0,0,11,2740285.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1001421.0,477532.0,2208130.0,2208130.0,2208130.0,511736,244024,1128376,1128376,1128376,84.90235722689073,67.24024277310922,100.0,100.0,100.0,0.0,4.021411,0.001,0.323,0.166,0.505,0.418,0.588,0.227,0.162,0.156,0.218,0.234,48.13,44.11,1572039279.148,1572039279.141,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/JQg6KiV2-30813216.mp4-12.ts,100.0
