,timestamp_finish,bitrate_level_encoded,bitrate_level,vmaf_level,buffer_level_at_timestamp_finish,rebuffer_level_at_timestamp_finish,body_size_byte,seg_len_s,t_download_s,quality_level_chosen,played_at_beginning,played_at_end,reward
0,1572068390.2270002,316076.64705882355,349680.0,15.517789344262304,3.9470669999999997,,174840.0,4.0,2.8710000000000004,0.0,0.0,0.046764,
1,1572068391.8319998,316076.64705882355,295080.0,18.81469942622952,6.370182,-0.0,147768.0,4.01,1.538,0.0,0.0,1.617458,
2,1572068392.536,316076.64705882355,270636.0,17.884716475409835,9.736034,-0.0,135736.0,4.01,0.657,0.0,1.409557,2.245438,
3,1572068393.706,449420.2605042017,509752.0,16.644818278688525,12.544350000000001,-0.0,256056.0,4.02,1.119,1.0,2.0884110000000002,3.454175,
4,1572068395.1390002,609282.680672269,686909.0,68.26506450000001,15.071776000000003,-0.0,349304.0,4.0,1.385,2.0,3.31722,4.920580999999999,
5,1572068396.6529999,609282.680672269,674057.0,70.97224124999998,17.644925000000004,-0.0,343288.0,4.010000000000002,1.481,2.0,4.776255,6.341264,
6,1572068397.937,609282.680672269,614064.0,68.85433524999998,20.251324,-0.0,313208.0,4.009999999999998,1.2570000000000001,2.0,6.180805,7.728697,
7,1572068399.7510002,609282.680672269,595472.0,70.45128583333334,22.563876999999998,-0.0,304184.0,4.02,1.761,2.0,7.570525999999999,9.433196,
8,1572068400.821,609282.680672269,544748.0,69.71656466666668,25.377057,-0.0,277112.0,4.0,1.054,2.0,9.257639,10.613849,
9,1572068404.7559998,609282.680672269,1004451.0,64.79803841666661,21.589979000000003,-0.0,511736.0,4.010000000000005,3.334,2.0,10.907812,14.400927,
10,1572068406.836,609282.680672269,802494.0,68.66105816666669,27.404246999999998,-0.0,409464.0,4.019999999999996,1.018,2.0,15.359619,16.574323,
11,1572068410.7440002,609282.680672269,1048512.0,69.39866108333334,27.496675999999997,-0.0,535800.0,4.020000000000003,1.266,2.0,18.909084,20.498946,
12,1572068414.53,609282.680672269,952417.0,71.37548908333333,27.782739,-0.0,484664.0,4.0,1.1440000000000001,2.0,22.869343,24.206738,
13,1572068418.17,609282.680672269,632263.0,71.23367458333334,28.128138999999997,-0.0,322232.0,4.009999999999998,0.784,2.0,26.954155,27.85517,
14,1572068422.755,1393238.8991596638,1096867.0,86.31455716666666,23.570950999999994,-0.0,559864.0,4.019999999999996,1.364,3.0,30.968334000000002,32.412358000000005,
15,1572068426.5879998,1393238.8991596638,983411.0,85.9858031666666,27.715765999999988,-0.0,502712.0,4.02000000000001,1.203,3.0,34.920532,36.278428000000005,
16,1572068430.9529998,1393238.8991596638,1288886.0,88.52700174999997,27.262586000000006,-0.0,656120.0,4.009999999999991,1.568,3.0,38.844833,40.72544,
17,1572068435.4970002,1393238.8991596638,1664537.0,88.15335599999996,26.765016000000003,-0.0,848632.0,4.010000000000005,2.113,3.0,42.978934,45.216842,
18,1572068439.23,1393238.8991596638,1449945.0,87.92831233333338,23.092146,-0.0,740344.0,4.019999999999996,1.844,3.0,46.96617,48.889712,
19,1572068444.268,1393238.8991596638,2266487.0,86.93362400000004,25.962863000000006,-0.0,1152440.0,4.0,2.884,3.0,50.891608000000005,54.029879,
