,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,349680.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,349680.0,349680.0,349680.0,620400.0,722659.0,174840,174840,174840,310200,367352,15.517789344262303,15.517789344262303,15.517789344262303,29.372622459016398,69.95855533333336,0.0,4.0,0.001,,,,,,,,,,,4.0,0.0,1572068387.356,1572068387.315,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-1.ts,15.517789344262303
1,-0.008,,,,,,,,,,,295080.0,-1,3.9690001010894775,0,0,1,0.0,0,0.0,0,,,,,,,,,,,0,295080.0,295080.0,295080.0,421221.0,520677.0,147768,147768,147768,210936,265080,18.814699426229513,18.814699426229513,18.814699426229513,42.645488688524594,71.76887783333333,2.9119999408721924,4.006178,0.001,,,,,,,,,,,8.01,4.0,1572068390.293,1572068390.258,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-2.ts,18.814699426229513
2,-0.008,0.7686241872561768,,,,,,,,,,270636.0,-1,6.385,0,0,2,349680.0,0,15.517789344262303,0,0.0,,,,,,,,,,0,270636.0,270636.0,270636.0,372594.0,449097.0,135736,135736,135736,186872,228984,17.884716475409835,17.884716475409835,17.884716475409835,34.909009262295086,71.7661258333333,0.0,4.012344000000001,0.001,1.538,,,,,,,,,,12.02,8.01,1572068391.879,1572068391.852,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-3.ts,17.884716475409835
3,-0.008,1.6527975646879756,,0.7686241872561768,,,,,,,,509752.0,-1,9.671000022888183,0,0,3,295080.0,0,18.814699426229513,1,0.0,,0.0,,,,,,,,-1,354057.0,354057.0,354057.0,509752.0,648698.0,177848,177848,177848,256056,331256,6.851044016393441,6.851044016393441,6.851044016393441,16.644818278688525,69.50189733333336,0.0,4.018511,0.001,0.657,,1.538,,,,,,,,16.04,12.02,1572068392.586,1572068392.576,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813211.mp4-4.ts,16.644818278688525
4,-0.008,1.8306058981233244,,1.6527975646879756,0.7686241872561768,,,,,,,686909.0,-1,12.524999895095824,0,0,4,270636.0,0,17.884716475409835,2,1.0,,0.0,0.0,,,,,,,-2,343538.0,343538.0,343538.0,499898.0,686909.0,171832,171832,171832,250040,349304,2.0204,2.0204,2.0204,21.22160475409836,68.26506450000001,0.0,4.001456,0.001,1.119,,0.657,1.538,,,,,,,20.04,16.04,1572068393.753,1572068393.742,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813212.mp4-5.ts,68.26506450000001
5,-0.008,2.0176404332129962,,1.8306058981233244,1.6527975646879756,0.7686241872561768,,,,,,674057.0,-1,15.111000099182128,0,0,5,509752.0,1,16.644818278688525,2,2.0,,1.0,0.0,0.0,,,,,,-1,355019.0,355019.0,517142.0,674057.0,1577722.0,177848,177848,259064,343288,803512,0.15620057377049176,0.15620057377049176,24.18794860655737,70.97224124999998,88.27454325,0.0,4.0076220000000005,0.001,1.385,,1.119,0.657,1.538,,,,,,24.05,20.04,1572068395.171,1572068395.156,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813212.mp4-6.ts,70.97224124999998
6,-0.008,2.0176404332129962,,1.8306058981233244,1.6527975646879756,0.7686241872561768,,,,,,614064.0,-1,17.603999900817872,0,0,6,686909.0,2,68.26506450000001,2,2.0,,1.0,0.0,0.0,,,,,,0,462390.0,318502.0,614064.0,1427903.0,3716086.0,231992,159800,313208,728312,1895416,23.407623688524605,4.689629426229508,68.85433524999998,86.37731883333336,100.0,0.0,4.013789,0.001,1.385,,1.119,0.657,1.538,,,,,,28.06,24.05,1572068396.6790001,1572068396.673,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813212.mp4-7.ts,68.85433524999998
7,-0.008,1.9933683373110578,,1.8543578663065494,2.0176404332129962,1.8306058981233244,1.6527975646879756,0.7686241872561768,,,,595472.0,-1,20.320999917984008,0,0,7,674057.0,2,70.97224124999998,2,2.0,,2.0,2.0,1.0,0.0,0.0,,,,0,419777.0,288082.0,595472.0,1402194.0,3940129.0,210936,144760,304184,716280,2012728,24.624643688524593,10.642521475409838,70.45128583333334,86.83001458333328,100.0,0.0,4.019956,0.001,1.2570000000000001,,1.481,1.385,1.119,0.657,1.538,,,,32.08,28.06,1572068397.989,1572068397.966,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813212.mp4-8.ts,70.45128583333334
8,-0.008,1.381869392390687,,1.9933683373110578,1.8543578663065494,2.0176404332129962,1.8306058981233244,1.6527975646879756,0.7686241872561768,,,544748.0,-1,22.54499991416931,0,0,8,614064.0,2,68.85433524999998,2,2.0,,2.0,2.0,2.0,1.0,0.0,0.0,,,0,385495.0,271274.0,544748.0,1277978.0,3524972.0,192888,135736,277112,650104,1793144,26.47519237704918,10.745322131147542,69.71656466666668,86.89225258333335,100.0,0.0,4.002911,0.001,1.7610000000000001,,1.2570000000000001,1.481,1.385,1.119,0.657,1.538,,,36.08,32.08,1572068399.766,1572068399.762,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813212.mp4-9.ts,69.71656466666668
9,-0.008,2.1033168880455406,,1.381869392390687,1.9933683373110578,1.8543578663065494,2.0176404332129962,1.8306058981233244,1.6527975646879756,0.7686241872561768,,1004451.0,-1,24.924000101089476,0,0,9,595472.0,2,70.45128583333334,2,2.0,,2.0,2.0,2.0,2.0,1.0,0.0,0.0,,0,757049.0,540964.0,1004451.0,2262045.0,4617819.0,379384,271096,511736,1152440,2352632,0.8681927868852459,0.3855688524590164,64.79803841666661,86.06958683333336,100.0,0.0,4.009078,0.001,1.054,,1.7610000000000001,1.2570000000000001,1.481,1.385,1.119,0.657,1.538,,40.09,36.08,1572068401.422,1572068401.383,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813212.mp4-10.ts,64.79803841666661
