,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,223344.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,223344.0,223344.0,223344.0,307568.0,397203.0,111672,111672,111672,153784,201912,16.205271311475418,16.205271311475418,16.205271311475418,45.30564450819673,70.36776741666668,0.0,4.0,0.001,,,,,,,,,,,4.0,0.0,1572047366.612,1572047366.611,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813210.mp4-1.ts,16.205271311475418
1,-0.008,,,,,,,,,,,1604348.0,-1,3.319000005722046,0,0,0,0.0,0,0.0,4,,,,,,,,,,,-4,223344.0,223344.0,223344.0,307568.0,397203.0,111672,111672,111672,153784,201912,16.205271311475418,16.205271311475418,16.205271311475418,45.30564450819673,70.36776741666668,0.09800004959106445,4.0,0.001,,,,,,,,,,,4.0,0.0,1572047367.41,1572047367.39,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-1.ts,100.0
2,-0.008,4.326493368700265,,,,,,,,,,2121854.0,-1,1.7290000915527344,0,0,1,223344.0,0,16.205271311475418,3,4.0,,,,,,,,,,-3,463268.0,463268.0,463268.0,715550.0,934265.0,231992,231992,231992,358328,475640,4.753918852459017,4.753918852459017,4.753918852459017,14.139190655737705,66.39532083333336,0.0,4.006178,0.001,1.508,,,,,,,,,,8.01,4.0,1572047368.982,1572047368.98,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813213.mp4-2.ts,86.37204425000004
3,-0.008,9.252659528907921,,4.326493368700265,,,,,,,,5027085.0,-1,4.754000196456909,0,0,2,1604348.0,4,100.0,4,3.0,,4.0,,,,,,,,0,2567006.0,1127536.0,5027085.0,5027085.0,5027085.0,1308856,574904,2563192,2563192,2563192,87.50132241666665,66.504046,100.0,100.0,100.0,0.0,4.012344000000001,0.001,0.934,,1.508,,,,,,,,12.02,8.01,1572047369.9659998,1572047369.965,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-3.ts,100.0
4,-0.008,9.31223251589464,,9.252659528907921,4.326493368700265,,,,,,,4471673.0,-1,6.484000225067138,0,0,3,2121854.0,3,86.37204425000004,4,4.0,,3.0,4.0,,,,,,,-1,931445.0,659460.0,2186135.0,4471673.0,4471673.0,475640,331256,1116344,2283448,2283448,76.47398775000003,1.970786557377049,93.37314008333333,100.0,100.0,0.0,4.018511,0.001,2.202,,0.934,1.508,,,,,,,16.04,12.02,1572047372.2459998,1572047372.245,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-4.ts,100.0
5,-0.008,9.310695208970438,,9.31223251589464,9.252659528907921,4.326493368700265,,,,,,4596895.0,-1,8.495000162124633,0,0,4,5027085.0,4,100.0,4,4.0,,4.0,3.0,4.0,,,,,,0,2343181.0,1089147.0,4596895.0,4596895.0,4596895.0,1191544,553848,2337592,2337592,2337592,92.77128916666666,73.44496416666662,100.0,100.0,100.0,0.0,4.001456,0.001,1.962,,2.202,0.934,1.508,,,,,,20.04,16.04,1572047374.2549999,1572047374.254,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-5.ts,100.0
6,-0.008,9.294600397614314,,9.310695208970438,9.31223251589464,9.252659528907921,4.326493368700265,,,,,2422323.0,-1,10.222000160217284,0,0,5,4471673.0,4,100.0,4,4.0,,4.0,4.0,3.0,4.0,,,,,0,1252875.0,614994.0,2422323.0,2422323.0,2422323.0,638072,313208,1233656,1233656,1233656,89.16157658333331,72.26807208333334,100.0,100.0,100.0,0.0,4.0076220000000005,0.001,2.012,,1.962,2.202,0.934,1.508,,,,,24.05,20.04,1572047376.529,1572047376.527,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-6.ts,100.0
7,-0.008,9.232224508886809,,9.294600397614314,9.310695208970438,9.31223251589464,9.252659528907921,4.326493368700265,,,,2737121.0,-1,13.132000017166138,0,0,6,4596895.0,4,100.0,4,4.0,,4.0,4.0,4.0,3.0,4.0,,,,0,1410211.0,673038.0,2737121.0,2737121.0,2737121.0,719288,343288,1396088,1396088,1396088,88.27932716666662,67.41158991666666,100.0,100.0,100.0,0.0,4.013789,0.001,1.069,,2.012,1.962,2.202,0.934,1.508,,,,28.06,24.05,1572047377.628,1572047377.627,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-7.ts,100.0
8,-0.008,9.315015846538781,,9.232224508886809,9.294600397614314,9.310695208970438,9.31223251589464,9.252659528907921,4.326493368700265,,,3257065.0,-1,15.860000190734862,0,0,7,2422323.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,3.0,4.0,,,0,1596514.0,948781.0,3257065.0,3257065.0,3257065.0,815544,484664,1663800,1663800,1663800,91.1850830833334,72.96479808333333,100.0,100.0,100.0,0.0,4.019956,0.001,1.199,,1.069,2.012,1.962,2.202,0.934,1.508,,,32.08,28.06,1572047378.911,1572047378.909,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-8.ts,100.0
9,-0.008,9.294972067039106,,9.315015846538781,9.232224508886809,9.294600397614314,9.310695208970438,9.31223251589464,9.252659528907921,4.326493368700265,,2448780.0,-1,18.22400005340576,0,0,8,2737121.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,0,1360762.0,781274.0,2448780.0,2448780.0,2448780.0,692216,397432,1245688,1245688,1245688,99.70473583333332,99.363456,100.0,100.0,100.0,0.0,4.002911,0.001,1.432,,1.199,1.069,2.012,1.962,2.202,0.934,1.508,,36.08,32.08,1572047380.5670002,1572047380.565,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-9.ts,100.0
10,-0.008,9.296179104477611,,9.294972067039106,9.315015846538781,9.232224508886809,9.294600397614314,9.310695208970438,9.31223251589464,9.252659528907921,4.326493368700265,4434789.0,-1,21.12800009727478,0,0,9,3257065.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0,2203003.0,1004451.0,4434789.0,4434789.0,4434789.0,1122360,511736,2259384,2259384,2259384,86.97060366666666,76.66507333333334,100.0,100.0,100.0,0.0,4.009078,0.001,1.072,,1.432,1.199,1.069,2.012,1.962,2.202,0.934,1.508,40.09,36.08,1572047381.662,1572047381.661,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-10.ts,100.0
11,-0.008,9.30745211122554,4.326493368700265,9.296179104477611,9.294972067039106,9.315015846538781,9.232224508886809,9.294600397614314,9.310695208970438,9.31223251589464,9.252659528907921,2688983.0,-1,22.65900000572205,0,0,10,2448780.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0,1521718.0,914504.0,2688983.0,2688983.0,2688983.0,776440,466616,1372024,1372024,1372024,99.81798208333332,93.2510478333334,100.0,100.0,100.0,0.0,4.015244,0.001,1.942,1.508,1.072,1.432,1.199,1.069,2.012,1.962,2.202,0.934,44.11,40.09,1572047384.1420002,1572047384.14,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-11.ts,100.0
12,-0.008,9.301857627118643,9.252659528907921,9.30745211122554,9.296179104477611,9.294972067039106,9.315015846538781,9.232224508886809,9.294600397614314,9.310695208970438,9.31223251589464,5221959.0,-1,22.678000078201293,0,0,11,4434789.0,4,100.0,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2525994.0,1225103.0,5221959.0,5221959.0,5221959.0,1290808,626040,2668472,2668472,2668472,83.24790475000003,79.46084949999995,100.0,100.0,100.0,0.0,4.021411,0.001,1.18,0.934,1.942,1.072,1.432,1.199,1.069,2.012,1.962,2.202,48.13,44.11,1572047388.1430001,1572047388.141,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-12.ts,100.0
13,-0.008,9.305918047079338,9.31223251589464,9.301857627118643,9.30745211122554,9.296179104477611,9.294972067039106,9.315015846538781,9.232224508886809,9.294600397614314,9.310695208970438,3027193.0,-1,22.598000173568728,0,0,12,2688983.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1703119.0,875573.0,3027193.0,3027193.0,3027193.0,866680,445560,1540472,1540472,1540472,91.49274558333336,72.88527708333334,100.0,100.0,100.0,0.0,4.004356,0.001,2.294,2.202,1.18,1.942,1.072,1.432,1.199,1.069,2.012,1.962,52.13,48.13,1572047392.2419999,1572047392.241,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-13.ts,100.0
14,-0.008,9.293948717948716,9.310695208970438,9.305918047079338,9.301857627118643,9.30745211122554,9.296179104477611,9.294972067039106,9.315015846538781,9.232224508886809,9.294600397614314,4698813.0,-1,22.696000223159793,0,0,13,5221959.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2172712.0,891955.0,4698813.0,4698813.0,4698813.0,1107320,454584,2394744,2394744,2394744,82.42891616666667,78.72677124999997,100.0,100.0,100.0,0.0,4.010522,0.001,1.326,1.962,2.294,1.18,1.942,1.072,1.432,1.199,1.069,2.012,56.14,52.13,1572047396.145,1572047396.143,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-14.ts,100.0
15,-0.008,9.304493443419133,9.294600397614314,9.293948717948716,9.305918047079338,9.301857627118643,9.30745211122554,9.296179104477611,9.294972067039106,9.315015846538781,9.232224508886809,2310861.0,-1,22.708000078201295,0,0,14,3027193.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1255983.0,713810.0,2310861.0,2310861.0,2310861.0,641080,364344,1179512,1179512,1179512,90.54697425000002,78.28926358333338,100.0,100.0,100.0,0.0,4.0167,0.001,2.059,2.012,1.326,2.294,1.18,1.942,1.072,1.432,1.199,1.069,60.16,56.14,1572047400.1430001,1572047400.141,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-15.ts,100.0
16,-0.008,9.296646305418717,9.232224508886809,9.304493443419133,9.293948717948716,9.305918047079338,9.301857627118643,9.30745211122554,9.296179104477611,9.294972067039106,9.315015846538781,2136732.0,-1,22.72800007820129,0,0,15,4698813.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1224667.0,712734.0,2136732.0,2136732.0,2136732.0,626040,364344,1092280,1092280,1092280,93.27147625,74.67871416666664,100.0,100.0,100.0,0.0,4.022867,0.001,1.0150000000000001,1.069,2.059,1.326,2.294,1.18,1.942,1.072,1.432,1.199,64.18,60.16,1572047404.144,1572047404.141,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-16.ts,100.0
17,-0.008,9.305899893503726,9.315015846538781,9.296646305418717,9.304493443419133,9.293948717948716,9.305918047079338,9.301857627118643,9.30745211122554,9.296179104477611,9.294972067039106,3557916.0,-1,22.649000101089484,0,0,16,2310861.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1974322.0,1028892.0,3557916.0,3557916.0,3557916.0,1005048,523768,1811192,1811192,1811192,95.48166833333332,78.068477,100.0,100.0,100.0,0.0,4.0058110000000005,0.001,0.9390000000000001,1.199,1.0150000000000001,2.059,1.326,2.294,1.18,1.942,1.072,1.432,68.19,64.18,1572047408.241,1572047408.24,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-17.ts,100.0
18,-0.008,9.30008729139923,9.294972067039106,9.305899893503726,9.296646305418717,9.304493443419133,9.293948717948716,9.305918047079338,9.301857627118643,9.30745211122554,9.296179104477611,3611536.0,-1,22.75800007820129,0,0,17,2136732.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2012637.0,1003737.0,3611536.0,3611536.0,3611536.0,1026104,511736,1841272,1841272,1841272,99.98752875,85.53572066666666,100.0,100.0,100.0,0.0,4.011978,0.001,1.558,1.432,0.9390000000000001,1.0150000000000001,2.059,1.326,2.294,1.18,1.942,1.072,72.2,68.19,1572047412.1430001,1572047412.141,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-18.ts,100.0
19,-0.008,9.29348643533123,9.296179104477611,9.30008729139923,9.305899893503726,9.296646305418717,9.304493443419133,9.293948717948716,9.305918047079338,9.301857627118643,9.30745211122554,3217272.0,-1,22.76900000572205,0,0,18,3557916.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1691479.0,1014004.0,3217272.0,3217272.0,3217272.0,863672,517752,1642744,1642744,1642744,99.73742825,84.05107991666664,100.0,100.0,100.0,0.0,4.018144,0.001,1.585,1.072,1.558,0.9390000000000001,1.0150000000000001,2.059,1.326,2.294,1.18,1.942,76.22,72.2,1572047416.1420002,1572047416.14,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-19.ts,100.0
20,-0.008,9.313927710843373,9.30745211122554,9.29348643533123,9.30008729139923,9.305899893503726,9.296646305418717,9.304493443419133,9.293948717948716,9.305918047079338,9.301857627118643,2485372.0,-1,22.688000173568724,0,0,19,3611536.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1337708.0,899939.0,2485372.0,2485372.0,2485372.0,680184,457592,1263736,1263736,1263736,98.74273925,93.1661299166666,100.0,100.0,100.0,0.0,4.001089,0.001,1.411,1.942,1.585,1.558,0.9390000000000001,1.0150000000000001,2.059,1.326,2.294,1.18,80.22,76.22,1572047420.243,1572047420.241,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-20.ts,100.0
21,-0.008,9.30072493100276,9.301857627118643,9.313927710843373,9.29348643533123,9.30008729139923,9.305899893503726,9.296646305418717,9.304493443419133,9.293948717948716,9.305918047079338,4070538.0,-1,22.78600022315979,0,0,20,3217272.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2558391.0,1170288.0,4070538.0,4070538.0,4070538.0,1302840,595960,2072888,2072888,2072888,88.01158199999999,62.202130333333336,100.0,100.0,100.0,0.0,4.007267,0.001,1.087,1.18,1.411,1.585,1.558,0.9390000000000001,1.0150000000000001,2.059,1.326,2.294,84.23,80.22,1572047424.145,1572047424.143,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/wtdka0o5-30813216.mp4-21.ts,100.0
