,bandwidth_mbit,bitrate_level,body_size_byte,byte_end,byte_start,n_segment,quality_level_chosen,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,48.22503225806451,373744.0,186872,0,0,0,0,4.0,0.031,4.0,0.0,1576338263.6729999,1576338263.507,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813210.mp4-1.ts,5.845067049180331
1,47.81613377926421,3510328.0,1787128,0,0,1,4,4.006178,0.299,8.01,4.0,1576338264.2810001,1576338263.785,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-2.ts,100.0
2,33.10612048192771,4041873.0,2060856,0,0,2,4,4.012344000000001,0.498,12.02,8.01,1576338264.9919999,1576338264.356,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-3.ts,100.0
3,30.869094170403585,3370138.0,1720952,0,0,3,4,4.018511,0.446,16.04,12.02,1576338265.681,1576338265.075,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-4.ts,100.0
4,40.42783333333333,3816081.0,1940536,0,0,4,4,4.001456,0.384,20.04,16.04,1576338266.243,1576338265.727,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-5.ts,100.0
5,40.92396638655462,3585866.0,1826232,0,0,5,4,4.0076220000000005,0.357,24.05,20.04,1576338266.788,1576338266.286,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-6.ts,100.0
6,47.40157823129252,3415320.0,1742008,0,0,6,4,4.013789,0.294,28.06,24.05,1576338267.26,1576338266.821,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-7.ts,100.0
7,47.449051428571416,4063787.0,2075896,0,0,7,4,4.019956,0.35000000000000003,32.08,28.06,1576338267.799,1576338267.292,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-8.ts,100.0
8,35.328899598393576,4323247.0,2199224,0,0,8,4,4.002911,0.498,36.08,32.08,1576338271.4429998,1576338270.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-9.ts,100.0
9,35.254998284734135,5042921.0,2569208,0,0,9,4,4.009078,0.583,40.09,36.08,1576338275.545,1576338274.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-10.ts,100.0
10,59.656,5495135.0,2803832,0,0,10,4,4.015244,0.376,44.11,40.09,1576338279.3360002,1576338278.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-11.ts,100.0
11,44.01431963470319,4715729.0,2409784,0,0,11,4,4.021411,0.438,48.13,44.11,1576338283.39,1576338282.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-12.ts,100.0
12,31.53338461538461,3222258.0,1639736,0,0,12,4,4.004356,0.41600000000000004,52.13,48.13,1576338287.361,1576338286.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-13.ts,100.0
13,31.909072046109507,2715706.0,1384056,0,0,13,4,4.010522,0.34700000000000003,56.14,52.13,1576338291.289,1576338290.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-14.ts,100.0
14,57.01127485380116,2387472.0,1218616,0,0,14,4,4.0167,0.171,60.16,56.14,1576338295.116,1576338294.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-15.ts,100.0
15,57.98945454545455,2495674.0,1275768,0,0,15,4,4.022867,0.176,64.18,60.16,1576338299.118,1576338298.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-16.ts,100.0
16,49.94063843648208,3764728.0,1916472,0,0,16,4,4.0058110000000005,0.307,68.19,64.18,1576338303.2779999,1576338302.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-17.ts,100.0
17,27.287689922480617,3452236.0,1760056,0,0,17,4,4.011978,0.516,72.2,68.19,1576338307.6460001,1576338306.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-18.ts,100.0
18,29.82933333333333,3417570.0,1745016,0,0,18,4,4.018144,0.468,76.22,72.2,1576338311.42,1576338310.812,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-19.ts,100.0
19,32.62267403314917,4354762.0,2214264,0,0,19,4,4.001089,0.543,80.22,76.22,1576338315.533,1576338314.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-20.ts,100.0
20,56.63762081784386,3739756.0,1904440,0,0,20,4,4.007267,0.269,84.23,80.22,1576338319.23,1576338318.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-21.ts,100.0
21,26.864265193370166,2383486.0,1215608,0,0,21,4,4.013433,0.362,88.24,84.23,1576338323.3109999,1576338322.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-22.ts,100.0
22,46.94918918918919,2550670.0,1302840,0,0,22,4,4.0196,0.222,92.26,88.24,1576338327.1680002,1576338326.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-23.ts,100.0
23,15.84927764127764,3170470.0,1612664,0,0,23,4,4.002544,0.8140000000000001,96.26,92.26,1576338331.7680001,1576338330.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-24.ts,100.0
24,46.972678200692044,3331004.0,1696888,0,0,24,4,4.008711,0.289,100.27,96.26,1576338335.246,1576338334.816,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-25.ts,100.0
25,34.24541226215645,3968614.0,2024760,0,0,25,4,4.0148779999999995,0.47300000000000003,104.28,100.27,1576338339.4280002,1576338338.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-26.ts,100.0
26,44.89922935779816,3591752.0,1835256,0,0,26,4,4.021044,0.327,108.31,104.29,1576338343.275,1576338342.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-27.ts,100.0
27,28.60751238095238,3689553.0,1877368,0,0,27,4,4.004,0.525,112.31,108.31,1576338347.494,1576338346.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-28.ts,100.0
28,30.973315436241613,4528047.0,2307512,0,0,28,4,4.010167,0.596,116.32,112.31,1576338351.579,1576338350.812,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-29.ts,100.0
29,33.72069875222816,4633189.0,2364664,0,0,29,4,4.016333,0.561,120.34,116.32,1576338355.5670002,1576338354.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-30.ts,100.0
30,67.88257959183674,4067144.0,2078904,0,0,30,4,4.0225,0.245,124.36,120.34,1576338359.191,1576338358.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-31.ts,100.0
31,40.776094117647055,3404590.0,1732984,0,0,31,4,4.005444000000001,0.34,128.37,124.36,1576338363.291,1576338362.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-32.ts,100.0
32,53.18268041237114,3794778.0,1934520,0,0,32,4,4.011611,0.291,132.38,128.37,1576338367.24,1576338366.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-33.ts,100.0
33,61.25690225563908,3989363.0,2036792,0,0,33,4,4.017778,0.266,136.4,132.38,1576338371.4740002,1576338370.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-34.ts,100.0
34,77.9399603960396,1935372.0,983992,0,0,34,4,4.000733,0.101,140.4,136.4,1576338375.055,1576338374.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-35.ts,100.0
35,51.30037158469945,2304606.0,1173496,0,0,35,4,4.0069,0.183,144.41,140.4,1576338379.133,1576338378.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-36.ts,100.0
36,38.78787261146497,2985339.0,1522424,0,0,36,4,4.0130669999999995,0.314,148.41,144.4,1576338383.2680001,1576338382.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-37.ts,100.0
37,39.21142857142857,3493223.0,1784120,0,0,37,4,4.019233,0.364,152.44,148.42,1576338387.314,1576338386.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-38.ts,100.0
38,35.08748688046647,2957843.0,1504376,0,0,38,4,4.002178,0.343,156.44,152.44,1576338391.6520002,1576338390.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-39.ts,100.0
39,35.36590291262136,2681718.0,1366008,0,0,39,4,4.008356,0.309,160.45,156.44,1576338395.671,1576338394.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-40.ts,100.0
40,29.566615384615382,3013757.0,1537464,0,0,40,4,4.014522,0.41600000000000004,164.46,160.45,1576338399.3830001,1576338398.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-41.ts,100.0
41,44.706122850122846,4451628.0,2274424,0,0,41,4,4.020689,0.40700000000000003,168.48,164.46,1576338403.3830001,1576338402.812,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-42.ts,100.0
42,28.307150259067356,5368921.0,2731640,0,0,42,4,4.003633,0.772,172.48,168.48,1576338407.732,1576338406.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-43.ts,100.0
43,28.88866767830045,4670130.0,2379704,0,0,43,4,4.0098,0.659,176.49,172.48,1576338411.654,1576338410.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-44.ts,100.0
44,34.268269058295964,3743575.0,1910456,0,0,44,4,4.015967,0.446,180.51,176.49,1576338415.393,1576338414.81,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-45.ts,100.0
45,52.01189272030651,3320070.0,1696888,0,0,45,4,4.022133,0.261,184.53,180.51,1576338419.203,1576338418.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-46.ts,100.0
46,67.46514285714285,4291384.0,2184184,0,0,46,4,4.005089,0.259,188.54,184.53,1576338423.2680001,1576338422.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-47.ts,100.0
47,98.2094712643678,4190478.0,2136056,0,0,47,4,4.0112559999999995,0.17400000000000002,192.55,188.54,1576338427.1330001,1576338426.812,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-48.ts,100.0
48,87.18399999999998,4013279.0,2048824,0,0,48,4,4.017422,0.188,196.57,192.55,1576338431.137,1576338430.811,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-49.ts,100.0
