,bandwidth_mbit,bitrate_level,body_size_byte,byte_end,byte_start,n_segment,quality_level_chosen,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,29.31325490196078,373744.0,186872,0,0,0,0,4.0,0.051000000000000004,4.0,0.0,1576340038.161,1576340038.101,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813210.mp4-1.ts,5.845067049180331
1,25.03857092819614,3510328.0,1787128,0,0,1,4,4.006178,0.5710000000000001,8.01,4.0,1576340038.815,1576340038.234,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-2.ts,100.0
2,21.693221052631575,4041873.0,2060856,0,0,2,4,4.012344000000001,0.76,12.02,8.01,1576340039.689,1576340038.909,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-3.ts,100.0
3,22.831867330016582,3370138.0,1720952,0,0,3,4,4.018511,0.603,16.04,12.02,1576340040.383,1576340039.757,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-4.ts,100.0
4,25.28385667752443,3816081.0,1940536,0,0,4,4,4.001456,0.614,20.04,16.04,1576340041.0609999,1576340040.435,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-5.ts,100.0
5,25.586437828371274,3585866.0,1826232,0,0,5,4,4.0076220000000005,0.5710000000000001,24.05,20.04,1576340041.681,1576340041.102,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-6.ts,100.0
6,23.50095109612142,3415320.0,1742008,0,0,6,4,4.013789,0.593,28.06,24.05,1576340042.322,1576340041.716,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-7.ts,100.0
7,24.786817910447756,4063787.0,2075896,0,0,7,4,4.019956,0.67,32.08,28.06,1576340043.0379999,1576340042.356,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-8.ts,100.0
8,15.43315087719298,4323247.0,2199224,0,0,8,4,4.002911,1.1400000000000001,36.08,32.08,1576340046.501,1576340045.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-9.ts,100.0
9,28.11718741450068,5042921.0,2569208,0,0,9,4,4.009078,0.731,40.09,36.08,1576340050.127,1576340049.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-10.ts,100.0
10,26.959923076923072,5495135.0,2803832,0,0,10,4,4.015244,0.8320000000000001,44.11,40.09,1576340054.188,1576340053.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-11.ts,100.0
11,23.005097852028637,4715729.0,2409784,0,0,11,4,4.021411,0.838,48.13,44.11,1576340058.195,1576340057.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-12.ts,100.0
12,32.07307579462102,3222258.0,1639736,0,0,12,4,4.004356,0.40900000000000003,52.13,48.13,1576340061.764,1576340061.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-13.ts,100.0
13,39.686193548387095,2715706.0,1384056,0,0,13,4,4.010522,0.279,56.14,52.13,1576340065.635,1576340065.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-14.ts,100.0
14,42.75845614035087,2387472.0,1218616,0,0,14,4,4.0167,0.228,60.16,56.14,1576340069.583,1576340069.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-15.ts,100.0
15,42.88295798319327,2495674.0,1275768,0,0,15,4,4.022867,0.23800000000000002,64.18,60.16,1576340073.593,1576340073.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-16.ts,100.0
16,35.16462385321101,3764728.0,1916472,0,0,16,4,4.0058110000000005,0.436,68.19,64.18,1576340077.79,1576340077.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-17.ts,100.0
17,40.11523646723646,3452236.0,1760056,0,0,17,4,4.011978,0.35100000000000003,72.2,68.19,1576340081.71,1576340081.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-18.ts,100.0
18,23.94533104631218,3417570.0,1745016,0,0,18,4,4.018144,0.583,76.22,72.2,1576340085.9399998,1576340085.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-19.ts,100.0
19,30.228860068259387,4354762.0,2214264,0,0,19,4,4.001089,0.586,80.22,76.22,1576340089.942,1576340089.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-20.ts,100.0
20,32.00739495798319,3739756.0,1904440,0,0,20,4,4.007267,0.47600000000000003,84.23,80.22,1576340093.8309999,1576340093.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-21.ts,100.0
21,35.75317647058824,2383486.0,1215608,0,0,21,4,4.013433,0.272,88.24,84.23,1576340097.631,1576340097.351,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-22.ts,100.0
22,27.500580474934036,2550670.0,1302840,0,0,22,4,4.0196,0.379,92.26,88.24,1576340101.737,1576340101.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-23.ts,100.0
23,48.13922388059701,3170470.0,1612664,0,0,23,4,4.002544,0.268,96.26,92.26,1576340105.625,1576340105.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-24.ts,100.0
24,51.616365019011404,3331004.0,1696888,0,0,24,4,4.008711,0.263,100.27,96.26,1576340109.6179998,1576340109.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-25.ts,100.0
25,45.500224719101126,3968614.0,2024760,0,0,25,4,4.0148779999999995,0.356,104.28,100.27,1576340113.7099998,1576340113.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-26.ts,100.0
26,34.79158293838863,3591752.0,1835256,0,0,26,4,4.021044,0.422,108.31,104.29,1576340117.779,1576340117.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-27.ts,100.0
27,49.242439344262294,3689553.0,1877368,0,0,27,4,4.004,0.305,112.31,108.31,1576340121.673,1576340121.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-28.ts,100.0
28,49.096,4528047.0,2307512,0,0,28,4,4.010167,0.376,116.32,112.31,1576340125.735,1576340125.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-29.ts,100.0
29,17.291875685557585,4633189.0,2364664,0,0,29,4,4.016333,1.094,120.34,116.32,1576340130.452,1576340129.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-30.ts,100.0
30,17.433157232704403,4067144.0,2078904,0,0,30,4,4.0225,0.9540000000000001,124.36,120.34,1576340134.3140001,1576340133.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-31.ts,100.0
31,17.351529411764705,3404590.0,1732984,0,0,31,4,4.005444000000001,0.799,128.37,124.36,1576340138.158,1576340137.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-32.ts,100.0
32,15.522728184553662,3794778.0,1934520,0,0,32,4,4.011611,0.997,132.38,128.37,1576340142.356,1576340141.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-33.ts,100.0
33,28.63679437609841,3989363.0,2036792,0,0,33,4,4.017778,0.5690000000000001,136.4,132.38,1576340145.9259999,1576340145.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-34.ts,100.0
34,18.698185273159144,1935372.0,983992,0,0,34,4,4.000733,0.421,140.4,136.4,1576340149.787,1576340149.348,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-35.ts,100.0
35,19.198298568507155,2304606.0,1173496,0,0,35,4,4.0069,0.489,144.41,140.4,1576340153.849,1576340153.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-36.ts,100.0
36,22.807850187265917,2985339.0,1522424,0,0,36,4,4.0130669999999995,0.534,148.41,144.4,1576340157.8899999,1576340157.347,https://videos-a.jwpsrv.com/content/conversions/cGlKNUnj/videos/0wVnP8wm-30813216.mp4-37.ts,100.0
