,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1576330757.0718546,True,-1.0,-1.0,0,0,0,0
1,1576330760.715026,False,0.016028,3.993831,320,180,4,0
2,1576330760.8635347,False,0.106838,3.993831,320,180,4,0
3,1576330761.0076365,False,0.263714,3.993831,320,180,9,3
4,1576330761.198634,False,0.451918,3.993831,320,180,9,3
5,1576330761.3375583,False,0.584976,3.993831,320,180,18,10
6,1576330761.4764915,False,0.733484,3.993831,320,180,18,10
7,1576330761.616456,False,0.872734,3.993831,320,180,18,10
8,1576330761.770046,False,1.018549,3.993831,320,180,31,21
9,1576330761.9306457,False,1.164539,3.993831,320,180,31,21
10,1576330762.0764382,False,1.331682,3.993831,320,180,31,21
11,1576330762.2274735,False,1.484221,3.993831,320,180,45,33
12,1576330762.3624408,False,1.618192,3.993831,320,180,45,33
13,1576330762.5078788,False,1.753205,3.993831,320,180,54,40
14,1576330762.6491148,False,1.896951,3.993831,320,180,55,40
15,1576330762.8190398,False,2.075661,3.993831,320,180,63,46
16,1576330762.977646,False,2.234935,3.993831,320,180,66,49
17,1576330763.1140647,False,2.367093,3.993831,320,180,73,54
18,1576330763.2909105,False,2.547342,3.993831,320,180,74,54
19,1576330763.4365637,False,2.684222,3.993831,320,180,84,62
20,1576330763.5812917,False,2.834919,3.993831,320,180,84,62
21,1576330763.725607,False,2.979492,3.993831,320,180,91,67
22,1576330763.8723917,False,3.128585,3.993831,320,180,91,67
23,1576330764.0055666,False,3.263247,3.993831,320,180,99,73
24,1576330764.1443782,False,3.396444,3.993831,320,180,106,78
25,1576330764.2804093,False,3.536402,3.993831,320,180,106,78
26,1576330764.423684,False,3.673112,3.993831,320,180,109,80
27,1576330764.5613072,False,3.816773,7.98764,320,180,116,84
28,1576330764.7022712,False,3.951475,7.98764,320,180,117,84
29,1576330764.8358428,False,4.087002,7.98764,320,180,120,87
30,1576330764.9793317,False,4.235933,7.98764,320,180,126,90
31,1576330765.1106322,False,4.367624,7.98764,720,406,126,90
32,1576330765.2812052,False,4.511887,7.98764,720,406,134,97
33,1576330765.4562259,False,4.709056,7.98764,720,406,143,104
34,1576330765.5854573,False,4.842981,7.98764,720,406,143,104
35,1576330765.7145236,False,4.970002,7.98764,720,406,150,109
36,1576330765.8733318,False,5.131117,7.98764,720,406,151,109
37,1576330766.002023,False,5.260098,7.98764,720,406,154,112
38,1576330766.147649,False,5.396143,7.98764,720,406,161,117
39,1576330766.317132,False,5.575162,7.98764,720,406,168,122
40,1576330766.4503257,False,5.698591,7.98764,720,406,168,122
41,1576330766.5916202,False,5.843331,7.98764,720,406,175,127
42,1576330766.7514198,False,6.008324,7.98764,720,406,176,127
43,1576330766.8891494,False,6.141351,7.98764,720,406,183,133
44,1576330767.0370727,False,6.283378,7.98764,720,406,184,133
45,1576330767.2243865,False,6.469724,11.981472,720,406,195,141
46,1576330767.3692358,False,6.626261,11.981472,720,406,195,141
47,1576330767.50207,False,6.759777,11.981472,720,406,204,148
48,1576330767.6944296,False,6.95028,11.981472,720,406,204,148
49,1576330767.8259208,False,7.083677,11.981472,720,406,212,154
50,1576330767.9683588,False,7.223056,11.981472,720,406,212,154
51,1576330768.121601,False,7.379141,11.981472,720,406,220,160
52,1576330768.257292,False,7.511571,11.981472,720,406,222,162
53,1576330768.4008107,False,7.650852,11.981472,720,406,230,167
54,1576330768.617108,False,7.871842,11.981472,720,406,231,167
55,1576330768.751814,False,8.007669,11.981472,720,406,239,174
56,1576330768.872656,False,8.129182,11.981472,720,406,239,174
57,1576330769.0344145,False,8.27928,15.998525,720,406,247,180
58,1576330769.1702423,False,8.41883,15.998525,720,406,254,185
59,1576330769.3331056,False,8.588083,15.998525,720,406,254,185
60,1576330769.451833,False,8.709343,15.998525,720,406,262,191
61,1576330769.5853398,False,8.836945,15.998525,720,406,262,191
62,1576330769.718114,False,8.969511,15.998525,720,406,270,197
63,1576330769.8972313,False,9.144795,15.998525,720,406,270,197
64,1576330770.0221694,False,9.279602,15.998525,720,406,278,203
65,1576330770.163305,False,9.414151,15.998525,720,406,278,203
66,1576330770.3031044,False,9.558674,15.998525,720,406,285,208
67,1576330770.464525,False,9.705877,15.998525,720,406,292,213
68,1576330770.5917208,False,9.848887,15.998525,720,406,293,213
69,1576330770.7793293,False,10.037318,15.998525,720,406,301,220
70,1576330770.9295623,False,10.183859,15.998525,720,406,304,222
71,1576330771.066564,False,10.307346,15.998525,720,406,308,226
72,1576330771.2120767,False,10.468683,19.992357,720,406,313,229
73,1576330771.3668542,False,10.600587,19.992357,720,406,313,229
74,1576330771.5146227,False,10.771375,19.992357,720,406,321,234
75,1576330771.6632252,False,10.921172,19.992357,720,406,324,237
76,1576330771.7951088,False,11.050257,19.992357,720,406,332,243
77,1576330771.9284878,False,11.184124,19.992357,720,406,332,243
78,1576330772.0956597,False,11.353222,19.992357,720,406,340,249
79,1576330772.2391953,False,11.495292,19.992357,720,406,340,249
80,1576330772.4141772,False,11.668855,19.992357,720,406,350,256
81,1576330772.5439243,False,11.801824,19.992357,720,406,351,256
82,1576330772.6932456,False,11.937159,19.992357,720,406,359,263
83,1576330772.84756,False,12.097098,23.986189,720,406,359,263
84,1576330773.021611,False,12.268164,23.986189,720,406,366,268
85,1576330773.1629438,False,12.406932,23.986189,720,406,373,273
86,1576330773.2850647,False,12.54246,23.986189,720,406,373,273
87,1576330773.436826,False,12.682062,23.986189,720,406,380,278
88,1576330773.5731356,False,12.82987,23.986189,720,406,380,278
89,1576330773.7303345,False,12.966011,23.986189,720,406,387,283
90,1576330773.9014614,False,13.150491,23.986189,720,406,395,289
91,1576330774.0349472,False,13.292821,23.986189,720,406,396,289
92,1576330774.1694262,False,13.415923,23.986189,720,406,399,292
93,1576330774.3161185,False,13.573198,23.986189,720,406,406,297
94,1576330774.4586992,False,13.714051,23.986189,720,406,406,301
95,1576330774.5943696,False,13.85067,23.986189,720,406,413,302
96,1576330774.7627964,False,13.97419,23.986189,720,406,414,302
97,1576330774.8921306,False,14.140279,23.986189,720,406,422,308
98,1576330775.0251644,False,14.282595,23.986189,720,406,429,314
99,1576330775.191237,False,14.44897,23.986189,720,406,429,314
100,1576330775.3245058,False,14.569261,23.986189,720,406,436,319
101,1576330775.4804232,False,14.72517,27.980021,720,406,437,319
102,1576330775.6555746,False,14.911856,27.980021,720,406,447,327
103,1576330775.7925944,False,15.037325,27.980021,720,406,452,330
