,bandwidth_mbit,bitrate_level,body_size_byte,byte_end,byte_start,n_segment,quality_level_chosen,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,11.47337142857143,602352.0,301176,0,0,0,0,4.0,0.21,4.0,0.0,1576342111.1539998,1576342110.942,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813210.mp4-1.ts,3.794164180327869
1,9.807004042037185,2978572.0,1516408,0,0,1,4,4.006178,1.237,8.01,4.0,1576342112.4480002,1576342111.209,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-2.ts,100.0
2,12.24271269035533,2956371.0,1507384,0,0,2,4,4.012344000000001,0.985,12.02,8.01,1576342113.488,1576342112.501,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-3.ts,100.0
3,18.270038997214485,3211093.0,1639736,0,0,3,4,4.018511,0.718,16.04,12.02,1576342114.2580001,1576342113.538,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-4.ts,100.0
4,10.903999999999998,3709606.0,1886392,0,0,4,4,4.001456,1.3840000000000001,20.04,16.04,1576342115.6959999,1576342114.31,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-5.ts,100.0
5,11.791744408945686,2717639.0,1384056,0,0,5,4,4.0076220000000005,0.9390000000000001,24.05,20.04,1576342116.688,1576342115.747,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-6.ts,100.0
6,17.043165405405404,3863521.0,1970616,0,0,6,4,4.013789,0.925,28.06,24.05,1576342117.652,1576342116.707,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-7.ts,100.0
7,30.844168284789642,4664412.0,2382712,0,0,7,4,4.019956,0.618,32.08,28.06,1576342118.306,1576342117.686,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-8.ts,100.0
8,21.018570135746607,4565686.0,2322552,0,0,8,4,4.002911,0.884,36.08,32.08,1576342119.2280002,1576342118.341,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-9.ts,100.0
9,10.186634557495484,4151388.0,2115000,0,0,9,4,4.009078,1.661,40.09,36.08,1576342123.9290001,1576342122.266,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-10.ts,100.0
10,12.17488,3579170.0,1826232,0,0,10,4,4.015244,1.2,44.11,40.09,1576342127.469,1576342126.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-11.ts,100.0
11,23.154513089005235,4327228.0,2211256,0,0,11,4,4.021411,0.764,48.13,44.11,1576342131.038,1576342130.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-12.ts,100.0
12,49.30650746268656,3245902.0,1651768,0,0,12,4,4.004356,0.268,52.13,48.13,1576342134.634,1576342134.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-13.ts,100.0
13,39.36920649651972,4161722.0,2121016,0,0,13,4,4.010522,0.431,56.14,52.13,1576342138.6980002,1576342138.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-14.ts,100.0
14,13.286921266968326,3595573.0,1835256,0,0,14,4,4.0167,1.105,60.16,56.14,1576342143.3720002,1576342142.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-15.ts,100.0
15,15.59227713625866,3301821.0,1687864,0,0,15,4,4.022867,0.866,64.18,60.16,1576342147.1330001,1576342146.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-16.ts,100.0
16,9.144404494382021,3197471.0,1627704,0,0,16,4,4.0058110000000005,1.424,68.19,64.18,1576342151.79,1576342150.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-17.ts,100.0
17,4.363064115474991,3186736.0,1624696,0,0,17,4,4.011978,2.979,72.2,68.19,1576342157.246,1576342154.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-18.ts,100.0
18,23.56960553633218,3335094.0,1702904,0,0,18,4,4.018144,0.578,76.22,72.2,1576342158.845,1576342158.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-19.ts,100.0
19,27.291651115618663,3307667.0,1681848,0,0,19,4,4.001089,0.493,80.22,76.22,1576342162.86,1576342162.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-20.ts,100.0
20,18.559191011235956,3243583.0,1651768,0,0,20,4,4.007267,0.712,84.23,80.22,1576342167.081,1576342166.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-21.ts,100.0
21,32.585434889434886,3250477.0,1657784,0,0,21,4,4.013433,0.40700000000000003,88.24,84.23,1576342170.674,1576342170.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-22.ts,100.0
22,26.760195121951217,3222015.0,1645752,0,0,22,4,4.0196,0.492,92.26,88.24,1576342174.759,1576342174.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-23.ts,100.0
23,34.978742857142855,4512874.0,2295480,0,0,23,4,4.002544,0.525,96.26,92.26,1576342178.892,1576342178.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-24.ts,100.0
24,30.04318881118881,4216714.0,2148088,0,0,24,4,4.008711,0.5720000000000001,100.27,96.26,1576342182.839,1576342182.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-25.ts,100.0
25,29.980319688109162,3768157.0,1922488,0,0,25,4,4.0148779999999995,0.513,104.28,100.27,1576342186.7800002,1576342186.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-26.ts,100.0
26,48.38626262626262,2343727.0,1197560,0,0,26,4,4.021044,0.198,108.31,104.29,1576342190.4650002,1576342190.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-27.ts,100.0
27,31.970557235421165,3636349.0,1850296,0,0,27,4,4.004,0.463,112.31,108.31,1576342194.83,1576342194.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-28.ts,100.0
28,51.29385422740525,4315552.0,2199224,0,0,28,4,4.010167,0.343,116.32,112.31,1576342198.6100001,1576342198.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-29.ts,100.0
29,26.869970149253724,4409228.0,2250360,0,0,29,4,4.016333,0.67,120.34,116.32,1576342202.936,1576342202.265,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/XH5uLalE-30813216.mp4-30.ts,100.0
