,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1576345340.5602162,True,-1.0,-1.0,0,0,0,0
1,1576345346.8007693,False,0.033136,3.993831,320,180,4,0
2,1576345346.9382353,False,0.178854,3.993831,320,180,5,0
3,1576345347.1393592,False,0.377419,3.993831,320,180,5,0
4,1576345347.287753,False,0.527852,3.993831,320,180,19,11
5,1576345347.4200926,False,0.659502,3.993831,320,180,19,11
6,1576345347.5639405,False,0.805149,3.993831,320,180,20,11
7,1576345347.6983657,False,0.921463,3.993831,320,180,29,19
8,1576345347.8305643,False,1.070872,3.993831,320,180,30,19
9,1576345347.980919,False,1.221111,3.993831,320,180,37,25
10,1576345348.1191115,False,1.360156,3.993831,320,180,44,30
11,1576345348.2437449,False,1.483476,3.993831,320,180,44,30
12,1576345348.4156208,False,1.656719,3.993831,320,180,51,35
13,1576345348.5405254,False,1.780887,3.993831,320,180,51,35
14,1576345348.678039,False,1.91703,7.98764,320,180,60,42
15,1576345348.8503935,False,2.091781,7.98764,320,180,60,42
16,1576345349.0203137,False,2.248867,7.98764,320,180,67,47
17,1576345349.1541138,False,2.390013,7.98764,320,180,75,52
18,1576345349.2974834,False,2.527441,7.98764,320,180,75,52
19,1576345349.4431648,False,2.67646,7.98764,320,180,82,57
20,1576345349.5698185,False,2.810891,7.98764,320,180,83,57
21,1576345349.7169724,False,2.954691,7.98764,320,180,86,60
22,1576345349.832933,False,3.074245,7.98764,320,180,93,65
23,1576345349.9760098,False,3.204738,7.98764,320,180,93,65
24,1576345350.1252909,False,3.358902,11.981472,320,180,101,70
25,1576345350.2580118,False,3.49813,11.981472,320,180,104,73
26,1576345350.4024649,False,3.641347,11.981472,320,180,111,78
27,1576345350.546674,False,3.779477,11.981472,320,180,112,78
28,1576345350.6845942,False,3.925746,11.981472,320,180,115,83
29,1576345350.826286,False,4.046668,11.981472,320,180,118,83
30,1576345350.964121,False,4.203346,11.981472,320,180,128,90
31,1576345351.090031,False,4.323654,11.981472,1280,720,128,90
32,1576345351.234044,False,4.474472,11.981472,1280,720,133,93
33,1576345351.3652909,False,4.605784,15.998525,1280,720,140,98
34,1576345351.5139503,False,4.753654,15.998525,1280,720,140,98
35,1576345351.6667762,False,4.903567,15.998525,1280,720,148,104
36,1576345351.800815,False,5.039402,15.998525,1280,720,148,104
37,1576345351.9354837,False,5.175794,15.998525,1280,720,156,109
38,1576345352.0793512,False,5.31746,15.998525,1280,720,156,109
39,1576345352.24132,False,5.467794,15.998525,1280,720,163,115
40,1576345352.3838851,False,5.623459,15.998525,1280,720,170,121
41,1576345352.5203547,False,5.752845,15.998525,1280,720,174,124
42,1576345352.65253,False,5.89214,15.998525,1280,720,178,127
43,1576345352.8106117,False,6.01984,15.998525,1280,720,182,130
44,1576345352.9457626,False,6.179616,19.992357,1280,720,186,133
45,1576345353.0995655,False,6.340307,19.992357,1280,720,190,136
46,1576345353.2345946,False,6.462286,19.992357,1280,720,194,139
47,1576345353.3795013,False,6.607481,19.992357,1280,720,198,142
48,1576345353.5219944,False,6.757396,19.992357,1280,720,202,145
49,1576345353.6659274,False,6.896517,19.992357,1280,720,206,148
50,1576345353.8026774,False,7.04259,19.992357,1280,720,210,151
51,1576345353.942735,False,7.181847,23.986189,1280,720,214,154
52,1576345354.06473,False,7.305604,23.986189,1280,720,218,157
53,1576345354.2022595,False,7.431299,23.986189,1280,720,222,160
54,1576345354.3685465,False,7.587913,23.986189,1280,720,226,163
55,1576345354.5194187,False,7.758849,23.986189,1280,720,231,169
56,1576345354.6662889,False,7.890625,23.986189,1280,720,238,172
57,1576345354.802946,False,8.041451,23.986189,1280,720,242,175
58,1576345354.938869,False,8.169157,23.986189,1280,720,246,178
59,1576345355.074153,False,8.315192,23.986189,1280,720,250,181
60,1576345355.2269778,False,8.468158,23.986189,1280,720,254,184
61,1576345355.3494024,False,8.58929,23.986189,1280,720,258,187
62,1576345355.497312,False,8.736484,27.980021,1280,720,262,190
63,1576345355.659181,False,8.89964,27.980021,1280,720,267,193
64,1576345355.7936318,False,9.020257,27.980021,1280,720,267,193
65,1576345355.9410894,False,9.176154,27.980021,1280,720,274,198
66,1576345356.120727,False,9.299232,27.980021,1280,720,280,202
67,1576345356.262025,False,9.501383,27.980021,1280,720,283,204
68,1576345356.393908,False,9.633801,27.980021,1280,720,286,208
69,1576345356.579662,False,9.814863,27.980021,1280,720,291,209
70,1576345356.7052796,False,9.946056,27.980021,1280,720,299,215
71,1576345356.8476477,False,10.083237,27.980021,1280,720,299,215
72,1576345357.0194972,False,10.260002,27.980021,1280,720,306,223
73,1576345357.1672106,False,10.402407,31.997073,1280,720,313,225
74,1576345357.299365,False,10.540321,31.997073,1280,720,317,229
75,1576345357.4854107,False,10.704961,31.997073,1280,720,321,232
76,1576345357.644773,False,10.863684,31.997073,1280,720,326,235
