,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,447809.0,-1,0.0,0,0,0,0.0,0,0.0,3,,,,,,,,,,,-3,291027.0,291027.0,291027.0,322383.0,361579.0,111672,111672,111672,123704,138744,47.25554553719007,47.25554553719007,47.25554553719007,79.30672099173553,90.00464743801655,0.0,3.0697330000000003,0.001,,,,,,,,,,,3.07,0.0,1572091721.052,1572091721.016,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-1-f1-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",100.0
1,-0.008,,,,,,,,,,,1978965.0,-1,3.0380001735687254,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,413670.0,413670.0,413670.0,616285.0,898356.0,313208,313208,313208,466616,680184,27.646291900826448,27.646291900826448,27.646291900826448,66.11854363636364,80.92832223140495,0.4460000991821289,6.057144,0.001,,,,,,,,,,,9.13,3.07,1572091721.517,1572091721.494,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-2-f1-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",100.0
2,-0.008,3.231836074413588,,,,,,,,,,1686579.0,-1,6.020000038146973,0,0,2,447809.0,3,100.0,3,3.0,,,,,,,,,,0,769299.0,573299.0,1686579.0,1686579.0,1686579.0,295160,219960,647096,647096,647096,80.92832223140495,66.11854363636364,100.0,100.0,100.0,0.6949998664855959,3.069389,0.001,3.709,,,,,,,,,,12.2,9.13,1572091725.294,1572091725.267,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-3-f1-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",100.0
3,-0.008,3.1720392156862744,,3.231836074413588,,,,,,,,1868549.0,-1,7.386000041961669,0,0,3,1978965.0,3,100.0,3,3.0,,3.0,,,,,,,,0,844146.0,607746.0,1868549.0,1868549.0,1868549.0,322232,231992,713272,713272,713272,81.28726083333336,65.3439418333333,100.0,100.0,100.0,0.0,3.0538,0.001,1.6320000000000001,,3.709,,,,,,,,15.25,12.2,1572091727.077,1572091726.971,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-4-f1-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",100.0
4,-0.008,1.982687977762335,,3.1720392156862744,3.231836074413588,,,,,,,2182929.0,-1,6.808000020980835,0,0,4,1686579.0,3,100.0,3,3.0,,3.0,3.0,,,,,,,0,1000447.0,651258.0,2182929.0,2182929.0,2182929.0,758392,493688,1654776,1654776,1654776,81.72821608333331,66.80523458333333,100.0,100.0,100.0,0.0,6.064422,0.001,2.878,,1.6320000000000001,3.709,,,,,,,21.31,15.25,1572091731.179,1572091730.599,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-5-f1-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",100.0
5,-0.008,1.982687977762335,,3.1720392156862744,3.231836074413588,,,,,,,1000447.0,-1,4.0649999904632566,0,0,4,1868549.0,3,100.0,2,3.0,,3.0,3.0,,,,,,,1,1000447.0,651258.0,2182929.0,2182929.0,2182929.0,758392,493688,1654776,1654776,1654776,81.72821608333331,66.80523458333333,100.0,100.0,100.0,0.0,6.064422,0.001,2.878,,1.6320000000000001,3.709,,,,,,,21.31,15.25,1572091734.157,1572091733.342,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-5-f2-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",81.72821608333331
6,-0.008,2.2421049519586105,,1.982687977762335,3.1720392156862744,3.231836074413588,,,,,,655100.0,-1,6.565000047683714,0,0,5,2182929.0,3,100.0,2,2.0,,3.0,3.0,3.0,,,,,,1,655100.0,536886.0,1529881.0,1529881.0,1529881.0,250040,204920,583928,583928,583928,81.72821608333331,66.80523458333333,100.0,100.0,100.0,0.0,3.053455,0.001,2.706,,2.878,1.6320000000000001,3.709,,,,,,24.36,21.31,1572091737.2519999,1572091736.902,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-6-f2-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",81.72821608333331
7,-0.008,2.8781582733812945,,2.2421049519586105,1.982687977762335,3.1720392156862744,3.231836074413588,,,,,566995.0,-1,8.546000041961669,0,0,6,1000447.0,2,81.72821608333331,2,2.0,,2.0,3.0,3.0,3.0,,,,,0,504104.0,331156.0,566995.0,1502488.0,1502488.0,192888,126712,216952,574904,574904,68.13498090909091,27.939719421487595,81.81656214876038,100.0,100.0,0.0,3.061077,0.001,0.6950000000000001,,2.706,2.878,1.6320000000000001,3.709,,,,,27.43,24.37,1572091738.231,1572091737.971,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-7-f2-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",81.81656214876038
8,-0.008,3.3570909090909087,,2.8781582733812945,2.2421049519586105,1.982687977762335,3.1720392156862744,3.231836074413588,,,,704783.0,-1,10.829000101089477,0,0,7,655100.0,2,81.72821608333331,2,2.0,,2.0,2.0,3.0,3.0,3.0,,,,0,560508.0,364294.0,704783.0,1674312.0,1674312.0,292152,189880,367352,872696,872696,66.02119308333329,26.817019499999994,81.41492133333333,100.0,100.0,0.0,4.169811,0.001,0.517,,0.6950000000000001,2.706,2.878,1.6320000000000001,3.709,,,,31.6,27.43,1572091738.8379998,1572091738.758,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-8-f2-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",81.41492133333333
9,-0.008,1.4328698196001948,,3.3570909090909087,2.8781582733812945,2.2421049519586105,1.982687977762335,3.1720392156862744,3.231836074413588,,,591507.0,-1,12.852000026702882,0,0,8,566995.0,2,81.81656214876038,2,2.0,,2.0,2.0,2.0,3.0,3.0,3.0,,,0,496310.0,333683.0,591507.0,1511740.0,1511740.0,376376,253048,448568,1146424,1146424,67.31532421487604,27.593320330578514,81.48035462809915,100.0,100.0,0.0,6.066777,0.001,2.051,,0.517,0.6950000000000001,2.706,2.878,1.6320000000000001,3.709,,,37.67,31.6,1572091741.568,1572091740.905,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_229625392.mp4.urlset/seg-9-f2-v1-a1.ts?ttl=1572095311&l=0&clientip=18.196.131.93&hash=ba751f2b30d26d769be85d7f06bfb96e",81.48035462809915
