,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,291027.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,291027.0,291027.0,291027.0,330222.0,369418.0,111672,111672,111672,126712,141752,43.88629358333333,43.88629358333333,43.88629358333333,75.1414070833333,84.91275583333334,0.0,3.0697330000000003,0.001,,,,,,,,,,,3.07,0.0,1572065181.261,1572065181.228,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-1-f4-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",43.88629358333333
1,-0.008,,,,,,,,,,,369418.0,-1,3.001999921798706,0,0,0,0.0,0,0.0,2,,,,,,,,,,,-2,291027.0,291027.0,291027.0,330222.0,369418.0,111672,111672,111672,126712,141752,43.88629358333333,43.88629358333333,43.88629358333333,75.1414070833333,84.91275583333334,0.18400001525878906,3.0697330000000003,0.001,,,,,,,,,,,3.07,0.0,1572065181.5080001,1572065181.48,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-1-f2-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",84.91275583333334
2,-0.008,6.517333333333332,,,,,,,,,,576556.0,-1,2.7739999961853026,0,0,1,291027.0,0,43.88629358333333,2,2.0,,,,,,,,,,-2,262703.0,262703.0,262703.0,421616.0,576556.0,198904,198904,198904,319224,436536,35.48743241666667,35.48743241666667,35.48743241666667,62.23273983333332,76.53854049999998,0.0,6.057144,0.001,0.17400000000000002,,,,,,,,,,9.13,3.07,1572065181.7319999,1572065181.708,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-2-f2-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",76.53854049999998
3,-0.008,6.915421782178218,,6.517333333333332,,,,,,,,879059.0,-1,8.276999835968018,0,0,2,369418.0,2,84.91275583333334,2,2.0,,2.0,,,,,,,,0,479219.0,314579.0,879059.0,3113458.0,3113458.0,183864,120696,337272,1194552,1194552,62.23273983333332,35.48743241666667,76.53854049999998,100.0,100.0,0.0,3.069389,0.001,0.505,,0.17400000000000002,,,,,,,,12.2,9.13,1572065182.283,1572065182.265,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-3-f2-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",76.53854049999998
4,-0.008,7.6871111111111095,,6.915421782178218,6.517333333333332,,,,,,,1230267.0,-1,10.957999897003173,0,0,3,576556.0,2,76.53854049999998,2,2.0,,2.0,2.0,,,,,,,0,718066.0,442266.0,1230267.0,3704593.0,3704593.0,274104,168824,469624,1414136,1414136,57.09615024999995,24.64313166666665,73.96723875000002,100.0,100.0,0.0,3.0538,0.001,0.35100000000000003,,0.505,0.17400000000000002,,,,,,,15.25,12.2,1572065182.671,1572065182.654,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-4-f2-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",73.96723875000002
5,-0.008,7.559340040241448,,7.6871111111111095,6.915421782178218,6.517333333333332,,,,,,4500277.0,-1,13.464999914169312,0,0,4,879059.0,2,76.53854049999998,3,2.0,,2.0,2.0,2.0,,,,,,-1,806012.0,476663.0,1421062.0,4500277.0,4500277.0,611000,361336,1077240,3411448,3411448,58.02295058333335,26.13834558333333,74.36232500000001,100.0,100.0,0.0,6.064422,0.001,0.497,,0.35100000000000003,0.505,0.17400000000000002,,,,,,21.31,15.25,1572065183.214,1572065183.197,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-5-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
6,-0.008,7.95209324009324,,7.559340040241448,7.6871111111111095,6.915421782178218,6.517333333333332,,,,,2704136.0,-1,15.944999990463256,0,0,5,1230267.0,2,73.96723875000002,3,3.0,,2.0,2.0,2.0,2.0,,,,,-1,678743.0,450196.0,1096431.0,2704136.0,2704136.0,259064,171832,418488,1032120,1032120,58.02295058333335,26.13834558333333,74.36232500000001,100.0,100.0,0.0,3.053455,0.001,3.432,,0.497,0.35100000000000003,0.505,0.17400000000000002,,,,,24.36,21.31,1572065186.802,1572065186.777,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-6-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
7,-0.008,7.540602739726027,,7.95209324009324,7.559340040241448,7.6871111111111095,6.915421782178218,6.517333333333332,,,,2571622.0,-1,17.856000051498413,0,0,6,4500277.0,3,100.0,3,3.0,,3.0,2.0,2.0,2.0,2.0,,,,0,1093701.0,684914.0,2571622.0,2571622.0,2571622.0,418488,262072,983992,983992,983992,78.63305783333334,65.80277483333334,100.0,100.0,100.0,0.0,3.061077,0.001,1.095,,3.432,0.497,0.35100000000000003,0.505,0.17400000000000002,,,,27.43,24.37,1572065187.9559999,1572065187.916,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-7-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
8,-0.008,7.71758431372549,,7.540602739726027,7.95209324009324,7.559340040241448,7.6871111111111095,6.915421782178218,6.517333333333332,,,2945225.0,-1,19.84100001335144,0,0,7,2704136.0,3,100.0,3,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,,,0,1149851.0,690109.0,2945225.0,2945225.0,2945225.0,872696,523768,2235320,2235320,2235320,74.9312921666667,59.50695016666666,100.0,100.0,100.0,0.0,6.071711,0.001,1.02,,1.095,3.432,0.497,0.35100000000000003,0.505,0.17400000000000002,,,33.5,27.43,1572065189.0419998,1572065189.001,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-8-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
9,-0.008,7.947804444444444,,7.71758431372549,7.540602739726027,7.95209324009324,7.559340040241448,7.6871111111111095,6.915421782178218,6.517333333333332,,4034275.0,-1,23.575000047683716,0,0,8,2571622.0,3,100.0,3,3.0,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,0,1400448.0,802924.0,4034275.0,4034275.0,4034275.0,535800,307192,1543480,1543480,1543480,75.369214,60.51366600000001,100.0,100.0,100.0,0.0,3.0607330000000004,0.001,2.25,,1.02,1.095,3.432,0.497,0.35100000000000003,0.505,0.17400000000000002,,36.56,33.5,1572065191.3799999,1572065191.337,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-9-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
10,-0.008,7.589330055316533,,7.947804444444444,7.71758431372549,7.540602739726027,7.95209324009324,7.559340040241448,7.6871111111111095,6.915421782178218,6.517333333333332,3514469.0,-1,24.922999916076662,0,0,9,2945225.0,3,100.0,3,3.0,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,1302853.0,777398.0,3514469.0,3514469.0,3514469.0,499704,298168,1347960,1347960,1347960,75.369214,60.51366600000001,100.0,100.0,100.0,0.0,3.068366,0.001,1.627,,2.25,1.02,1.095,3.432,0.497,0.35100000000000003,0.505,0.17400000000000002,39.63,36.56,1572065193.093,1572065193.049,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-10-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
11,-0.008,7.478280166435507,6.517333333333332,7.589330055316533,7.947804444444444,7.71758431372549,7.540602739726027,7.95209324009324,7.559340040241448,7.6871111111111095,6.915421782178218,3791438.0,-1,26.468999986648562,0,0,10,4034275.0,3,100.0,3,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0,1343618.0,783322.0,3791438.0,3791438.0,3791438.0,1017080,592952,2870008,2870008,2870008,72.29775575,56.47933541666666,100.0,100.0,100.0,0.0,6.055766,0.001,1.442,0.17400000000000002,1.627,2.25,1.02,1.095,3.432,0.497,0.35100000000000003,0.505,45.69,39.63,1572065194.618,1572065194.573,"https://d1v-h.phncdn.com/hls/videos/201907/10/234457601/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_234457601.mp4.urlset/seg-11-f1-v1-a1.ts?ttl=1572068766&l=0&clientip=18.196.131.93&hash=7de76809bd92ea06e1293cda7da145aa",100.0
