,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,291109.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,291109.0,291109.0,291109.0,330316.0,369522.0,111672,111672,111672,126712,141752,34.95231173553718,34.95231173553718,34.95231173553718,69.98251123966946,81.83071140495866,0.0,3.068867,0.001,,,,,,,,,,,3.07,0.0,1572053637.325,1572053637.282,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-1-f4-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",34.95231173553718
1,-0.008,,,,,,,,,,,330316.0,-1,2.875000066757202,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,291109.0,291109.0,291109.0,330316.0,369522.0,111672,111672,111672,126712,141752,34.95231173553718,34.95231173553718,34.95231173553718,69.98251123966946,81.83071140495866,0.6480000019073486,3.068867,0.001,,,,,,,,,,,3.07,0.0,1572053638.166,1572053638.125,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-1-f3-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",69.98251123966946
2,-0.008,2.324990825688073,,,,,,,,,,731808.0,-1,2.359999961853027,0,0,1,291109.0,0,34.95231173553718,1,1.0,,,,,,,,,,-1,485388.0,485388.0,485388.0,731808.0,1149133.0,367352,367352,367352,553848,869688,26.054799583333345,26.054799583333345,26.054799583333345,61.93101008333337,75.60163433333331,0.0,6.054567,0.001,0.436,,,,,,,,,,9.12,3.07,1572053638.6650002,1572053638.64,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-2-f3-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",61.93101008333337
3,-0.008,5.006535593220339,,2.324990825688073,,,,,,,,1037023.0,-1,7.471999998092651,0,0,2,330316.0,1,69.98251123966946,2,1.0,,1.0,,,,,,,,-1,456211.0,456211.0,683827.0,1037023.0,2363471.0,174840,174840,262072,397432,905784,26.054799583333345,26.054799583333345,61.93101008333337,75.60163433333331,100.0,0.0,3.065944,0.001,0.885,,0.436,,,,,,,,12.19,9.12,1572053639.6060002,1572053639.578,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-3-f2-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",75.60163433333331
4,-0.008,5.006535593220339,,2.324990825688073,,,,,,,,2265739.0,-1,9.987000169754028,0,0,3,731808.0,1,61.93101008333337,3,1.0,,1.0,,,,,,,,-2,458671.0,458671.0,687514.0,1018941.0,2265739.0,174840,174840,262072,388408,863672,24.943867583333336,24.943867583333336,61.41436549999996,75.72365908333332,100.0,0.0,3.049501,0.001,0.885,,0.436,,,,,,,,15.24,12.19,1572053640.165,1572053640.133,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-4-f1-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",100.0
5,-0.008,11.0904911717496,,6.397295774647888,5.006535593220339,2.324990825688073,,,,,,2224815.0,-1,11.65700005531311,0,0,4,1037023.0,2,75.60163433333331,3,3.0,,2.0,1.0,1.0,,,,,,-1,683680.0,449332.0,1013356.0,2224815.0,2224815.0,517752,340280,767416,1684856,1684856,65.28495841666667,30.10279941666668,77.44861058333339,100.0,100.0,0.0,6.058411,0.001,0.623,,0.497,0.885,0.436,,,,,,21.3,15.24,1572053641.525,1572053641.513,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-5-f1-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",100.0
6,-0.008,13478.847999999998,,11.0904911717496,6.397295774647888,5.006535593220339,2.324990825688073,,,,,2133628.0,-1,17.095000076293946,0,0,5,2265739.0,3,100.0,3,3.0,,3.0,2.0,1.0,1.0,,,,,0,988321.0,696070.0,2133628.0,2133628.0,2133628.0,376376,265080,812536,812536,812536,77.44861058333339,65.28495841666667,100.0,100.0,100.0,0.0,3.046589,0.001,0.001,,0.623,0.497,0.885,0.436,,,,,24.35,21.3,1572053642.147,1572053642.135,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-6-f1-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",100.0
7,-0.008,24.3456479400749,,13478.847999999998,11.0904911717496,6.397295774647888,5.006535593220339,2.324990825688073,,,,2199838.0,-1,19.257999992370607,0,0,6,2224815.0,3,100.0,3,3.0,,3.0,3.0,2.0,1.0,1.0,,,,0,1025540.0,694530.0,2199838.0,2199838.0,2199838.0,391416,265080,839608,839608,839608,77.06191808333334,64.06796066666665,100.0,100.0,100.0,0.0,3.053344,0.001,0.267,,0.001,0.623,0.497,0.885,0.436,,,,27.39,24.34,1572053643.0340002,1572053643.022,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-7-f1-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",100.0
8,-0.008,33.58431999999999,,24.3456479400749,13478.847999999998,11.0904911717496,6.397295774647888,5.006535593220339,2.324990825688073,,,2068591.0,-1,22.06900013923645,0,0,7,2133628.0,3,100.0,3,3.0,,3.0,3.0,3.0,2.0,1.0,1.0,,,0,949200.0,659428.0,2068591.0,2068591.0,2068591.0,719288,499704,1567544,1567544,1567544,76.71153175000002,64.88890641666666,100.0,100.0,100.0,0.0,6.062266999999999,0.001,0.2,,0.267,0.001,0.623,0.497,0.885,0.436,,,33.46,27.4,1572053643.267,1572053643.251,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-8-f1-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",100.0
9,-0.008,31.909292620865134,,33.58431999999999,24.3456479400749,13478.847999999998,11.0904911717496,6.397295774647888,5.006535593220339,2.324990825688073,,2075717.0,-1,27.693999967575074,0,0,8,2199838.0,3,100.0,3,3.0,,3.0,3.0,3.0,3.0,2.0,1.0,1.0,,0,955520.0,679415.0,2075717.0,2075717.0,2075717.0,364344,259064,791480,791480,791480,76.71153175000002,64.88890641666666,100.0,100.0,100.0,0.0,3.050434,0.001,0.393,,0.2,0.267,0.001,0.623,0.497,0.885,0.436,,36.51,33.46,1572053643.7080002,1572053643.696,"https://e1v-h.phncdn.com/hls/videos/201907/13/235104481/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_235104481.mp4.urlset/seg-9-f1-v1-a1.ts?validfrom=1572050024&validto=1572057224&ip=18.196.131.93&hdl=-1&hash=Igm0KKBoSN49k0q3%2BUCEgelZkY0%3D",100.0
