,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,245609.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,245609.0,245609.0,245609.0,270720.0,333495.0,117688,117688,117688,129720,159800,36.72955855670102,36.72955855670102,36.72955855670102,73.58887721649485,88.14799876288662,0.0,3.833333,0.001,,,,,,,,,,,3.83,0.0,1572035478.762,1572035478.612,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-1-f4-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",36.72955855670102
1,-0.008,,,,,,,,,,,333495.0,-1,3.349000053405762,0,0,0,0.0,0,0.0,2,,,,,,,,,,,-2,245609.0,245609.0,245609.0,270720.0,333495.0,117688,117688,117688,129720,159800,36.72955855670102,36.72955855670102,36.72955855670102,73.58887721649485,88.14799876288662,0.7760000228881836,3.833333,0.001,,,,,,,,,,,3.83,0.0,1572035479.901,1572035479.869,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-1-f2-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",88.14799876288662
2,-0.008,0.4224719101123595,,,,,,,,,,321917.0,-1,0.0,0,0,1,245609.0,0,36.72955855670102,0,2.0,,,,,,,,,,0,321917.0,321917.0,321917.0,473037.0,844541.0,153784,153784,153784,225976,403448,37.20575916666667,37.20575916666667,37.20575916666667,66.44152093749999,83.83005083333333,0.607000036239624,3.8217,0.001,3.0260000000000002,,,,,,,,,,7.65,3.83,1572035483.864,1572035483.825,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-2-f4-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",37.20575916666667
3,-0.008,0.9257125658389768,,0.4224719101123595,,,,,,,,440219.0,-1,3.8030000400543216,0,0,2,333495.0,2,88.14799876288662,1,0.0,,2.0,,,,,,,,1,440219.0,320944.0,747823.0,1827577.0,1827577.0,210936,153784,358328,875704,875704,68.58205343750004,39.49442510416667,84.59777604166662,100.0,100.0,1.36899995803833,3.8332889999999997,0.001,1.329,,3.0260000000000002,,,,,,,,11.49,7.66,1572035485.243,1572035485.211,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-3-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",68.58205343750004
4,-0.008,0.7171644708882277,,0.9257125658389768,0.4224719101123595,,,,,,,517120.0,-1,5.245000038146973,0,0,3,321917.0,0,37.20575916666667,1,1.0,,0.0,2.0,,,,,,,-1,410075.0,410075.0,410075.0,517120.0,857144.0,195896,195896,195896,247032,409464,43.52534572916668,43.52534572916668,43.52534572916668,65.56144354166665,81.41981624999998,0.0,3.8216550000000002,0.001,2.353,,1.329,3.0260000000000002,,,,,,,15.31,11.49,1572035487.6499999,1572035487.609,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-4-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",65.56144354166665
5,-0.008,1.0852586490939045,,0.7171644708882277,0.9257125658389768,0.4224719101123595,,,,,,530339.0,-1,7.180999975204468,0,0,4,440219.0,1,68.58205343750004,1,1.0,,1.0,0.0,2.0,,,,,,0,390714.0,390714.0,530339.0,793724.0,1901210.0,370360,370360,502712,752376,1802168,38.423032395833346,38.423032395833346,66.13913958333335,80.2380571875,100.0,0.0,7.5832440000000005,0.001,1.821,,2.353,1.329,3.0260000000000002,,,,,,22.89,15.31,1572035489.539,1572035489.493,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-5-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",66.13913958333335
6,-0.008,0.8488172224567326,,1.0852586490939045,0.7171644708882277,0.9257125658389768,0.4224719101123595,,,,,546951.0,-1,9.948000011444092,0,0,5,517120.0,1,65.56144354166665,1,1.0,,1.0,1.0,0.0,2.0,,,,,0,402562.0,402562.0,546951.0,842007.0,1877842.0,192888,192888,262072,403448,899768,31.32594447916665,31.32594447916665,65.40947468750001,81.09152510416666,100.0,0.0,3.8332,0.001,4.738,,1.821,2.353,1.329,3.0260000000000002,,,,,26.72,22.89,1572035494.327,1572035494.306,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-6-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",65.40947468750001
7,-0.008,0.9380653243847874,,0.8488172224567326,1.0852586490939045,0.7171644708882277,0.9257125658389768,0.4224719101123595,,,,491944.0,-1,11.50400008201599,0,0,6,530339.0,1,66.13913958333335,1,1.0,,1.0,1.0,1.0,0.0,2.0,,,,0,372303.0,372303.0,491944.0,769008.0,1732433.0,177848,177848,235000,367352,827576,30.321981770833343,30.321981770833343,64.05469416666664,79.61620625000002,100.0,0.0,3.8215660000000002,0.001,2.235,,4.738,1.821,2.353,1.329,3.0260000000000002,,,,30.55,26.73,1572035496.613,1572035496.58,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-7-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",64.05469416666664
8,-0.008,0.5048335123523093,,0.9380653243847874,0.8488172224567326,1.0852586490939045,0.7171644708882277,0.9257125658389768,0.4224719101123595,,,541490.0,-1,11.555999965667725,0,0,7,546951.0,1,65.40947468750001,1,1.0,,1.0,1.0,1.0,1.0,0.0,2.0,,,0,403371.0,403371.0,541490.0,817729.0,1797120.0,96632,96632,129720,195896,430520,30.321981770833343,30.321981770833343,64.05469416666664,79.61620625000002,100.0,0.0,1.9164880000000002,0.001,3.724,,2.235,4.738,1.821,2.353,1.329,3.0260000000000002,,,32.47,30.55,1572035500.391,1572035500.358,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-8-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",64.05469416666664
9,-0.008,0.6465794392523365,,0.5048335123523093,0.9380653243847874,0.8488172224567326,1.0852586490939045,0.7171644708882277,0.9257125658389768,0.4224719101123595,,515621.0,-1,11.459999933242797,0,0,8,491944.0,1,64.05469416666664,1,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,2.0,,0,352380.0,352380.0,515621.0,816989.0,1771320.0,168824,168824,247032,391416,848632,30.30783760416668,30.30783760416668,63.85661645833335,79.95927260416666,100.0,0.0,3.8327660000000003,0.001,1.605,,3.724,2.235,4.738,1.821,2.353,1.329,3.0260000000000002,,36.29,32.46,1572035502.381,1572035502.374,"https://c1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-9-f3-v1-a1.ts?WzhbIVuVtWFEn8YwPmrKr0P0ELWd9Tkgdc_wI_a6hLP3K8id-vS8cKcAuJtD8Ia8HYO6gwOagEFCnVoQYbDrjNYjC_b4vkQwnLLudozarmxpbUoe1_P6XxsAQxoJguZDF9bBylkl_gqeH9n8aHD6RNvQttCkTsLh0-c7oMAbSxkLa6eRVIwDMwmaYPwxyg_JVxGLPNEPBG4atWVAyACu",63.85661645833335
