,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,245609.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,245609.0,245609.0,245609.0,270720.0,333495.0,117688,117688,117688,129720,159800,36.72955855670102,36.72955855670102,36.72955855670102,73.58887721649485,88.14799876288662,0.0,3.833333,0.001,,,,,,,,,,,3.83,0.0,1572082799.118,1572082799.057,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-1-f4-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",36.72955855670102
1,-0.008,,,,,,,,,,,321917.0,-1,3.7979999351501466,0,0,1,0.0,0,0.0,0,,,,,,,,,,,0,321917.0,321917.0,321917.0,473037.0,844541.0,153784,153784,153784,225976,403448,37.20575916666667,37.20575916666667,37.20575916666667,66.44152093749999,83.83005083333333,1.6099998950958252,3.8217,0.001,,,,,,,,,,,7.65,3.83,1572082800.768,1572082800.699,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-2-f4-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",37.20575916666667
2,-0.008,0.5656422988505747,,,,,,,,,,320944.0,-1,5.359999799728394,0,0,2,245609.0,0,36.72955855670102,0,0.0,,,,,,,,,,0,320944.0,320944.0,320944.0,440219.0,747823.0,153784,153784,153784,210936,358328,39.49442510416667,39.49442510416667,39.49442510416667,68.58205343750004,84.59777604166662,0.0,3.8332889999999997,0.001,2.1750000000000003,,,,,,,,,,11.49,7.66,1572082803.017,1572082802.957,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-3-f4-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",39.49442510416667
3,-0.008,1.1465722273998138,,0.5656422988505747,,,,,,,,517120.0,-1,7.9069998168945315,0,0,3,321917.0,0,37.20575916666667,1,0.0,,0.0,,,,,,,,-1,410075.0,410075.0,410075.0,517120.0,857144.0,195896,195896,195896,247032,409464,43.52534572916668,43.52534572916668,43.52534572916668,65.56144354166665,81.41981624999998,0.0,3.8216550000000002,0.001,1.073,,2.1750000000000003,,,,,,,,15.31,11.49,1572082804.271,1572082804.25,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-4-f3-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",65.56144354166665
4,-0.008,1.152335860058309,,1.1465722273998138,0.5656422988505747,,,,,,,530339.0,-1,9.973999795913697,0,0,4,320944.0,0,39.49442510416667,1,1.0,,0.0,0.0,,,,,,,-1,390714.0,390714.0,390714.0,530339.0,793724.0,370360,370360,370360,502712,752376,38.423032395833346,38.423032395833346,38.423032395833346,66.13913958333335,80.2380571875,0.0,7.5832440000000005,0.001,1.715,,1.073,2.1750000000000003,,,,,,,22.89,15.31,1572082806.021,1572082806.003,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-5-f3-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",66.13913958333335
5,-0.008,1.1969333333333332,,1.152335860058309,1.1465722273998138,0.5656422988505747,,,,,,546951.0,-1,14.148999824523926,0,0,5,517120.0,1,65.56144354166665,1,1.0,,1.0,0.0,0.0,,,,,,0,402562.0,402562.0,546951.0,842007.0,1877842.0,192888,192888,262072,403448,899768,31.32594447916665,31.32594447916665,65.40947468750001,81.09152510416666,100.0,0.0,3.8332,0.001,3.36,,1.715,1.073,2.1750000000000003,,,,,,26.72,22.89,1572082809.423,1572082809.408,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-6-f3-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",65.40947468750001
6,-0.008,1.1912363636363634,,1.1969333333333332,1.152335860058309,1.1465722273998138,0.5656422988505747,,,,,491944.0,-1,16.179999799728392,0,0,6,530339.0,1,66.13913958333335,1,1.0,,1.0,1.0,0.0,0.0,,,,,0,372303.0,372303.0,491944.0,769008.0,1732433.0,177848,177848,235000,367352,827576,30.321981770833343,30.321981770833343,64.05469416666664,79.61620625000002,100.0,0.0,3.8215660000000002,0.001,1.76,,3.36,1.715,1.073,2.1750000000000003,,,,,30.55,26.73,1572082811.5410001,1572082811.207,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-7-f3-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",64.05469416666664
7,-0.008,1.1861198738170347,,1.1912363636363634,1.1969333333333332,1.152335860058309,1.1465722273998138,0.5656422988505747,,,,541490.0,-1,18.07899980545044,0,0,7,546951.0,1,65.40947468750001,1,1.0,,1.0,1.0,1.0,0.0,0.0,,,,0,403371.0,403371.0,541490.0,817729.0,1797120.0,96632,96632,129720,195896,430520,30.321981770833343,30.321981770833343,64.05469416666664,79.61620625000002,100.0,0.0,1.9164880000000002,0.001,1.585,,1.76,3.36,1.715,1.073,2.1750000000000003,,,,32.47,30.55,1572082813.159,1572082813.138,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-8-f3-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",64.05469416666664
8,-0.008,1.4393342579750348,,1.1861198738170347,1.1912363636363634,1.1969333333333332,1.152335860058309,1.1465722273998138,0.5656422988505747,,,816989.0,-1,19.122999877929686,0,0,8,491944.0,1,64.05469416666664,2,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,,,-1,352380.0,352380.0,515621.0,816989.0,1771320.0,168824,168824,247032,391416,848632,30.30783760416668,30.30783760416668,63.85661645833335,79.95927260416666,100.0,0.0,3.8327660000000003,0.001,0.721,,1.585,1.76,3.36,1.715,1.073,2.1750000000000003,,,36.29,32.46,1572082814.054,1572082814.014,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-9-f2-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",79.95927260416666
9,-0.008,1.4763451202263083,,1.4393342579750348,1.1861198738170347,1.1912363636363634,1.1969333333333332,1.152335860058309,1.1465722273998138,0.5656422988505747,,838369.0,-1,20.76699975967407,0,0,9,541490.0,1,64.05469416666664,2,2.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,-1,410131.0,410131.0,536083.0,838369.0,1890069.0,195896,195896,256056,400440,902776,32.42667041666665,32.42667041666665,63.28161166666669,78.20127208333334,100.0,0.0,3.821133,0.001,2.121,,0.721,1.585,1.76,3.36,1.715,1.073,2.1750000000000003,,40.12,36.3,1572082816.233,1572082816.19,"https://d1v-h.phncdn.com/hls/videos/201908/22/243445611/,1080P_4000K,720P_1500K,480P_600K,240P_400K,_243445611.mp4.urlset/seg-10-f2-v1-a1.ts?ttl=1572086385&l=0&clientip=18.196.131.93&hash=a3cdf69de0944fc5702f01b67de28aa8",78.20127208333334
