,bandwidth_mbit,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8736476426799005,361579.0,144760,0.0,0,0,0,0.0,0.0,0.0,2,-2.0,291027.0,291027.0,291027.0,322383.0,361579.0,111672.0,111672.0,111672.0,123704.0,138744.0,47.25554553719007,47.25554553719007,47.25554553719007,79.30672099173553,90.00464743801655,0.0,3.0697330000000003,0.403,3.07,0.0,1576500737.5010002,1576500737.094,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-1-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",90.00464743801655
1,2.0914534653465346,898356.0,1056184,,0,0,1,,,,2,,,,,,,,,,,,,,,,,,6.057144,4.04,9.13,3.07,1576500741.618,1576500737.528,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-2-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",80.92832223140495
2,2.909530787217459,769299.0,466616,,0,0,2,,,,2,,,,,,,,,,,,,,,,,,3.069389,1.283,12.2,9.13,1576500742.941,1576500741.65,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-3-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",80.92832223140495
3,2.8680930232558137,844146.0,508728,,0,0,3,,,,2,,,,,,,,,,,,,,,,,,3.0538,1.419,15.25,12.2,1576500744.4499998,1576500742.975,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-4-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.28726083333336
4,2.7777822604568376,1000447.0,1170488,,0,0,4,,,,2,,,,,,,,,,,,,,,,,,6.064422,3.371,21.31,15.25,1576500747.84,1576500744.462,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-5-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.72821608333331
5,2.7640379637618633,655100.0,400440,,0,0,5,,,,2,,,,,,,,,,,,,,,,,,3.053455,1.159,24.36,21.31,1576500749.0249999,1576500747.86,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-6-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.72821608333331
6,2.760524975514201,566995.0,352312,,0,0,6,,,,2,,,,,,,,,,,,,,,,,,3.061077,1.0210000000000001,27.43,24.37,1576500750.058,1576500749.033,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-7-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.81656214876038
7,2.854161251504211,704783.0,592952,,0,0,7,,,,2,,,,,,,,,,,,,,,,,,4.169811,1.6620000000000001,31.6,27.43,1576500751.7380002,1576500750.068,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-8-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.41492133333333
8,2.184650602409638,591507.0,725304,,0,0,8,,,,2,,,,,,,,,,,,,,,,,,6.066777,2.656,37.67,31.6,1576500754.411,1576500751.749,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-9-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.48035462809915
9,2.7333788395904435,662470.0,400440,,0,0,9,,,,2,,,,,,,,,,,,,,,,,,3.0558110000000003,1.172,40.73,37.67,1576500757.078,1576500755.897,"https://d1v-h.phncdn.com/hls/videos/201906/15/229625392/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_229625392.mp4.urlset/seg-10-f2-v1-a1.ts?ttl=1576504329&l=0&clientip=3.124.187.246&hash=11da21ffb7456712eae6b26f16e4baf3",81.48035462809915
