,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572029393.374641,False,0.519853,10.018333,960,544,4,0
1,1572029393.3770678,False,0.523874,10.018333,960,544,4,0
2,1572029393.521252,False,0.668644,10.018333,960,544,4,0
3,1572029393.709013,False,0.843397,10.018333,960,544,4,0
4,1572029393.8575144,False,1.006952,10.018333,960,544,4,0
5,1572029394.0212746,False,1.157401,10.018333,960,544,4,0
6,1572029394.1709733,False,1.316529,10.018333,960,544,4,0
7,1572029394.33214,False,1.465104,10.018333,960,544,4,0
8,1572029394.4996145,False,1.644287,10.018333,960,544,4,0
9,1572029394.6645756,False,1.812055,10.018333,960,544,4,0
10,1572029394.823076,False,1.970299,10.018333,960,544,6,0
11,1572029394.9824471,False,2.126708,10.018333,960,544,10,2
12,1572029395.1310053,False,2.276108,10.018333,960,544,14,4
13,1572029395.284677,False,2.433015,10.018333,960,544,18,5
14,1572029395.4712527,False,2.611886,10.018333,960,544,23,6
15,1572029395.6276474,False,2.771257,10.018333,960,544,27,7
16,1572029395.785589,False,2.920886,10.018333,960,544,31,7
17,1572029395.9452155,False,3.092691,10.018333,960,544,35,8
18,1572029396.1104043,False,3.253032,10.018333,960,544,38,8
19,1572029396.2729833,False,3.418604,10.018333,960,544,42,8
20,1572029396.4367075,False,3.584758,10.018333,960,544,47,10
21,1572029396.5966828,False,3.740558,10.018333,960,544,51,10
22,1572029396.743711,False,3.891649,10.018333,960,544,55,10
23,1572029396.9463148,False,4.069633,10.018333,960,544,59,11
24,1572029397.1055024,False,4.248671,10.018333,960,544,64,12
25,1572029397.2850463,False,4.421397,10.018333,960,544,68,12
26,1572029397.44962,False,4.583045,10.018333,960,544,73,13
27,1572029397.6570735,False,4.799986,10.018333,960,544,78,15
28,1572029397.8323607,False,4.980446,10.018332,960,544,81,15
29,1572029398.0057538,False,5.152441,10.018332,960,544,86,17
30,1572029398.1824696,False,5.327285,10.018332,960,544,90,17
31,1572029398.3418732,False,5.48608,10.018332,960,544,94,17
32,1572029398.506041,False,5.644752,10.018332,960,544,99,18
33,1572029398.6683276,False,5.805468,10.018332,960,544,103,19
34,1572029398.8559296,False,5.980764,10.018332,960,544,107,19
35,1572029399.0452557,False,6.182342,10.018332,960,544,112,20
36,1572029399.2072456,False,6.351756,10.018332,960,544,115,20
37,1572029399.3700588,False,6.514404,10.018332,960,544,119,20
38,1572029399.5301285,False,6.676513,10.018332,960,544,124,21
39,1572029399.6961296,False,6.827615,10.018332,960,544,129,22
40,1572029399.8585575,False,7.006978,10.018332,960,544,133,23
41,1572029400.0219166,False,7.163285,10.018332,960,544,137,23
42,1572029400.186103,False,7.321971,10.018332,960,544,140,23
43,1572029400.3690739,False,7.508299,10.018332,960,544,145,24
44,1572029400.515935,False,7.65899,10.018332,960,544,150,25
45,1572029400.689998,False,7.834048,10.018332,960,544,153,26
46,1572029400.8419602,False,7.986618,20.0,960,544,158,26
47,1572029401.013925,False,8.156066,20.0,960,544,161,27
48,1572029401.1849873,False,8.327214,20.0,960,544,166,28
49,1572029401.3693018,False,8.52019,20.0,960,544,171,30
50,1572029401.5595124,False,8.67259,20.0,960,544,175,30
51,1572029401.7467787,False,8.892229,20.0,960,544,178,30
52,1572029401.9509315,False,9.094914,20.0,960,544,184,31
53,1572029402.1111495,False,9.254878,20.0,960,544,188,31
