,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,bitrate_level_encoded
0,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_4_av.ts?start=911.88&end=1247.2",1572053280.676,1572053289.2600002,0,8.461,2730700,2.581917031083796,0,0,10.08,0.0,10.08,4,2124250.0,89.70847506024101,0.0,0.0,0.0,231052.0,25.40568095617529,184841.0,231052.0,25.40568095617529,184841.0,231052.0,25.40568095617529,184841.0,474700.0,42.55546131474105,379760.0,952972.0,75.12563124000005,756326.0,-4.0,0.0,0.0,2196858.794117647
1,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_1_av.ts?start=911.88&end=1247.2",1572053292.044,1572053298.9959998,0,6.938,234060,0.269887575670222,0,0,10.08,0.0,10.08,0,184841.0,25.40568095617529,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
2,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_1_av.ts?start=911.88&end=1247.2",1572053299.043,1572053307.312,1,8.262,246092,0.23828806584362136,0,0,10.080333,10.08,20.16,0,192060.0,18.587608600000006,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
3,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment94_1_av.ts?start=911.88&end=1247.2",1572053307.347,1572053313.556,2,6.2029999999999985,231052,0.2979874254393035,0,0,10.08,20.16,30.24,0,184258.0,15.438005617529873,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
4,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment95_1_av.ts?start=911.88&end=1247.2",1572053313.597,1572053318.814,3,5.194,240076,0.3697743550250289,0,0,10.08,30.24,40.32,0,194467.0,16.716783200000002,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
5,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment96_1_av.ts?start=911.88&end=1247.2",1572053318.856,1572053323.404,4,4.541,228044,0.4017511561330103,0,0,10.08,40.32,50.4,0,182435.0,5.071517609561751,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
6,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment97_1_av.ts?start=911.88&end=1247.2",1572053323.457,1572053328.711,5,5.247999999999998,240076,0.3659695121951219,0,0,10.080333,50.4,60.48,0,193949.0,5.531787719999999,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
7,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment98_1_av.ts?start=911.88&end=1247.2",1572053328.7529998,1572053332.2770002,6,3.517,225036,0.5118817173727609,0,0,10.08,60.48,70.56,0,182435.0,3.373048844621513,,,,,,,,,,,,,,,,,,,,,,188169.88235294117
8,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment98_2_av.ts?start=911.88&end=1247.2",1572053332.3979998,1572053339.281,6,6.8500000000000005,465676,0.5438551824817518,0,0,10.08,60.48,70.56,1,374947.0,7.152592031872512,,,,,,,,,,,,,,,,,,,,,,392131.5294117647
9,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment99_2_av.ts?start=911.88&end=1247.2",1572053339.314,1572053347.28,7,7.957000000000002,501772,0.5044835993464873,0,0,10.08,70.56,80.64,1,385552.0,4.437406960000004,,,,,,,,,,,,,,,,,,,,,,392131.5294117647
