,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8586233970164874,,,,,,,,,,,2124250.0,2730700,0.0,0,0,0,0.0,0,0.0,4,,,,,,,,,,,-4,184841.0,184841.0,184841.0,379760.0,756326.0,231052,231052,231052,474700,952972,25.40568095617529,25.40568095617529,25.40568095617529,42.55546131474105,75.12563124000005,0.0,10.08,7.642,,,,,,,,,,,10.08,0.0,1576347618.108,1576347610.253,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_4_av.ts?start=911.88&end=1247.2",89.70847506024101
1,-0.008,,,,,,,,,,,2183861.0,-1,0.0,0,0,1,0.0,0,0.0,4,,,,,,,,,,,-4,192060.0,192060.0,192060.0,401417.0,756301.0,240076,240076,240076,501772,952972,18.587608600000006,18.587608600000006,18.587608600000006,32.25079240000001,74.80166453815254,8.67199993133545,10.080333,0.001,,,,,,,,,,,20.16,10.08,1576347618.9689999,1576347618.925,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_4_av.ts?start=911.88&end=1247.2",89.78171614457828
2,-0.008,3.1193994882001705,,,,,,,,,,2355819.0,-1,9.958000020980835,0,0,2,2124250.0,4,89.70847506024101,4,4.0,,,,,,,,,,0,1443869.0,718130.0,2355819.0,3778650.0,3778650.0,1819276,904844,2968332,4761100,4761100,84.16921257028106,75.1646327309237,93.87046771084336,100.0,100.0,7.078999996185303,10.08,0.001,7.034,,,,,,,,,,30.24,20.16,1576347626.154,1576347626.126,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment94_4_av.ts?start=911.88&end=1247.2",93.87046771084336
3,-0.008,3.148189433342458,,3.1193994882001705,,,,,,,,2155285.0,-1,12.615999851226805,0,0,3,2183861.0,4,89.78171614457828,4,4.0,,4.0,,,,,,,,0,1398511.0,802482.0,2155285.0,3812073.0,3812073.0,1762124,1007116,2715660,4803212,4803212,82.90976759036143,70.28486465863445,91.89395325301207,100.0,100.0,0.0,10.08,0.001,7.306,,7.034,,,,,,,,40.32,30.24,1576347633.5640001,1576347633.548,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment95_4_av.ts?start=911.88&end=1247.2",91.89395325301207
4,-0.008,3.5890964698226773,,3.148189433342458,3.1193994882001705,,,,,,,2222130.0,-1,16.438999881744387,0,0,4,2355819.0,4,93.87046771084336,4,4.0,,4.0,4.0,,,,,,,0,1348377.0,709683.0,2222130.0,3716580.0,3716580.0,1698956,892812,2799884,4682892,4682892,79.34021895161294,46.62624212851404,90.42502923387094,100.0,100.0,0.0,10.08,0.001,6.147,,7.306,7.034,,,,,,,50.4,40.32,1576347639.818,1576347639.805,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment96_4_av.ts?start=911.88&end=1247.2",90.42502923387094
5,-0.008,3.701410640751112,,3.5890964698226773,3.148189433342458,3.1193994882001705,,,,,,2207733.0,-1,20.341999835968018,0,0,5,2155285.0,4,91.89395325301207,4,4.0,,4.0,4.0,4.0,,,,,,0,1427111.0,780174.0,2207733.0,3790462.0,3790462.0,1798220,983052,2781836,4776140,4776140,81.08475453815258,33.335120763052245,91.2663186746988,100.0,100.0,0.0,10.080333,0.001,6.071,,6.147,7.306,7.034,,,,,,60.48,50.4,1576347645.996,1576347645.982,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment97_4_av.ts?start=911.88&end=1247.2",91.2663186746988
6,-0.008,3.7833361227336124,,3.701410640751112,3.5890964698226773,3.148189433342458,3.1193994882001705,,,,,2102765.0,-1,24.59199991226196,0,0,6,2222130.0,4,90.42502923387094,4,4.0,,4.0,4.0,4.0,4.0,,,,,0,1334053.0,720991.0,2102765.0,3556631.0,3556631.0,1680908,904844,2649484,4481356,4481356,85.50325485943776,16.277538835341367,93.92359883534134,100.0,100.0,0.0,10.08,0.001,5.736,,6.071,6.147,7.306,7.034,,,,,70.56,60.48,1576347651.8240001,1576347651.812,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment98_4_av.ts?start=911.88&end=1247.2",93.92359883534134
7,-0.008,3.7215066177643115,,3.7833361227336124,3.701410640751112,3.5890964698226773,3.148189433342458,3.1193994882001705,,,,2267488.0,-1,28.299999933242802,0,0,7,2207733.0,4,91.2663186746988,4,4.0,,4.0,4.0,4.0,4.0,4.0,,,,0,1455806.0,747544.0,2267488.0,3790587.0,3790587.0,1834316,940940,2857036,4776140,4776140,83.66931566265062,33.39091674698797,92.52117128514057,100.0,100.0,0.0,10.08,0.001,6.271,,5.736,6.071,6.147,7.306,7.034,,,,80.64,70.56,1576347658.197,1576347658.184,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment99_4_av.ts?start=911.88&end=1247.2",92.52117128514057
8,-0.008,3.6824544059996587,,3.7215066177643115,3.7833361227336124,3.701410640751112,3.5890964698226773,3.148189433342458,3.1193994882001705,,,2198257.0,-1,32.36299997329712,0,0,8,2102765.0,4,93.92359883534134,4,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,,0,1381800.0,763488.0,2198257.0,3745228.0,3745228.0,1741068,961996,2769804,4718988,4718988,85.9335128225807,67.7536718875502,93.22496028225807,100.0,100.0,0.0,10.08,0.001,5.867,,6.271,5.736,6.071,6.147,7.306,7.034,,,90.72,80.64,1576347664.216,1576347664.201,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment100_4_av.ts?start=911.88&end=1247.2",93.22496028225807
9,-0.008,3.63925,,3.6824544059996587,3.7215066177643115,3.7833361227336124,3.701410640751112,3.5890964698226773,3.148189433342458,3.1193994882001705,,2148052.0,-1,36.34099997520447,0,0,9,2267488.0,4,92.52117128514057,4,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,0,1345946.0,782561.0,2148052.0,3642454.0,3642454.0,1695948,986060,2706636,4589644,4589644,84.75566457831319,29.698414698795176,93.90156012048188,100.0,100.0,0.0,10.080333,0.001,6.016,,5.867,6.271,5.736,6.071,6.147,7.306,7.034,,100.8,90.72,1576347670.32,1576347670.303,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment101_4_av.ts?start=911.88&end=1247.2",93.90156012048188
