,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.609052908157172,,,,,,,,,,,2124250.0,2730700,0.0,0,0,0,0.0,0,0.0,4,,,,,,,,,,,-4,184841.0,184841.0,184841.0,379760.0,756326.0,231052,231052,231052,474700,952972,25.40568095617529,25.40568095617529,25.40568095617529,42.55546131474105,75.12563124000005,0.0,10.08,8.373,,,,,,,,,,,10.08,0.0,1576348408.5180001,1576348400.052,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_4_av.ts?start=911.88&end=1247.2",89.70847506024101
1,-1.4184397163120566e-05,,,,,,,,,,,2183861.0,-1,0.0,0,0,1,0.0,0,0.0,4,,,,,,,,,,,-4,192060.0,192060.0,192060.0,401417.0,756301.0,240076,240076,240076,501772,952972,18.587608600000006,18.587608600000006,18.587608600000006,32.25079240000001,74.80166453815254,9.269999980926514,10.080333,0.5640000000000001,,,,,,,,,,,20.16,10.08,1576348409.908,1576348409.322,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_4_av.ts?start=911.88&end=1247.2",89.78171614457828
2,-0.008,,,,,,,,,,,1353152.0,-1,0.0,0,0,0,2124250.0,4,89.70847506024101,3,,,,,,,,,,,1,1353152.0,756326.0,2124250.0,3630638.0,3630638.0,1704972,952972,2676556,4574604,4574604,81.46420072289148,75.12563124000005,89.70847506024101,100.0,100.0,0.7339999675750732,10.08,0.001,,,,,,,,,,,10.08,0.0,1576348410.099,1576348410.056,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_0_av.ts?start=911.88&end=1247.2",81.46420072289148
3,-0.008,2.076589968745349,,,,,,,,,,1374592.0,-1,0.0,0,0,1,2183861.0,4,89.78171614457828,3,3.0,,,,,,,,,,1,1374592.0,756301.0,2183861.0,3733168.0,3733168.0,1732044,952972,2751756,4703948,4703948,81.2949473092369,74.80166453815254,89.78171614457828,100.0,100.0,6.861000061035156,10.080333,0.001,6.719,,,,,,,,,,20.16,10.08,1576348416.928,1576348416.917,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_0_av.ts?start=911.88&end=1247.2",81.2949473092369
4,-0.008,2.076589968745349,,,,,,,,,,184841.0,-1,0.0,0,0,0,1353152.0,3,81.46420072289148,0,3.0,,,,,,,,,,3,756326.0,379760.0,1353152.0,2124250.0,3630638.0,952972,474700,1704972,2676556,4574604,75.12563124000005,42.55546131474105,81.46420072289148,89.70847506024101,100.0,1.1670000553131104,10.08,0.001,6.719,,,,,,,,,,10.08,0.0,1576348418.131,1576348418.084,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_1_av.ts?start=911.88&end=1247.2",25.40568095617529
5,-0.008,2.184924154025671,,2.076589968745349,,,,,,,,192060.0,-1,0.0,0,0,1,1374592.0,3,81.2949473092369,0,0.0,,3.0,,,,,,,,3,756301.0,401417.0,1374592.0,2183861.0,3733168.0,952972,501772,1732044,2751756,4703948,74.80166453815254,32.25079240000001,81.2949473092369,89.78171614457828,100.0,0.929999828338623,10.080333,0.001,0.857,,6.719,,,,,,,,20.16,10.08,1576348419.026,1576348419.014,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_1_av.ts?start=911.88&end=1247.2",18.587608600000006
6,-0.008,2.1729977924944808,,2.184924154025671,2.076589968745349,,,,,,,756301.0,-1,10.032999830245972,0,0,1,184841.0,0,25.40568095617529,2,0.0,,0.0,3.0,,,,,,,-2,192060.0,192060.0,192060.0,401417.0,756301.0,240076,240076,240076,501772,952972,18.587608600000006,18.587608600000006,18.587608600000006,32.25079240000001,74.80166453815254,0.9189999103546143,10.080333,0.001,0.906,,0.857,6.719,,,,,,,20.16,10.08,1576348420.007,1576348419.98,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_3_av.ts?start=911.88&end=1247.2",74.80166453815254
7,-0.008,2.0688672998643147,,2.1729977924944808,2.184924154025671,2.076589968745349,,,,,,718130.0,-1,6.285999851226807,0,0,2,192060.0,0,18.587608600000006,2,2.0,,0.0,0.0,3.0,,,,,,-2,184258.0,184258.0,184258.0,385757.0,718130.0,231052,231052,231052,483724,904844,15.438005617529873,15.438005617529873,15.438005617529873,30.66344980079681,75.1646327309237,0.0,10.08,0.001,3.685,,0.906,0.857,6.719,,,,,,30.24,20.16,1576348423.742,1576348423.727,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment94_3_av.ts?start=911.88&end=1247.2",75.1646327309237
8,-0.008,2.0837517872462112,,2.0688672998643147,2.1729977924944808,2.184924154025671,2.076589968745349,,,,,802482.0,-1,12.786999855041502,0,0,3,756301.0,2,74.80166453815254,2,2.0,,2.0,0.0,0.0,3.0,,,,,0,413449.0,194467.0,802482.0,1398511.0,2155285.0,516812,243084,1007116,1762124,2715660,30.65155984000002,16.716783200000002,70.28486465863445,82.90976759036143,91.89395325301207,0.0,10.08,0.001,3.497,,3.685,0.906,0.857,6.719,,,,,40.32,30.24,1576348427.319,1576348427.306,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment95_3_av.ts?start=911.88&end=1247.2",70.28486465863445
9,-0.008,2.0899325006643634,,2.0837517872462112,2.0688672998643147,2.1729977924944808,2.184924154025671,2.076589968745349,,,,709683.0,-1,19.043999900817873,0,0,4,718130.0,2,75.1646327309237,2,2.0,,2.0,2.0,0.0,0.0,3.0,,,,0,370134.0,182435.0,709683.0,1348377.0,2222130.0,462668,228044,892812,1698956,2799884,13.979886533864537,5.071517609561751,46.62624212851404,79.34021895161294,90.42502923387094,0.0,10.08,0.001,3.763,,3.497,3.685,0.906,0.857,6.719,,,,50.4,40.32,1576348431.1399999,1576348431.129,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment96_3_av.ts?start=911.88&end=1247.2",46.62624212851404
