,bandwidth_mbit,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8631192660550457,2124250.0,2730700,0.0,0,0,0,0.0,0.0,0.0,4,-4.0,184841.0,184841.0,184841.0,379760.0,756326.0,231052.0,231052.0,231052.0,474700.0,952972.0,25.40568095617529,25.40568095617529,25.40568095617529,42.55546131474105,75.12563124000005,0.0,10.08,7.63,10.08,0.0,1576348745.25,1576348737.582,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_4_av.ts?start=911.88&end=1247.2",89.70847506024101
1,1.495915530812056,756326.0,974028,,0,0,0,,,,2,,,,,,,,,,,,,,,,,,10.08,5.2090000000000005,10.08,0.0,1576348752.671,1576348747.407,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_3_av.ts?start=911.88&end=1247.2",75.12563124000005
2,3.6114523922311697,756301.0,952972,,0,0,1,,,,2,,,,,,,,,,,,,,,,,,10.080333,2.111,20.16,10.08,1576348754.862,1576348752.735,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_3_av.ts?start=911.88&end=1247.2",74.80166453815254
3,2.7704460665044603,1374592.0,1707980,,0,0,1,,,,3,,,,,,,,,,,,,,,,,,10.080333,4.932,20.16,10.08,1576348759.894,1576348754.925,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_0_av.ts?start=911.88&end=1247.2",81.2949473092369
4,2.7068632207501397,1443869.0,1813260,,0,0,2,,,,3,,,,,,,,,,,,,,,,,,10.08,5.359,30.24,20.16,1576348765.462,1576348759.948,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment94_0_av.ts?start=911.88&end=1247.2",84.16921257028106
5,2.5078401152322645,1398511.0,1741068,,0,0,3,,,,3,,,,,,,,,,,,,,,,,,10.08,5.554,40.32,30.24,1576348771.134,1576348765.55,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment95_0_av.ts?start=911.88&end=1247.2",82.90976759036143
6,2.9916382252559726,1348377.0,1753100,,0,0,4,,,,3,,,,,,,,,,,,,,,,,,10.08,4.688,50.4,40.32,1576348775.909,1576348771.208,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment96_0_av.ts?start=911.88&end=1247.2",79.34021895161294
7,3.3765003693671507,1427111.0,1713996,,0,0,5,,,,3,,,,,,,,,,,,,,,,,,10.080333,4.061,60.48,50.4,1576348780.0509999,1576348775.972,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment97_0_av.ts?start=911.88&end=1247.2",81.08475453815258
8,3.563731271145481,1334053.0,1843340,,0,0,6,,,,3,,,,,,,,,,,,,,,,,,10.08,4.138,70.56,60.48,1576348784.27,1576348780.12,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment98_0_av.ts?start=911.88&end=1247.2",85.50325485943776
9,3.5826896191966613,1455806.0,1717004,,0,0,7,,,,3,,,,,,,,,,,,,,,,,,10.08,3.834,80.64,70.56,1576348788.1859999,1576348784.336,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment99_0_av.ts?start=911.88&end=1247.2",83.66931566265062
10,2.3351109605285445,1381800.0,1723020,,0,0,8,,,,3,,,,,,,,,,,,,,,,,,10.08,5.9030000000000005,90.72,80.64,1576348794.167,1576348788.247,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment100_0_av.ts?start=911.88&end=1247.2",85.9335128225807
11,2.5572120547945203,1345946.0,1750092,,0,0,9,,,,3,,,,,,,,,,,,,,,,,,10.080333,5.4750000000000005,100.8,90.72,1576348799.756,1576348794.262,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment101_0_av.ts?start=911.88&end=1247.2",84.75566457831319
12,2.9977263506520386,1448644.0,1810252,,0,0,10,,,,3,,,,,,,,,,,,,,,,,,10.08,4.831,110.88,100.8,1576348804.676,1576348799.831,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment102_0_av.ts?start=911.88&end=1247.2",79.98765204819273
