,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,bitrate_level_encoded
0,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-0.ts,1572045961.966,1572045964.171,0,2.035,592575,2.3295331695331694,0,0,4.087411,0.0,4.09,2,1231191.0,100.0,0.0,0.0,0.0,165816.0,90.21169103092777,324539.0,165816.0,90.21169103092777,324539.0,165816.0,90.21169103092777,324539.0,400440.0,97.38843250000004,783752.0,629048.0,100.0,1231191.0,-2.0,0.0,0.0,2365534.8235294116
1,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-1.ts,1572045964.315,1572045965.795,1,1.462,478798,2.6199616963064303,0,0,4.0743550000000015,4.09,8.16,1,975263.0,94.4314702083333,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
2,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-2.ts,1572045965.832,1572045966.5029998,2,0.644,793736,9.860074534161493,0,0,4.084522,8.16,12.24,1,1591443.0,93.371200625,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
3,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-3.ts,1572045966.538,1572045967.154,3,0.59,693773,9.407091525423727,0,0,4.071478,12.25,16.32,1,1395589.0,94.03217104166669,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
4,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-4.ts,1572045967.1929998,1572045967.9770002,4,0.757,830396,8.775651254953765,0,0,4.123355,16.32,20.44,2,1663996.0,100.0,,,,,,,,,,,,,,,,,,,,,,2365534.8235294116
5,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-3.ts,1572045968.0089998,1572045969.411,3,1.369,1333799,7.794296566837107,0,0,4.071478,12.25,16.32,2,2660411.0,100.0,,,,,,,,,,,,,,,,,,,,,,2365534.8235294116
6,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-4.ts,1572045969.446,1572045970.6320002,4,1.162,830396,5.717012048192773,0,0,4.123355,16.32,20.44,2,1663996.0,100.0,,,,,,,,,,,,,,,,,,,,,,2365534.8235294116
7,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-5.ts,1572045971.766,1572045972.447,5,0.665,424396,5.105515789473684,0,0,4.110289,20.44,24.55,2,867209.0,100.0,,,,,,,,,,,,,,,,,,,,,,2365534.8235294116
8,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-6.ts,1572045972.471,1572045974.519,6,2.021,1055933,4.179843641761504,0,0,4.129111,24.55,28.68,2,2081284.0,100.0,,,,,,,,,,,,,,,,,,,,,,2365534.8235294116
9,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/024lmjy8/segment-7.ts,1572045974.543,1572045975.187,7,0.617,415088,5.382016207455429,0,0,4.107422,28.68,32.79,2,844379.0,100.0,,,,,,,,,,,,,,,,,,,,,,2365534.8235294116
