,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572069597.5738642,False,0.475055,4.017051,1280,720,13,1
1,1572069597.5770288,False,0.491311,4.017051,1280,720,13,1
2,1572069597.709663,False,0.624487,4.017051,1280,720,16,1
3,1572069597.8456612,False,0.758504,4.017051,1280,720,19,1
4,1572069597.9819942,False,0.896567,4.017051,1280,720,23,2
5,1572069598.1169782,False,1.033332,4.017051,1280,720,26,3
6,1572069598.2634325,False,1.166969,4.017051,1280,720,29,3
7,1572069598.4291024,False,1.345152,4.017051,1280,720,34,4
8,1572069598.564359,False,1.479454,4.017051,1280,720,37,5
9,1572069598.6941023,False,1.610691,4.017051,1280,720,39,5
10,1572069598.8258164,False,1.741961,4.017051,1280,720,43,5
11,1572069598.9549756,False,1.870056,4.017051,1280,720,47,7
12,1572069599.0845397,False,1.997275,4.017051,1280,720,49,7
13,1572069599.2204707,False,2.131147,4.017051,1280,720,53,8
14,1572069599.3584557,False,2.269883,4.017051,1280,720,56,9
15,1572069599.4848585,False,2.399802,4.017051,1280,720,60,10
16,1572069599.6186666,False,2.534052,4.017051,1280,720,63,11
17,1572069599.7513149,False,2.664385,4.017051,1280,720,65,11
18,1572069599.8849912,False,2.799544,4.017051,1280,720,69,12
19,1572069600.0471916,False,2.953182,4.017051,1280,720,71,12
20,1572069600.184073,False,3.096451,4.017051,1280,720,76,12
21,1572069600.3152926,False,3.226869,4.017051,1280,720,79,13
22,1572069600.5120637,False,3.420256,4.017051,1280,720,83,15
23,1572069600.6517277,False,3.565396,4.017051,1280,720,87,16
24,1572069600.7800357,False,3.692008,4.017051,1280,720,91,16
25,1572069600.9542968,False,3.867104,4.017051,1280,720,94,16
26,1572069601.0810285,False,3.947687,4.017051,1280,720,94,16
27,1572069601.2157266,False,3.947687,4.017051,1280,720,94,16
28,1572069601.3396933,False,3.947687,4.017051,1280,720,94,16
29,1572069601.4646704,False,3.947687,4.017051,1280,720,94,16
30,1572069601.5957572,False,3.947687,4.017051,1280,720,94,16
31,1572069601.7211752,False,3.947687,4.017051,1280,720,94,16
32,1572069601.8494375,False,3.947687,4.017051,1280,720,94,16
33,1572069601.978277,False,3.947687,4.017051,1280,720,94,16
34,1572069602.1090662,False,3.947687,4.017051,1280,720,94,16
35,1572069602.253312,False,3.947687,4.017051,1280,720,94,16
36,1572069602.3836067,False,3.947687,4.017051,1280,720,94,16
37,1572069602.5085032,False,3.947687,4.017051,1280,720,94,16
38,1572069602.6361465,False,3.947687,4.017051,1280,720,94,16
39,1572069602.7619193,False,3.947687,4.017051,1280,720,94,16
40,1572069602.884177,False,3.947687,4.017051,1280,720,94,16
41,1572069603.0120935,False,3.947687,4.017051,1280,720,94,16
42,1572069603.139576,False,3.947687,4.017051,1280,720,94,16
43,1572069603.2721033,False,3.947687,4.017051,1280,720,94,16
44,1572069603.3998058,False,3.947687,4.017051,1280,720,94,16
45,1572069603.5532582,False,3.947687,4.017051,1280,720,94,16
46,1572069603.688908,False,3.947687,4.017051,1280,720,94,16
47,1572069603.8114753,False,3.947687,4.017051,1280,720,94,16
48,1572069603.937594,False,3.947687,4.017051,1280,720,94,16
49,1572069604.062163,False,3.947687,4.017051,1280,720,94,16
50,1572069604.1883671,False,3.947687,4.017051,1280,720,94,16
51,1572069604.3133175,False,3.947687,4.017051,1280,720,94,16
52,1572069604.4387016,False,3.947687,4.017051,1280,720,94,16
53,1572069604.5650282,False,3.947687,4.017051,1280,720,94,16
54,1572069604.6908529,False,3.947687,4.017051,1280,720,94,16
55,1572069604.815017,False,3.947687,4.017051,1280,720,94,16
56,1572069604.9377863,False,3.947687,4.017051,1280,720,94,16
57,1572069605.0873666,False,3.947687,4.017051,1280,720,94,16
58,1572069605.2118068,False,3.947687,4.017051,1280,720,94,16
59,1572069605.3387036,False,3.947687,4.017051,1280,720,94,16
60,1572069605.4697964,False,3.947687,4.017051,1280,720,94,16
61,1572069605.592528,False,3.947687,4.017051,1280,720,94,16
62,1572069605.7392337,False,3.947687,4.017051,1280,720,94,16
63,1572069605.8634007,False,3.947687,4.017051,1280,720,94,16
64,1572069605.985975,False,3.947687,4.017051,1280,720,94,16
65,1572069606.1522555,False,3.947687,4.017051,1280,720,94,16
66,1572069606.2789903,False,3.947687,4.017051,1280,720,94,16
67,1572069606.4048724,False,3.947687,4.017051,1280,720,94,16
68,1572069606.5419512,False,4.037506,6.269364,1280,720,103,18
69,1572069606.6853805,False,4.11943,6.269364,854,480,103,18
70,1572069606.823592,False,4.256983,6.269364,854,480,104,18
71,1572069606.9638855,False,4.395945,6.269364,854,480,107,18
72,1572069607.112126,False,4.545371,6.269364,854,480,111,19
73,1572069607.2433488,False,4.679041,6.269364,854,480,113,19
74,1572069607.3802648,False,4.810391,6.269364,854,480,117,20
75,1572069607.540127,False,4.976224,6.269364,854,480,121,21
76,1572069607.6735754,False,5.107606,6.269364,854,480,125,21
77,1572069607.807807,False,5.242489,6.269364,854,480,127,22
78,1572069607.9477515,False,5.379913,6.269364,854,480,131,23
79,1572069608.0755417,False,5.509413,6.269364,854,480,134,23
80,1572069608.2158003,False,5.650197,6.269364,854,480,136,23
81,1572069608.3509545,False,5.783772,6.269364,854,480,140,23
82,1572069608.4794495,False,5.912788,6.269364,854,480,144,24
83,1572069608.6128936,False,6.048251,6.269364,854,480,147,24
84,1572069608.7417502,False,6.17599,6.269364,854,480,148,24
85,1572069608.9007165,False,6.199907,6.269364,854,480,148,24
86,1572069609.0269985,False,6.199907,6.269364,854,480,148,24
87,1572069609.1510704,False,6.199907,6.269364,854,480,148,24
88,1572069609.291784,False,6.199907,6.269364,854,480,148,24
89,1572069609.4218361,False,6.199907,6.269364,854,480,148,24
90,1572069609.549156,False,6.199907,6.269364,854,480,148,24
91,1572069609.676252,False,6.199907,6.269364,854,480,148,24
92,1572069609.7989776,False,6.199907,6.269364,854,480,148,24
93,1572069609.9254248,False,6.199907,6.269364,854,480,148,24
94,1572069610.048897,False,6.199907,6.269364,854,480,148,24
95,1572069610.177864,False,6.199907,6.269364,854,480,148,24
96,1572069610.3142476,False,6.199907,6.269364,854,480,148,24
97,1572069610.4423022,False,6.199907,6.269364,854,480,148,24
98,1572069610.5691285,False,6.199907,6.269364,854,480,148,24
99,1572069610.6986194,False,6.199907,6.269364,854,480,148,24
100,1572069610.8247209,False,6.199907,6.269364,854,480,148,24
101,1572069610.9499216,False,6.199907,6.269364,854,480,148,24
102,1572069611.0758517,False,6.199907,6.269364,854,480,148,24
103,1572069611.2038774,False,6.199907,6.269364,854,480,148,24
104,1572069611.3294477,False,6.199907,6.269364,854,480,148,24
105,1572069611.456652,False,6.199907,6.269364,854,480,148,24
106,1572069611.585597,False,6.199907,6.269364,854,480,148,24
107,1572069611.712263,False,6.199907,6.269364,854,480,148,24
108,1572069611.8415108,False,6.199907,6.269364,854,480,148,24
109,1572069611.9669285,False,6.199907,6.269364,854,480,148,24
110,1572069612.0900261,False,6.199907,6.269364,854,480,148,24
111,1572069612.2155452,False,6.199907,6.269364,854,480,148,24
112,1572069612.3428917,False,6.199907,6.269364,854,480,148,24
113,1572069612.486151,False,6.199907,6.269364,854,480,148,24
114,1572069612.609737,False,6.199907,6.269364,854,480,148,24
115,1572069612.738806,False,6.199907,6.269364,854,480,148,24
116,1572069612.8649964,False,6.199907,6.269364,854,480,148,24
117,1572069612.9901526,False,6.199907,6.269364,854,480,148,24
118,1572069613.116695,False,6.199907,6.269364,854,480,148,24
119,1572069613.2456427,False,6.199907,6.269364,854,480,148,24
120,1572069613.3699915,False,6.199907,6.269364,854,480,148,24
121,1572069613.4937491,False,6.199907,6.269364,854,480,148,24
122,1572069613.6416225,False,6.199907,6.269364,854,480,148,24
123,1572069613.7666485,False,6.199907,6.269364,854,480,148,24
124,1572069613.8967886,False,6.199907,6.269364,854,480,148,24
125,1572069614.0241063,False,6.199907,6.269364,854,480,148,24
126,1572069614.1496563,False,6.199907,6.269364,854,480,148,24
127,1572069614.276604,False,6.199907,6.269364,854,480,148,24
128,1572069614.405647,False,6.199907,6.269364,854,480,148,24
129,1572069614.5290923,False,6.199907,6.269364,854,480,148,24
130,1572069614.6618059,False,6.199907,6.269364,854,480,148,24
131,1572069614.7837439,False,6.199907,6.269364,854,480,148,24
132,1572069614.9123845,False,6.199907,6.269364,854,480,148,24
133,1572069615.040502,False,6.199907,6.269364,854,480,148,24
134,1572069615.1669717,False,6.199907,6.269364,854,480,148,24
135,1572069615.297018,False,6.199907,6.269364,854,480,148,24
136,1572069615.428415,False,6.199907,6.269364,854,480,148,24
137,1572069615.5538385,False,6.199907,6.269364,854,480,148,24
138,1572069615.6803086,False,6.199907,6.269364,854,480,148,24
139,1572069615.8113194,False,6.199907,6.269364,854,480,148,24
140,1572069615.957425,False,6.285033,7.174942,854,480,148,24
141,1572069616.0846293,False,6.345133,7.174942,854,480,148,24
142,1572069616.2143915,False,6.472319,7.174942,854,480,148,24
143,1572069616.3392382,False,6.599634,7.174942,854,480,148,24
144,1572069616.4657543,False,6.723793,7.174942,854,480,148,24
145,1572069616.5904891,False,6.848606,7.174942,854,480,148,24
146,1572069616.714226,False,6.973588,7.174942,854,480,148,24
