,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572034666.7458851,False,0.550093,7.9412,1280,720,14,1
1,1572034666.747513,False,0.548333,7.9412,1280,720,14,1
2,1572034666.8817716,False,0.685797,7.9412,1280,720,17,2
3,1572034667.0368516,False,0.839945,7.9412,1280,720,21,3
4,1572034667.1732094,False,0.975371,7.9412,1280,720,24,4
5,1572034667.3057334,False,1.109911,7.9412,1280,720,28,5
6,1572034667.4433613,False,1.248548,7.9412,1280,720,32,5
7,1572034667.6184769,False,1.422493,7.9412,1280,720,35,6
8,1572034667.7588582,False,1.556948,7.9412,1280,720,39,7
9,1572034667.8932936,False,1.698946,7.9412,1280,720,41,7
10,1572034668.0249162,False,1.831678,7.9412,1280,720,45,7
11,1572034668.217308,False,2.013276,10.936575,1280,720,49,9
