,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572095830.2341824,False,1.863591,10.212946,640,360,59,12
1,1572095830.2366755,False,1.865872,10.212946,640,360,59,12
2,1572095830.3790567,False,2.012373,10.352266,640,360,63,13
3,1572095830.5159135,False,2.151783,10.375486,640,360,69,14
4,1572095830.7117164,False,2.344969,10.514806,640,360,73,15
5,1572095830.8613503,False,2.479214,10.584466,640,360,78,17
6,1572095831.0116928,False,2.645462,10.654126,640,360,81,18
7,1572095831.1955166,False,2.828603,10.793445,640,360,87,20
8,1572095831.3381631,False,2.971965,10.816665,640,360,93,21
9,1572095831.478235,False,3.111479,10.909545,640,360,97,22
10,1572095831.6460853,False,3.278141,10.955985,640,360,101,24
11,1572095831.7769642,False,3.413041,10.955985,640,360,105,25
12,1572095831.9181335,False,3.544001,11.048865,640,360,110,26
13,1572095832.0809064,False,3.696275,11.095305,640,360,113,27
14,1572095832.2258563,False,3.857025,11.188184,640,360,120,29
15,1572095832.4192467,False,4.051404,11.327504,640,360,123,29
16,1572095832.5768542,False,4.210875,11.350724,640,360,128,30
17,1572095832.7195113,False,4.351609,11.443604,640,360,133,33
18,1572095832.9235115,False,4.55713,11.582924,640,360,140,37
19,1572095833.0681112,False,4.704083,11.675804,640,360,144,38
20,1572095833.2452931,False,4.869866,11.861563,640,360,149,39
21,1572095833.4078248,False,5.041264,12.024103,640,360,155,41
22,1572095833.561138,False,5.194922,12.024103,640,360,159,42
23,1572095833.7504473,False,5.370252,12.024103,640,360,164,45
24,1572095833.9015448,False,5.532456,12.186643,640,360,170,47
25,1572095834.042409,False,5.676755,12.325962,640,360,173,47
26,1572095834.1914704,False,5.825311,12.720701,640,360,177,49
27,1572095834.344528,False,5.979841,12.883241,640,360,182,50
28,1572095834.4822395,False,6.116899,13.022561,640,360,186,52
29,1572095834.6258605,False,6.254924,13.092221,640,360,190,53
30,1572095834.7616522,False,6.386911,13.32442,640,360,195,54
31,1572095834.913151,False,6.535671,13.44052,640,360,199,55
32,1572095835.103691,False,6.727106,13.62628,640,360,205,56
33,1572095835.257558,False,6.892783,13.881699,640,360,210,58
34,1572095835.38082,False,7.016064,14.021019,640,360,214,59
35,1572095835.531194,False,7.157421,14.021019,640,360,218,61
36,1572095835.66886,False,7.299599,14.160339,640,360,222,61
37,1572095835.8128808,False,7.442627,14.160339,640,360,227,63
38,1572095835.961682,False,7.597149,14.787277,640,360,231,64
39,1572095836.0972033,False,7.729179,14.949817,640,360,235,64
40,1572095836.235744,False,7.864851,15.112357,640,360,238,66
41,1572095836.3738632,False,8.007466,15.274897,640,360,243,67
42,1572095836.5316744,False,8.165049,15.460656,640,360,247,68
43,1572095836.733237,False,8.357681,15.716076,640,360,253,69
44,1572095836.869803,False,8.505733,15.855395,640,360,259,70
45,1572095837.0102844,False,8.63117,16.017935,640,360,261,71
46,1572095837.1685247,False,8.789668,16.017935,640,360,266,72
47,1572095837.301641,False,8.937375,16.110815,640,360,272,75
48,1572095837.5257142,False,9.156113,16.691314,640,360,275,75
49,1572095837.6721926,False,9.306237,16.853853,640,360,282,77
50,1572095837.8137238,False,9.447125,17.086053,640,360,286,78
51,1572095837.9840066,False,9.614807,17.341472,640,360,291,79
52,1572095838.1184897,False,9.753106,17.527232,640,360,296,80
53,1572095838.3259208,False,9.952348,17.759432,640,360,302,81
54,1572095838.5009694,False,10.126767,18.014851,1280,720,305,82
55,1572095838.6502256,False,10.265908,18.014851,1280,720,308,83
56,1572095838.8116286,False,10.431063,18.247051,1280,720,312,83
57,1572095838.9671907,False,10.595749,18.38637,1280,720,317,85
58,1572095839.1552858,False,10.781724,18.75789,1280,720,323,86
59,1572095839.295194,False,10.930363,18.943649,1280,720,328,88
60,1572095839.4453328,False,11.055491,19.222289,1280,720,332,89
61,1572095839.6033635,False,11.228283,19.547368,1280,720,338,90
62,1572095839.77116,False,11.404359,19.779568,1280,720,341,92
63,1572095839.9211717,False,11.54614,20.011767,1280,720,346,94
64,1572095840.0876994,False,11.719799,20.011767,1280,720,350,94
65,1572095840.2292235,False,11.86438,20.011767,1280,720,355,96
66,1572095840.3650312,False,11.993067,20.011767,1280,720,359,96
67,1572095840.5318258,False,12.163322,20.011767,1280,720,364,98
68,1572095840.6845315,False,12.293078,20.011767,1280,720,368,100
69,1572095840.8262217,False,12.458955,20.216937,1280,720,374,102
70,1572095840.9835217,False,12.608312,20.611677,1280,720,378,104
71,1572095841.121694,False,12.757202,21.006416,1280,720,381,104
72,1572095841.326686,False,12.949743,21.424375,1280,720,389,107
73,1572095841.4692087,False,13.095155,21.679794,1280,720,393,109
74,1572095841.6132998,False,13.24503,21.911994,1280,720,397,110
75,1572095841.7486844,False,13.384494,22.004874,1280,720,400,110
76,1572095841.8861866,False,13.521519,22.004874,1280,720,405,112
77,1572095842.0464153,False,13.670009,22.283513,1280,720,409,113
78,1572095842.1928964,False,13.822135,22.840792,1280,720,414,114
79,1572095842.3176498,False,13.953189,22.840792,1280,720,418,117
80,1572095842.4689012,False,14.100392,22.840792,1280,720,421,118
81,1572095842.609756,False,14.237437,23.583831,1280,720,427,121
82,1572095842.7563522,False,14.378458,23.83925,1280,720,429,122
83,1572095842.9385567,False,14.572609,24.00179,1280,720,436,124
84,1572095843.0658455,False,14.701098,24.00179,1280,720,439,126
85,1572095843.2601082,False,14.880401,24.512629,1280,720,443,128
86,1572095843.482409,False,15.094711,25.046688,1280,720,450,132
87,1572095843.7645998,False,15.388889,25.441427,1280,720,462,138
88,1572095843.9367204,False,15.57145,26.021926,1280,720,466,140
89,1572095844.12433,False,15.759925,26.045146,1280,720,472,145
90,1572095844.271687,False,15.9039,26.788184,1280,720,477,147
91,1572095844.422665,False,16.056018,27.182924,1280,720,480,148
92,1572095844.559657,False,16.194602,27.508003,1280,720,487,153
93,1572095844.7613952,False,16.383051,28.018842,1280,720,491,155
94,1572095844.9030077,False,16.538271,28.204602,1280,720,495,156
95,1572095845.0487647,False,16.684294,28.785101,1280,720,499,158
96,1572095845.200143,False,16.827549,29.20306,1280,720,505,160
97,1572095845.3341002,False,16.970228,29.574579,1280,720,509,162
98,1572095845.6959898,False,17.322094,30.015758,1280,720,518,167
99,1572095845.825257,False,17.459754,30.015758,1280,720,524,170
100,1572095846.0067225,False,17.64142,30.015758,1280,720,528,170
101,1572095846.1370094,False,17.772632,30.015758,1280,720,534,174
102,1572095846.3032386,False,17.937405,30.015758,1280,720,538,177
103,1572095846.5480802,False,18.180762,30.015758,1280,720,542,181
104,1572095846.7139435,False,18.343045,30.383468,1280,720,549,183
105,1572095846.8558323,False,18.47495,30.731767,1280,720,554,185
106,1572095846.9996986,False,18.634166,31.033627,1280,720,558,187
107,1572095847.139856,False,18.759532,31.219386,1280,720,561,188
108,1572095847.658519,False,19.291624,32.008865,1280,720,579,197
109,1572095847.7941098,False,19.419033,32.008865,1280,720,582,197
110,1572095848.0108366,False,19.645792,32.519704,1280,720,588,201
111,1572095848.157474,False,19.782547,32.821563,1280,720,593,202
112,1572095848.310852,False,19.939401,33.169862,1280,720,596,202
113,1572095848.4780343,False,20.101908,33.448502,852,480,601,203
114,1572095848.6399853,False,20.274165,33.703921,852,480,604,203
115,1572095848.7885852,False,20.405868,34.005781,852,480,608,204
116,1572095848.9428785,False,20.56255,34.005781,852,480,614,205
117,1572095849.0955944,False,20.728104,34.21476,852,480,617,206
118,1572095849.3111508,False,20.944378,34.702379,852,480,622,208
119,1572095849.4837341,False,21.117897,35.073899,852,480,629,209
120,1572095849.6279414,False,21.262288,35.306098,852,480,634,211
121,1572095849.7715049,False,21.406818,35.515078,852,480,639,212
122,1572095849.9098694,False,21.541647,35.700838,852,480,642,213
123,1572095850.046297,False,21.680275,36.002697,852,480,647,216
124,1572095850.1897368,False,21.806017,36.002697,852,480,650,216
125,1572095850.328501,False,21.961946,36.234897,852,480,654,217
126,1572095850.480949,False,22.115931,36.652856,852,480,660,219
127,1572095850.6480625,False,22.28136,36.977935,852,480,665,221
128,1572095850.7945216,False,22.416955,37.186915,852,480,668,221
129,1572095850.94057,False,22.563323,37.372674,852,480,673,223
130,1572095851.0768783,False,22.711005,37.604874,852,480,677,223
131,1572095851.2310567,False,22.863619,37.906733,852,480,682,225
132,1572095851.3811367,False,23.004004,37.999613,852,480,686,226
133,1572095851.5565293,False,23.183301,38.115713,852,480,691,227
134,1572095851.6928525,False,23.326993,38.510452,852,480,696,229
135,1572095851.8302276,False,23.465542,38.812311,852,480,701,231
136,1572095852.0022886,False,23.636445,39.137391,852,480,704,231
137,1572095852.148954,False,23.780967,39.36959,852,480,710,232
138,1572095852.3492565,False,23.914376,39.60179,852,480,714,234
139,1572095852.5277514,False,24.149507,40.019749,852,480,720,235
140,1572095852.6904461,False,24.323387,40.019749,852,480,727,238
141,1572095852.8809083,False,24.495088,40.019749,852,480,731,239
142,1572095853.0291693,False,24.651373,40.251949,852,480,735,240
143,1572095853.182835,False,24.801688,40.716348,852,480,741,242
144,1572095853.33721,False,24.970634,41.041427,852,480,744,242
145,1572095853.5151098,False,25.138833,41.320067,852,480,749,243
146,1572095853.6744397,False,25.286319,41.505826,852,480,755,247
147,1572095853.8107328,False,25.445309,41.738026,852,480,759,248
148,1572095853.9525836,False,25.584636,42.016665,852,480,762,248
149,1572095854.0962923,False,25.711179,42.016665,852,480,767,249
150,1572095854.2472992,False,25.880076,42.202425,852,480,772,251
151,1572095854.394215,False,26.014207,42.550724,852,480,776,252
152,1572095854.5470033,False,26.180904,42.945463,852,480,782,253
153,1572095854.6891775,False,26.324817,43.177663,852,480,785,254
154,1572095854.83856,False,26.460742,43.433082,852,480,789,256
155,1572095854.9742997,False,26.602179,43.572402,852,480,794,257
156,1572095855.1221938,False,26.751682,43.851042,852,480,798,258
157,1572095855.2722263,False,26.905671,44.013581,852,480,803,259
158,1572095855.4188693,False,27.035769,44.036801,852,480,807,260
159,1572095855.5837262,False,27.219328,44.54764,852,480,813,262
160,1572095855.739061,False,27.362154,44.8495,852,480,817,264
161,1572095855.9509413,False,27.572579,45.267459,852,480,823,267
162,1572095856.0710015,False,27.706634,45.406779,852,480,827,267
163,1572095856.2142048,False,27.845238,45.569318,852,480,831,270
164,1572095856.387914,False,28.020739,45.871178,852,480,837,272
165,1572095856.5442967,False,28.174853,46.010497,852,480,841,275
166,1572095856.746212,False,28.322077,46.265917,852,480,847,275
167,1572095856.8952742,False,28.51598,46.637436,852,480,851,276
168,1572095857.0595088,False,28.684001,47.032175,852,480,856,278
169,1572095857.2032914,False,28.838603,47.287595,852,480,861,280
170,1572095857.3502471,False,28.983244,47.450135,852,480,864,280
171,1572095857.4972427,False,29.13277,47.612674,852,480,870,283
172,1572095857.6851726,False,29.307581,48.007414,852,480,876,284
173,1572095857.8346226,False,29.460666,48.007414,852,480,879,285
174,1572095857.9939594,False,29.619913,48.286053,852,480,885,287
175,1572095858.1449783,False,29.767222,48.634352,852,480,888,287
176,1572095858.2945077,False,29.911601,49.052311,852,480,894,289
177,1572095858.4997911,False,30.128374,49.307731,1280,720,897,291
178,1572095858.6619089,False,30.296046,49.539931,1280,720,903,292
179,1572095858.8177173,False,30.433787,49.77213,1280,720,908,294
180,1572095858.986827,False,30.60737,50.00433,1280,720,912,296
181,1572095859.1228213,False,30.759111,50.00433,1280,720,916,297
182,1572095859.2645957,False,30.899315,50.00433,1280,720,921,298
183,1572095859.4113877,False,31.039275,50.00433,1280,720,925,300
184,1572095859.5558255,False,31.186352,50.00433,1280,720,928,300
185,1572095859.6934423,False,31.313954,50.143649,1280,720,933,302
186,1572095859.8389158,False,31.471454,50.654488,1280,720,936,302
187,1572095859.9757354,False,31.595865,50.909908,1280,720,941,304
188,1572095860.1257567,False,31.745361,51.142107,1280,720,946,305
189,1572095860.271602,False,31.906202,51.304647,1280,720,949,306
190,1572095860.4626093,False,32.060034,51.536847,1280,720,955,308
191,1572095860.676097,False,32.301738,51.769046,1280,720,961,308
192,1572095860.8272426,False,32.449479,52.001246,1280,720,966,310
193,1572095860.9743533,False,32.608001,52.372765,1280,720,971,312
194,1572095861.1297743,False,32.744347,52.767504,1280,720,976,312
195,1572095861.2685964,False,32.899065,53.046144,1280,720,979,314
196,1572095861.4368284,False,33.063533,53.278343,1280,720,985,316
197,1572095861.5830364,False,33.213336,53.487323,1280,720,988,316
198,1572095861.765659,False,33.401215,53.812402,1280,720,994,318
199,1572095861.9109879,False,33.533595,53.998162,1280,720,999,320
200,1572095862.0760305,False,33.694878,53.998162,1280,720,1004,322
201,1572095862.2384984,False,33.856968,54.439341,1280,720,1008,322
202,1572095862.385422,False,34.007359,54.7412,1280,720,1013,324
203,1572095862.5321553,False,34.148534,55.04306,1280,720,1019,326
204,1572095862.6932986,False,34.315216,55.182379,1280,720,1023,328
205,1572095862.8843431,False,34.46234,55.553899,1280,720,1026,328
206,1572095863.026033,False,34.661874,55.739658,1280,720,1033,330
207,1572095863.1887965,False,34.798253,56.018298,1280,720,1037,332
208,1572095863.3455222,False,34.967367,56.018298,1280,720,1043,333
209,1572095863.4874396,False,35.121107,56.366597,1280,720,1046,334
