,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,1.8683323323323322,,,,,,,,,,,186044.0,233308,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,126078.0,126078.0,126078.0,186044.0,199687.0,158108,158108,158108,233308,250416,17.25679348874599,17.25679348874599,17.25679348874599,68.01098069131795,69.98535684887464,0.0,10.031667,0.999,,,,,,,,,,,10.03,0.0,1572064991.3669999,1572064990.333,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/360p30/0.ts,68.01098069131795
1,1.661945150501672,,,,,,,,,,,248452.0,310576,9.729999809265136,0,0,1,0.0,0,0.0,2,,,,,,,,,,,-2,131746.0,131746.0,131746.0,202130.0,248452.0,164688,164688,164688,252672,310576,17.1763927375201,17.1763927375201,17.1763927375201,67.4450852818035,69.27582892109507,1.0339999198913574,10.000667,1.495,,,,,,,,,,,20.03,10.03,1572064993.379,1572064991.667,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/480p30/1.ts,69.27582892109507
2,1.4363094233473979,,,,,,,,,,,204236.0,255304,18.014999895095826,0,0,2,0.0,0,0.0,2,,,,,,,,,,,-2,130242.0,130242.0,130242.0,202130.0,204236.0,162808,162808,162808,252672,255304,17.072418051529812,17.072418051529812,17.072418051529812,67.17284359098217,68.85252429951686,0.0,10.000667,1.422,,,,,,,,,,,30.03,20.03,1572064995.105,1572064993.382,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/480p30/2.ts,68.85252429951686
3,-0.008,,,,,,,,,,,218975.0,-1,25.590999870300294,0,0,3,0.0,0,0.0,2,,,,,,,,,,,-2,138212.0,138212.0,138212.0,238676.0,218975.0,172772,172772,172772,298356,273728,16.6840194847021,16.6840194847021,16.6840194847021,64.60523599033813,66.26031884057952,0.0,10.000667,0.001,,,,,,,,,,,40.03,30.03,1572064996.026,1572064995.806,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/480p30/3.ts,66.26031884057952
4,-0.008,1.2071797133406834,,1.4363094233473979,1.661945150501672,,,,,,,535218.0,-1,25.589999942779542,0,0,4,204236.0,2,68.85252429951686,1,2.0,,2.0,2.0,,,,,,,1,535218.0,237504.0,924336.0,1439098.0,1897216.0,693532,307756,1197748,1864772,2458476,68.84641270531414,16.58413574879227,68.96952241545897,81.34345085346224,81.87966452495984,0.0,10.366667,0.001,1.814,,1.422,1.495,,,,,,,50.4,40.03,1572065005.853,1572065005.807,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/360p30/4.ts,68.84641270531414
5,-0.008,6.816039312039311,,1.2071797133406834,1.4363094233473979,1.661945150501672,,,,,,613749.0,-1,25.70899977684021,0,0,5,218975.0,2,66.26031884057952,1,1.0,,2.0,2.0,2.0,,,,,,1,613749.0,256757.0,1048194.0,1748951.0,2549417.0,785088,328436,1340816,2237200,3261236,65.20899655394521,13.427023172302727,65.56710547504032,79.6433528341385,80.0770384057971,0.0,10.233667,0.001,0.8140000000000001,,1.814,1.422,1.495,,,,,,60.63,50.4,1572065016.283,1572065016.058,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/360p30/5.ts,65.20899655394521
6,-0.008,7.252545034642033,,6.816039312039311,1.2071797133406834,1.4363094233473979,1.661945150501672,,,,,2504611.0,-1,25.083999757766726,0,0,6,535218.0,1,68.84641270531414,4,1.0,,1.0,2.0,2.0,2.0,,,,,-3,258473.0,258473.0,629471.0,1161875.0,1684253.0,348928,348928,849760,1568484,2273672,18.190181529790664,18.190181529790664,61.22099317230272,62.646923800322064,71.4865068438003,0.0,10.816667,0.001,0.866,,0.8140000000000001,1.814,1.422,1.495,,,,,71.45,60.63,1572065027.088,1572065026.913,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p60/6.ts,74.53853797101462
7,-0.008,7.3023051212938,,7.252545034642033,6.816039312039311,1.2071797133406834,1.4363094233473979,1.661945150501672,,,,2821575.0,-1,25.510999870300296,0,0,7,613749.0,1,65.20899655394521,4,4.0,,1.0,1.0,2.0,2.0,2.0,,,,-3,274756.0,274756.0,682326.0,1328125.0,1761612.0,384648,384648,955228,1859320,2466184,16.431049694041874,16.431049694041874,56.35210570048314,59.082279855072485,66.58524428341393,0.0,11.216667,0.001,3.71,,0.866,0.8140000000000001,1.814,1.422,1.495,,,,82.67,71.45,1572065037.564,1572065037.306,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p60/7.ts,71.61317330112723
8,-0.008,7.273884624224316,,7.3023051212938,7.252545034642033,6.816039312039311,1.2071797133406834,1.4363094233473979,1.661945150501672,,,2879539.0,-1,25.47899977684021,0,0,8,2504611.0,4,74.53853797101462,4,4.0,,4.0,1.0,1.0,2.0,2.0,2.0,,,0,1889311.0,1245487.0,2879539.0,8335219.0,8335219.0,2578044,1699520,3929012,11373060,11373060,72.60564473429945,62.1006707246377,74.86922772946866,100.0,100.0,0.0,10.915667,0.001,4.351,,3.71,0.866,0.8140000000000001,1.814,1.422,1.495,,,93.59,82.67,1572065048.7350001,1572065048.558,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p60/8.ts,74.86922772946866
9,-0.008,7.265856680536291,,7.273884624224316,7.3023051212938,7.252545034642033,6.816039312039311,1.2071797133406834,1.4363094233473979,1.661945150501672,,2834862.0,-1,25.64799984931946,0,0,9,2821575.0,4,71.61317330112723,4,4.0,,4.0,4.0,1.0,1.0,2.0,2.0,2.0,,0,1810840.0,1275195.0,2834862.0,8336373.0,8336373.0,2716412,1912900,4258200,12521928,12521928,73.28285367149743,63.647949790660235,75.37783595813205,100.0,100.0,0.0,12.016667,0.001,4.3260000000000005,,4.351,3.71,0.866,0.8140000000000001,1.814,1.422,1.495,,105.6,93.58,1572065059.491,1572065059.309,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p60/9.ts,75.37783595813205
10,-0.008,7.303945111492281,,7.265856680536291,7.273884624224316,7.3023051212938,7.252545034642033,6.816039312039311,1.2071797133406834,1.4363094233473979,1.661945150501672,1650337.0,-1,25.308999872207636,0,0,10,2879539.0,4,74.86922772946866,3,4.0,,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1,1650337.0,1193682.0,2794813.0,8403005.0,8403005.0,2286268,1653648,3877688,11658820,11658820,75.73623821256041,66.54219426731085,77.485414041868,100.0,100.0,0.0,11.099667,0.001,4.664,,4.3260000000000005,4.351,3.71,0.866,0.8140000000000001,1.814,1.422,1.495,116.7,105.6,1572065071.8569999,1572065071.658,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p30/10.ts,75.73623821256041
11,-0.008,7.357258246178599,1.661945150501672,7.303945111492281,7.265856680536291,7.273884624224316,7.3023051212938,7.252545034642033,6.816039312039311,1.2071797133406834,1.4363094233473979,1804769.0,-1,25.508999776840213,0,0,11,2834862.0,4,75.37783595813205,3,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1,1804769.0,1227045.0,2871395.0,8261221.0,8261221.0,2255812,1533704,3589484,10327216,10327216,74.778149967794,66.59259787439608,78.66531239935597,100.0,100.0,0.0,10.000667,0.001,2.486,1.495,4.664,4.3260000000000005,4.351,3.71,0.866,0.8140000000000001,1.814,1.422,126.7,116.7,1572065082.7510002,1572065082.558,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p30/11.ts,74.778149967794
12,-0.008,7.344931216931216,1.4363094233473979,7.357258246178599,7.303945111492281,7.265856680536291,7.273884624224316,7.3023051212938,7.252545034642033,6.816039312039311,1.2071797133406834,1895352.0,-1,25.760999870300296,0,0,12,1650337.0,3,75.73623821256041,3,3.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,0,1272420.0,667537.0,1895352.0,2944788.0,8548434.0,1855560,973464,2763976,4294484,12466468,58.53976339774556,56.0504876650564,66.80313491143323,69.95966057971022,100.0,0.0,11.666667,0.001,2.457,1.422,2.486,4.664,4.3260000000000005,4.351,3.71,0.866,0.8140000000000001,1.814,138.37,126.7,1572065092.651,1572065092.306,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p30/12.ts,66.80313491143323
13,-0.008,7.32664280980782,1.2071797133406834,7.344931216931216,7.357258246178599,7.303945111492281,7.265856680536291,7.273884624224316,7.3023051212938,7.252545034642033,6.816039312039311,1725439.0,-1,25.680999870300298,0,0,13,1804769.0,3,74.778149967794,3,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,0,1278549.0,652426.0,1725439.0,2786543.0,8311844.0,1717944,876644,2318416,3738380,11151032,40.7251619967794,34.320647520128844,48.92035628019315,51.51602006441218,100.0,0.0,10.732667,0.001,3.0180000000000002,1.814,2.457,2.486,4.664,4.3260000000000005,4.351,3.71,0.866,0.8140000000000001,149.1,138.37,1572065104.229,1572065104.056,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p30/13.ts,48.92035628019315
14,-0.008,7.28202905378877,6.816039312039311,7.32664280980782,7.344931216931216,7.357258246178599,7.303945111492281,7.265856680536291,7.273884624224316,7.3023051212938,7.252545034642033,2236924.0,-1,25.657999849319452,0,0,14,1895352.0,3,66.80313491143323,3,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,0,1388671.0,713148.0,2236924.0,3248077.0,8566350.0,1984528,1019148,3196752,4648676,12260232,33.7756766398714,28.71617585209004,40.302833633440535,44.755510546623796,100.0,0.0,11.449667,0.001,2.547,0.8140000000000001,3.0180000000000002,2.457,2.486,4.664,4.3260000000000005,4.351,3.71,0.866,160.55,149.1,1572065115.056,1572065114.809,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/720p30/14.ts,40.302833633440535
15,-0.008,7.334102667049039,7.252545034642033,7.28202905378877,7.32664280980782,7.344931216931216,7.357258246178599,7.303945111492281,7.265856680536291,7.273884624224316,7.3023051212938,268596.0,-1,25.263999748229992,0,0,15,1725439.0,3,48.92035628019315,0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3,1218512.0,648162.0,1766402.0,2877604.0,8089620.0,1713432,911424,2483856,4046512,11375692,56.520394315619924,53.158026682769716,66.58030164251214,70.60577334943638,100.0,0.0,11.249667,0.001,3.487,0.866,2.547,3.0180000000000002,2.457,2.486,4.664,4.3260000000000005,4.351,3.71,171.8,160.55,1572065126.828,1572065126.653,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/160p30/15.ts,14.13296212560388
16,-0.008,6.9460597701149425,7.3023051212938,7.334102667049039,7.28202905378877,7.32664280980782,7.344931216931216,7.357258246178599,7.303945111492281,7.265856680536291,7.273884624224316,263367.0,-1,25.610999870300304,0,0,16,2236924.0,3,40.302833633440535,0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3,1205686.0,635331.0,1850945.0,2931401.0,8349651.0,1507008,794112,2313528,3664496,10437760,63.851818711755286,62.54052334943637,74.10552444444436,75.91073869565214,100.0,0.0,10.000667,0.001,0.435,3.71,3.487,2.547,3.0180000000000002,2.457,2.486,4.664,4.3260000000000005,4.351,181.8,171.8,1572065137.735,1572065137.556,https://vod-metro.twitch.tv/6e335a210a400fd2ea91_mithrain_35746728896_1302852452/160p30/16.ts,20.860114637681146
