,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572026965.8002753,False,1.327166,14.55891,640,360,40,3
1,1572026965.8020442,False,1.329013,14.55891,640,360,40,3
2,1572026965.9394681,False,1.459895,14.55891,640,360,44,4
3,1572026966.094322,False,1.612955,14.86077,640,360,48,6
4,1572026966.2295628,False,1.757462,14.953649,640,360,52,7
5,1572026966.3629863,False,1.888159,14.953649,640,360,56,8
6,1572026966.654724,False,2.131527,14.953649,640,360,63,10
7,1572026966.795723,False,2.319118,14.953649,640,360,69,12
8,1572026966.9336095,False,2.457863,15.232289,640,360,74,14
9,1572026967.1044483,False,2.63003,15.232289,640,360,79,15
10,1572026967.237751,False,2.76101,15.348389,640,360,84,17
11,1572026967.3689647,False,2.89845,15.348389,640,360,86,18
12,1572026967.5107353,False,3.037882,15.487708,640,360,90,19
13,1572026967.687226,False,3.202088,15.650248,640,360,97,22
14,1572026967.8198428,False,3.347889,15.650248,640,360,100,22
15,1572026967.9724574,False,3.497921,15.650248,640,360,105,24
16,1572026968.108098,False,3.636833,15.650248,640,360,109,25
17,1572026968.252488,False,3.778784,15.650248,640,360,115,27
18,1572026968.392598,False,3.919232,15.650248,640,360,118,27
19,1572026968.540602,False,4.064136,16.021767,640,360,123,28
20,1572026968.7502475,False,4.276462,16.021767,640,360,128,30
21,1572026968.8890035,False,4.417766,16.114647,640,360,132,31
22,1572026969.0275414,False,4.554309,16.114647,640,360,138,34
23,1572026969.1707675,False,4.690994,16.114647,640,360,141,34
24,1572026969.3122466,False,4.838522,16.277187,640,360,144,35
25,1572026969.4575408,False,4.977096,16.648706,640,360,149,36
26,1572026969.6268306,False,5.150286,16.718366,640,360,155,38
27,1572026969.76549,False,5.291841,16.718366,640,360,158,39
28,1572026969.9019802,False,5.428377,16.718366,640,360,163,43
29,1572026970.0471876,False,5.572156,17.043445,640,360,167,43
30,1572026970.1988177,False,5.72083,17.043445,640,360,172,44
31,1572026970.3781123,False,5.859428,17.043445,640,360,176,45
32,1572026970.5323715,False,6.053637,17.043445,640,360,181,47
33,1572026970.721633,False,6.237844,17.043445,640,360,187,49
34,1572026970.9016087,False,6.427806,17.322085,640,360,190,51
35,1572026971.0316565,False,6.560585,17.322085,640,360,197,52
36,1572026971.1672075,False,6.692391,17.322085,640,360,201,53
37,1572026971.3095083,False,6.833986,17.577504,640,360,205,54
38,1572026971.459762,False,6.98809,17.577504,640,360,210,55
39,1572026971.6156693,False,7.134853,17.623944,640,360,215,57
40,1572026971.7618887,False,7.288386,17.623944,640,360,219,59
41,1572026971.9179943,False,7.426761,17.623944,640,360,224,61
42,1572026972.1103473,False,7.632757,17.623944,640,360,229,62
43,1572026972.248992,False,7.772955,17.623944,640,360,233,63
44,1572026972.3979492,False,7.916749,17.925804,640,360,239,64
45,1572026972.555922,False,8.076665,17.925804,640,360,244,65
46,1572026972.71183,False,8.238562,17.925804,640,360,247,66
47,1572026972.903767,False,8.431467,18.018683,640,360,253,67
48,1572026973.0564175,False,8.574479,18.018683,640,360,257,70
49,1572026973.1977916,False,8.719821,18.018683,640,360,263,72
50,1572026973.3466096,False,8.868828,18.018683,640,360,266,72
51,1572026973.4886649,False,9.01569,18.018683,640,360,272,75
52,1572026973.7060595,False,9.226745,18.018683,640,360,275,75
53,1572026973.858246,False,9.378996,18.343763,640,360,282,78
54,1572026973.9953573,False,9.516445,18.343763,640,360,286,78
55,1572026974.1359384,False,9.661946,18.343763,640,360,290,79
56,1572026974.2838259,False,9.807722,18.343763,640,360,294,80
57,1572026974.4397702,False,9.961715,18.343763,640,360,300,83
58,1572026974.5808887,False,10.101526,18.645622,640,360,303,84
59,1572026974.7333994,False,10.259737,18.645622,640,360,307,85
60,1572026974.9356008,False,10.462448,18.831382,640,360,312,86
61,1572026975.077615,False,10.597478,18.831382,640,360,318,87
62,1572026975.210291,False,10.739231,18.831382,640,360,322,88
63,1572026975.3697891,False,10.88935,19.063581,640,360,327,89
64,1572026975.51661,False,11.031997,19.063581,640,360,331,90
