,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.143405964698722,,,,,,,,,,,702193.0,880404,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,288794.0,288794.0,288794.0,702193.0,1433325.0,362088,362088,362088,880404,1797092,1.2549669491525424,1.2549669491525424,1.2549669491525424,44.03364889830515,49.06571605084743,0.0,10.029667,3.286,,,,,,,,,,,10.03,0.0,1576335494.776,1576335491.437,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/360p30/0.ts,44.03364889830515
1,-0.008,,,,,,,,,,,1458831.0,-1,0.0,0,0,1,0.0,0,0.0,2,,,,,,,,,,,-2,289660.0,289660.0,289660.0,711969.0,1458831.0,362088,362088,362088,889992,1823600,1.4241760169491529,1.4241760169491529,1.4241760169491529,43.79882152542369,48.86103230508471,4.453000068664551,9.999667,0.001,,,,,,,,,,,20.03,10.03,1576335496.0670002,1576335495.89,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/480p30/1.ts,48.86103230508471
2,-0.008,0.2340987499799419,,,,,,,,,,287254.0,-1,9.506000041961672,0,0,2,702193.0,1,44.03364889830515,0,2.0,,,,,,,,,,1,287254.0,287254.0,711217.0,1455823.0,2369473.0,359080,359080,889052,1819840,2961940,1.604409745762711,1.604409745762711,46.516012847457645,52.175670593220346,65.81879455932206,62.496999979019165,9.999667,0.001,62.319,,,,,,,,,,30.03,20.03,1576335558.89,1576335558.881,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/2.ts,1.604409745762711
3,-0.008,0.31543208520917976,,0.2340987499799419,,,,,,,,290412.0,-1,10.384999990463259,0,0,3,1458831.0,2,48.86103230508471,0,0.0,,2.0,,,,,,,,2,710014.0,290412.0,1469058.0,2364209.0,3277024.0,887548,363028,1836384,2955360,4096144,45.271541728813546,1.5571410847457616,49.83914876271182,63.317793711864454,64.98563552542369,0.0,9.999667,0.001,9.107,,62.319,,,,,,,,40.03,30.03,1576335568.492,1576335568.002,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/3.ts,1.5571410847457616
4,-0.008,0.31543208520917976,,0.2340987499799419,,,,,,,,290563.0,-1,13.72500014305115,0,0,4,287254.0,0,1.604409745762711,0,0.0,,2.0,,,,,,,,0,290563.0,290563.0,290563.0,716180.0,1476578.0,363216,363216,363216,895256,1845784,1.1832337118644072,1.1832337118644072,1.1832337118644072,49.18330598305087,53.23060718644071,0.0,9.999667,0.001,9.107,,62.319,,,,,,,,50.03,40.03,1576335574.668,1576335574.662,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/4.ts,1.1832337118644072
5,-0.008,0.4709445705024311,,0.4710825628548256,0.31543208520917976,0.2340987499799419,,,,,,287404.0,-1,17.54200005531311,0,0,5,290412.0,0,1.5571410847457616,0,0.0,,0.0,0.0,2.0,,,,,,0,287404.0,287404.0,287404.0,705202.0,1438528.0,359268,359268,359268,881532,1798220,0.4424717118644068,0.4424717118644068,0.4424717118644068,47.87547730508477,52.05586725423733,0.0,9.999667,0.001,6.17,,6.165,9.107,62.319,,,,,,60.03,50.03,1576335581.318,1576335580.845,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/5.ts,0.4424717118644068
6,-0.008,0.3173745583038869,,0.4709445705024311,0.4710825628548256,0.31543208520917976,0.2340987499799419,,,,,291014.0,-1,18.008000135421753,0,0,6,290563.0,0,1.1832337118644072,0,0.0,,0.0,0.0,0.0,2.0,,,,,0,291014.0,291014.0,291014.0,711819.0,1473118.0,363780,363780,363780,889804,1841460,0.4162191694915254,0.4162191694915254,0.4162191694915254,43.63108661016953,47.97816008474578,0.0,9.999667,0.001,9.056000000000001,,6.17,6.165,9.107,62.319,,,,,70.03,60.03,1576335590.957,1576335590.379,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/6.ts,0.4162191694915254
7,-0.008,0.40280138408304494,,0.3173745583038869,0.4709445705024311,0.4710825628548256,0.31543208520917976,0.2340987499799419,,,,286502.0,-1,20.199000120162964,0,0,7,287404.0,0,0.4424717118644068,0,0.0,,0.0,0.0,0.0,0.0,2.0,,,,0,286502.0,286502.0,286502.0,704450.0,1453116.0,358140,358140,358140,880592,1816456,0.3736827627118641,0.3736827627118641,0.3736827627118641,44.67652916949153,48.543930322033894,0.0,10.000667,0.001,7.2250000000000005,,9.056000000000001,6.17,6.165,9.107,62.319,,,,80.03,70.03,1576335598.7089999,1576335598.188,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/7.ts,0.3736827627118641
8,-0.008,0.6708311870756263,,0.40280138408304494,0.3173745583038869,0.4709445705024311,0.4710825628548256,0.31543208520917976,0.2340987499799419,,,288006.0,-1,25.402000188827515,0,0,8,291014.0,0,0.4162191694915254,0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,,0,288006.0,288006.0,288006.0,711067.0,1461989.0,360020,360020,360020,888864,1827548,0.5552298813559323,0.5552298813559323,0.5552298813559323,46.77955432203392,50.566194711864384,0.0,10.000667,0.001,4.271,,7.2250000000000005,9.056000000000001,6.17,6.165,9.107,62.319,,,90.03,80.03,1576335603.316,1576335602.985,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/8.ts,0.5552298813559323
9,-0.008,0.5593629831035153,,0.6708311870756263,0.40280138408304494,0.3173745583038869,0.4709445705024311,0.4710825628548256,0.31543208520917976,0.2340987499799419,,288457.0,-1,29.91600012779236,0,0,9,286502.0,0,0.3736827627118641,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0,288457.0,288457.0,288457.0,711067.0,1468005.0,360584,360584,360584,888864,1835068,0.4676840677966105,0.4676840677966105,0.4676840677966105,41.295037949152544,46.443324152542374,0.0,10.000667,0.001,5.149,,4.271,7.2250000000000005,9.056000000000001,6.17,6.165,9.107,62.319,,100.03,90.03,1576335608.511,1576335608.471,https://vod-metro.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/9.ts,0.4676840677966105
