,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,702193.0,-1,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,288794.0,288794.0,288794.0,702193.0,1433325.0,362088,362088,362088,880404,1797092,1.2549669491525424,1.2549669491525424,1.2549669491525424,44.03364889830515,49.06571605084743,0.0,10.029667,0.001,,,,,,,,,,,10.03,0.0,1576433240.996,1576433240.382,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/360p30/0.ts,44.03364889830515
1,-0.008,,,,,,,,,,,289660.0,-1,0.0,0,0,1,0.0,0,0.0,0,,,,,,,,,,,0,289660.0,289660.0,289660.0,711969.0,1458831.0,362088,362088,362088,889992,1823600,1.4241760169491529,1.4241760169491529,1.4241760169491529,43.79882152542369,48.86103230508471,10.75,9.999667,0.001,,,,,,,,,,,20.03,10.03,1576433251.602,1576433251.132,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/1.ts,1.4241760169491529
2,-0.008,1.0869433395872419,,,,,,,,,,287254.0,-1,9.996000051498415,0,0,2,702193.0,1,44.03364889830515,0,0.0,,,,,,,,,,1,287254.0,287254.0,711217.0,1455823.0,2369473.0,359080,359080,889052,1819840,2961940,1.604409745762711,1.604409745762711,46.516012847457645,52.175670593220346,65.81879455932206,3.134999990463257,9.999667,0.001,2.665,,,,,,,,,,30.03,20.03,1576433254.56,1576433254.271,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/160p30/2.ts,1.604409745762711
3,-0.008,2.223405572755418,,1.0869433395872419,,,,,,,,710014.0,-1,18.40999984741211,0,0,3,289660.0,0,1.4241760169491529,1,0.0,,0.0,,,,,,,,-1,290412.0,290412.0,290412.0,710014.0,1469058.0,363028,363028,363028,887548,1836384,1.5571410847457616,1.5571410847457616,1.5571410847457616,45.271541728813546,49.83914876271182,0.0,9.999667,0.001,1.292,,2.665,,,,,,,,40.03,30.03,1576433256.0760002,1576433255.857,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/360p30/3.ts,45.271541728813546
4,-0.008,2.3939258260283207,,2.223405572755418,1.0869433395872419,,,,,,,1476578.0,-1,24.965999841690063,0,0,4,287254.0,0,1.604409745762711,2,1.0,,0.0,0.0,,,,,,,-2,290563.0,290563.0,290563.0,716180.0,1476578.0,363216,363216,363216,895256,1845784,1.1832337118644072,1.1832337118644072,1.1832337118644072,49.18330598305087,53.23060718644071,0.0,9.999667,0.001,2.966,,1.292,2.665,,,,,,,50.03,40.03,1576433259.5870001,1576433259.301,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/480p30/4.ts,53.23060718644071
5,-0.008,3.002495323302155,,2.3939258260283207,2.223405572755418,1.0869433395872419,,,,,,2330821.0,-1,28.907000064849854,0,0,5,710014.0,1,45.271541728813546,3,2.0,,1.0,0.0,0.0,,,,,,-2,287404.0,287404.0,705202.0,1438528.0,2330821.0,359268,359268,881532,1798220,2913624,0.4424717118644068,0.4424717118644068,47.87547730508477,52.05586725423733,65.96386635593224,0.0,9.999667,0.001,4.918,,2.966,1.292,2.665,,,,,,60.03,50.03,1576433265.5979998,1576433265.36,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/720p30/5.ts,65.96386635593224
6,-0.008,9.82258407079646,,3.002495323302155,2.3939258260283207,2.223405572755418,1.0869433395872419,,,,,7367589.0,-1,29.953999996185303,0,0,6,1476578.0,2,53.23060718644071,5,3.0,,2.0,1.0,0.0,0.0,,,,,-3,711819.0,291014.0,1473118.0,2360750.0,3296576.0,889804,363780,1841460,2951036,4120584,43.63108661016953,0.4162191694915254,47.97816008474578,61.301537949152575,65.3592592033898,0.0,9.999667,0.001,2.373,,4.918,2.966,1.292,2.665,,,,,70.03,60.03,1576433274.589,1576433274.313,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/chunked/6.ts,100.0
7,-0.008,8.255652173913044,,9.82258407079646,3.002495323302155,2.3939258260283207,2.223405572755418,1.0869433395872419,,,,3373547.0,-1,29.66700005531311,0,0,7,2330821.0,3,65.96386635593224,4,5.0,,3.0,2.0,1.0,0.0,0.0,,,,-1,1453116.0,704450.0,2340296.0,3373547.0,7373018.0,1816456,880592,2925468,4217216,9216888,48.543930322033894,44.67652916949153,61.789629305084745,67.57285428813567,100.0,0.0,10.000667,0.001,8.924,,2.373,4.918,2.966,1.292,2.665,,,,80.03,70.03,1576433284.8999999,1576433284.6,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/720p60/7.ts,67.57285428813567
8,-0.008,6.835034035656402,,8.255652173913044,9.82258407079646,3.002495323302155,2.3939258260283207,2.223405572755418,1.0869433395872419,,,3253085.0,-1,29.95199990272522,0,0,8,7367589.0,5,100.0,4,4.0,,5.0,3.0,2.0,1.0,0.0,0.0,,,1,3253085.0,2344958.0,7399938.0,7399938.0,7399938.0,4066628,2931296,9250540,9250540,9250540,67.73530308474578,64.20115810169487,100.0,100.0,100.0,0.0,10.000667,0.001,4.936,,8.924,2.373,4.918,2.966,1.292,2.665,,,90.03,80.03,1576433294.594,1576433294.315,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/720p60/8.ts,67.73530308474578
9,-0.008,8.972152233866519,,6.835034035656402,8.255652173913044,9.82258407079646,3.002495323302155,2.3939258260283207,2.223405572755418,1.0869433395872419,,3276395.0,-1,29.953999996185303,0,0,9,3373547.0,4,67.57285428813567,4,4.0,,4.0,5.0,3.0,2.0,1.0,0.0,0.0,,0,2361953.0,1468005.0,3276395.0,7446408.0,7446408.0,2952540,1835068,4095768,9308632,9308632,59.75234764406786,46.443324152542374,64.40360644067799,100.0,100.0,0.0,10.000667,0.001,3.626,,4.936,8.924,2.373,4.918,2.966,1.292,2.665,,100.03,90.03,1576433304.585,1576433304.313,https://vod-secure.twitch.tv/5c7dbe780f669f54be1b_warcraft_35801489904_1306275532/720p60/9.ts,64.40360644067799
