,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1576448229.0724115,False,59.805241,89.471999,1280,720,1787,5
1,1576448229.074692,False,59.806902,89.471999,1280,720,1787,5
2,1576448229.301227,False,60.03504,89.535999,1280,720,1792,8
3,1576448229.4546518,False,60.188339,89.642666,1280,720,1798,10
4,1576448229.6016438,False,60.325295,89.770666,1280,720,1804,12
5,1576448229.7429502,False,60.474769,89.898666,1280,720,1807,13
6,1576448229.9250102,False,60.639202,90.047999,1280,720,1813,15
7,1576448230.0944304,False,60.814858,90.047999,1280,720,1817,19
8,1576448230.2856307,False,60.966086,90.047999,1280,720,1822,19
9,1576448230.4420474,False,61.16508,90.047999,1280,720,1826,22
10,1576448230.600879,False,61.32229,90.047999,1280,720,1833,24
11,1576448230.7445533,False,61.468966,90.047999,1280,720,1837,24
12,1576448230.9057736,False,61.638922,90.111999,1280,720,1841,26
13,1576448231.0502481,False,61.769066,90.111999,1280,720,1847,27
14,1576448231.2069511,False,61.939293,90.111999,1280,720,1850,28
15,1576448231.3713338,False,62.103261,90.197333,1280,720,1856,30
16,1576448231.5235403,False,62.257675,90.303999,1280,720,1862,32
17,1576448231.6705303,False,62.398709,90.474666,1280,720,1865,33
18,1576448231.8625762,False,62.588865,90.474666,1280,720,1871,36
19,1576448232.0001924,False,62.733461,90.602666,1280,720,1876,38
20,1576448232.1399927,False,62.872959,90.602666,1280,720,1879,39
21,1576448232.3170717,False,63.034476,90.773333,1280,720,1886,42
22,1576448232.4684765,False,63.200735,90.773333,1280,720,1889,43
23,1576448232.6180115,False,63.35231,90.901333,1280,720,1892,45
24,1576448232.80965,False,63.532559,90.901333,1280,720,1898,49
25,1576448232.9542203,False,63.6879,91.050666,1280,720,1905,52
26,1576448233.1046982,False,63.831935,91.135999,1280,720,1908,52
27,1576448233.2361286,False,63.966011,91.199999,1280,720,1912,53
28,1576448233.3802397,False,64.096788,91.263999,1280,720,1916,55
29,1576448233.5409374,False,64.267057,91.370666,1280,720,1922,58
30,1576448233.7238472,False,64.450782,91.498666,1280,720,1927,61
31,1576448233.8594992,False,64.591605,91.669333,1280,720,1930,61
32,1576448234.0211804,False,64.750498,91.946666,1280,720,1935,62
33,1576448234.1665902,False,64.889079,92.031999,1280,720,1939,63
34,1576448234.3082266,False,65.035351,92.415999,1280,720,1943,64
35,1576448234.4507697,False,65.165932,92.714666,1280,720,1949,66
36,1576448234.6292424,False,65.355649,93.077333,1280,720,1953,67
37,1576448234.767246,False,65.501101,93.333333,1280,720,1958,68
38,1576448234.9174776,False,65.630002,93.610666,1280,720,1962,70
39,1576448235.1151168,False,65.835144,94.037333,1280,720,1968,72
40,1576448235.2630422,False,65.99639,94.143999,1280,720,1972,72
41,1576448235.4108622,False,66.145817,94.634666,1280,720,1978,74
42,1576448235.5720139,False,66.304135,94.933333,1280,720,1982,76
43,1576448235.73679,False,66.464736,95.274666,1280,720,1986,76
