,bandwidth_mbit,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,0.9362330358646237,555510.0,695036,0.0,0,0,0,0.0,0.0,0.0,1,-1.0,236358.0,236358.0,236358.0,555510.0,1092690.0,295724.0,295724.0,295724.0,695036.0,1367136.0,21.02016736040608,21.02016736040608,21.02016736040608,67.65456605752962,68.11158426395941,0.0,10.009656,5.939,10.01,0.0,1576438030.1990001,1576438024.161,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/360p30/0.ts,67.65456605752962
1,1.6332041178558747,460058.0,575092,0.0,0,0,1,0.0,0.0,0.0,1,-1.0,215215.0,215215.0,215215.0,460058.0,870937.0,269028.0,269028.0,269028.0,575092.0,1088708.0,21.31247125423729,21.31247125423729,21.31247125423729,69.09482283050848,68.2292314406779,6.040999889373779,10.0066,2.817,20.02,10.01,1576438033.363,1576438030.202,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/360p30/1.ts,69.09482283050848
2,2.479170068027211,583081.0,728876,10.004999885559082,0,0,2,0.0,0.0,0.0,1,-1.0,235819.0,235819.0,235819.0,583081.0,1063142.0,294784.0,294784.0,294784.0,728876.0,1328972.0,20.1665455762712,20.1665455762712,20.1665455762712,69.34283281355928,68.17199393220339,3.1610000133514404,10.000667,2.352,30.02,20.02,1576438035.795,1576438033.368,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/360p30/2.ts,69.34283281355928
3,1.2413866210728786,580825.0,726056,,0,0,3,,,,1,,,,,,,,,,,,,,,,,,10.000667,4.679,40.02,30.02,1576438040.563,1576438035.799,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/360p30/3.ts,70.21761833898303
4,1.9124755336617403,582329.0,727936,,0,0,4,,,,1,,,,,,,,,,,,,,,,,,10.006778,3.045,50.03,40.02,1576438043.9029999,1576438040.566,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/360p30/4.ts,71.27791469491528
5,2.6818313253012045,934855.0,1168608,,0,0,5,,,,2,,,,,,,,,,,,,,,,,,10.000667,3.486,60.02,50.02,1576438049.87,1576438045.919,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/480p30/5.ts,73.37361517766496
6,3.0246004415011036,1233088.0,1541412,,0,0,6,,,,2,,,,,,,,,,,,,,,,,,10.000667,4.077,70.03,60.03,1576438059.8630002,1576438055.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/480p30/6.ts,60.11739181355933
7,3.408252693726937,2309014.0,2886364,,0,0,7,,,,3,,,,,,,,,,,,,,,,,,10.006967,6.775,80.04,70.03,1576438072.9160001,1576438065.832,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/7.ts,69.79769252542373
8,3.2594174868064467,2285101.0,2856472,,0,0,8,,,,3,,,,,,,,,,,,,,,,,,10.000667,7.011,90.03,80.03,1576438082.801,1576438075.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/8.ts,69.6668688983051
9,3.125883328725463,2261188.0,2826580,,0,0,9,,,,3,,,,,,,,,,,,,,,,,,10.000667,7.234,100.03,90.03,1576438093.0300002,1576438085.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/9.ts,70.70675005084746
10,3.181033919424062,2297584.0,2872076,,0,0,10,,,,3,,,,,,,,,,,,,,,,,,10.007145,7.223,110.04,100.03,1576438103.003,1576438095.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/10.ts,70.08713611864414
11,3.6385821218682337,2352628.0,2940884,,0,0,11,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.466,120.04,110.04,1576438112.264,1576438105.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/11.ts,65.21915235194591
12,2.4772624756966946,2293373.0,2866812,,0,0,12,,,,3,,,,,,,,,,,,,,,,,,10.000667,9.258000000000001,130.04,120.04,1576438125.075,1576438115.487,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/12.ts,66.75635874576264
13,3.7590286747610437,1455003.0,1818900,,0,0,13,,,,2,,,,,,,,,,,,,,,,,,10.007789,3.871,140.05,130.04,1576438129.64,1576438125.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/480p30/13.ts,55.40174147457628
14,3.7802844531633153,2312322.0,2890500,,0,0,14,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.117,150.05,140.05,1576438141.687,1576438135.486,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/14.ts,67.82432047457623
15,3.5812287743130593,2319842.0,2899900,,0,0,15,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.478,160.05,150.05,1576438152.231,1576438145.486,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/15.ts,69.26633801694912
16,3.4681227863046047,2349853.0,2937500,,0,0,16,,,,3,,,,,,,,,,,,,,,,,,10.0078,6.776,170.06,160.05,1576438162.595,1576438155.49,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/16.ts,59.293501915254275
17,3.72789160233181,2366014.0,2957616,,0,0,17,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.347,180.06,170.06,1576438171.8730001,1576438165.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/17.ts,57.487017783417905
18,3.470427198817442,2347665.0,2934680,,0,0,18,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.765000000000001,190.06,180.06,1576438182.256,1576438175.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/18.ts,64.08247447457624
19,3.602658461538461,2341626.0,2927160,,0,0,19,,,,3,,,,,,,,,,,,,,,,,,10.007789,6.5,200.07,190.06,1576438192.298,1576438185.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/19.ts,66.00778476271186
20,3.474914105831209,2318038.0,2897644,,0,0,20,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.671,210.07,200.07,1576438202.4290001,1576438195.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/20.ts,66.31656605084747
21,3.5712050117462804,2280138.0,2850268,,0,0,21,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.385,220.07,210.07,1576438211.877,1576438205.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/21.ts,66.03414210169493
22,3.184070933776669,2298185.0,2872828,,0,0,22,,,,3,,,,,,,,,,,,,,,,,,10.007867,7.218,230.08,220.07,1576438222.782,1576438215.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/22.ts,67.46742098305086
23,3.279756070016939,2323301.0,2904224,,0,0,23,,,,3,,,,,,,,,,,,,,,,,,10.000667,7.0840000000000005,240.08,230.08,1576438232.621,1576438225.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/23.ts,64.07423822335025
24,3.076612425266441,2367066.0,2958932,,0,0,24,,,,3,,,,,,,,,,,,,,,,,,10.000667,7.694,250.08,240.08,1576438243.443,1576438235.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/24.ts,57.254779101694915
25,3.638269638739431,2366615.0,2958368,,0,0,25,,,,3,,,,,,,,,,,,,,,,,,10.008056,6.505,260.09,250.08,1576438252.289,1576438245.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/25.ts,54.978426220339024
26,3.7542448979591834,2354583.0,2943328,,0,0,26,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.272,270.09,260.09,1576438261.802,1576438255.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/26.ts,61.204112864406774
27,3.7356002595717066,2302547.0,2878280,,0,0,27,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.164,280.09,270.09,1576438271.993,1576438265.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/27.ts,63.1064436101695
28,3.6771137455943608,2295177.0,2869068,,0,0,28,,,,3,,,,,,,,,,,,,,,,,,10.008233,6.242,290.1,280.09,1576438281.858,1576438275.484,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/28.ts,65.97513338983038
29,3.6949323116219666,2314428.0,2893132,,0,0,29,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.264,300.1,290.1,1576438291.795,1576438285.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/29.ts,64.76948187817261
30,3.6102968339768338,2337589.0,2922084,,0,0,30,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.4750000000000005,310.1,300.1,1576438302.306,1576438295.484,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/30.ts,64.0482210847458
31,2.5637104464672733,2365713.0,2957240,,0,0,31,,,,3,,,,,,,,,,,,,,,,,,10.008411,9.228,320.11,310.1,1576438315.062,1576438305.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/31.ts,55.823075830508486
32,3.7355289256198345,1446348.0,1807996,,0,0,32,,,,2,,,,,,,,,,,,,,,,,,10.000667,3.872,330.11,320.11,1576438319.626,1576438315.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/480p30/32.ts,46.68278381355934
33,3.830692433671798,2338942.0,2923776,,0,0,33,,,,3,,,,,,,,,,,,,,,,,,10.0008,6.106,340.11,330.11,1576438331.3839998,1576438325.235,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/33.ts,52.35348393220335
34,3.6125190170605723,2307961.0,2885048,,0,0,34,,,,3,,,,,,,,,,,,,,,,,,10.0086,6.389,350.12,340.11,1576438342.164,1576438335.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/34.ts,45.359275372881356
35,3.5088026614244665,2320293.0,2900464,,0,0,35,,,,3,,,,,,,,,,,,,,,,,,10.000667,6.613,360.12,350.12,1576438352.4160001,1576438345.482,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/35.ts,45.99530878172593
36,3.52494371257485,2354583.0,2943328,,0,0,36,,,,3,,,,,,,,,,,,,,,,,,10.000978,6.68,370.12,360.12,1576438362.21,1576438355.483,https://vod-secure.twitch.tv/5d09a2bd29461c103be8_yoda_35812104224_1306939049/720p30/36.ts,48.17241635593215
