,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1576430754.5742729,False,0.630158,6.037333,960,540,18,1
1,1576430754.575884,False,0.632998,6.037333,960,540,18,1
2,1576430754.7276855,False,0.781878,6.037333,960,540,21,1
3,1576430754.8663256,False,0.921482,6.037333,960,540,24,2
4,1576430755.0063417,False,1.063478,6.041666,960,540,28,3
5,1576430755.1496537,False,1.207899,6.041666,960,540,32,4
6,1576430755.2864437,False,1.342593,6.041666,960,540,36,4
7,1576430755.420959,False,1.477563,6.041666,960,540,38,4
8,1576430755.5619295,False,1.617533,6.041666,960,540,42,4
9,1576430755.7025301,False,1.758048,6.041666,960,540,46,5
10,1576430755.8544266,False,1.905918,6.041666,960,540,48,6
11,1576430755.983883,False,2.042612,6.041666,960,540,51,6
12,1576430756.123888,False,2.176665,6.041666,960,540,55,7
13,1576430756.264285,False,2.315988,6.041666,960,540,58,8
14,1576430756.4033804,False,2.455196,6.041666,960,540,61,8
15,1576430756.5407603,False,2.595854,6.041666,960,540,66,9
16,1576430756.7160945,False,2.768075,6.041666,960,540,69,10
17,1576430756.858091,False,2.913699,6.041666,960,540,72,12
18,1576430757.0060205,False,3.059264,6.041666,960,540,76,13
19,1576430757.1505613,False,3.203196,6.041666,960,540,79,13
20,1576430757.2867205,False,3.341278,6.041666,960,540,82,13
21,1576430757.4523048,False,3.508439,6.041666,960,540,87,14
22,1576430757.5921366,False,3.650104,6.041666,960,540,90,15
23,1576430757.7290094,False,3.78444,6.041666,960,540,94,16
24,1576430757.8657894,False,3.923058,6.041666,960,540,96,16
25,1576430758.0061677,False,4.058389,6.041666,960,540,100,17
26,1576430758.161047,False,4.218323,6.041666,960,540,104,18
27,1576430758.3115408,False,4.369712,6.041666,960,540,108,19
28,1576430758.4538705,False,4.505531,6.041666,960,540,111,19
29,1576430758.5917144,False,4.650356,6.041666,960,540,114,19
30,1576430758.77394,False,4.82969,6.041666,960,540,119,21
31,1576430758.9151027,False,4.972973,6.041666,960,540,123,21
32,1576430759.0527613,False,5.111255,6.041666,960,540,125,21
33,1576430759.1918843,False,5.2495,6.041666,960,540,128,21
34,1576430759.3292964,False,5.388156,6.041666,960,540,133,22
35,1576430759.4679918,False,5.526463,6.041666,960,540,135,23
36,1576430759.6361108,False,5.678334,12.117333,960,540,140,24
37,1576430759.777838,False,5.830457,12.124999,960,540,143,25
38,1576430759.919363,False,5.970222,12.124999,960,540,146,26
39,1576430760.059725,False,6.114631,12.124999,960,540,149,26
40,1576430760.2037854,False,6.262131,12.124999,960,540,152,26
41,1576430760.3458946,False,6.398612,12.124999,960,540,156,27
42,1576430760.4922707,False,6.544694,12.124999,960,540,160,28
43,1576430760.653967,False,6.711742,18.166666,960,540,164,29
44,1576430760.7890785,False,6.847418,18.166666,960,540,167,30
45,1576430760.9321787,False,6.983757,18.166666,960,540,170,30
46,1576430761.0677395,False,7.123789,18.166666,960,540,173,31
47,1576430761.2032914,False,7.260284,18.166666,960,540,177,31
48,1576430761.3506296,False,7.409603,18.166666,960,540,179,31
49,1576430761.5032053,False,7.555053,18.175999,960,540,184,31
50,1576430761.6522257,False,7.708825,24.249999,960,540,187,32
51,1576430761.8175354,False,7.870151,24.249999,960,540,192,33
52,1576430761.963666,False,8.019867,24.249999,960,540,196,33
53,1576430762.1102917,False,8.169992,24.249999,960,540,198,34
54,1576430762.251935,False,8.309802,24.249999,960,540,202,34
55,1576430762.3985922,False,8.451386,24.255999,960,540,206,35
56,1576430762.543181,False,8.59787,30.333332,960,540,209,36
57,1576430762.6896975,False,8.740519,30.333332,960,540,212,36
58,1576430762.8365421,False,8.889649,30.333332,960,540,216,37
59,1576430762.972222,False,9.032485,30.333332,960,540,220,37
60,1576430763.1253402,False,9.17122,30.333332,960,540,223,38
61,1576430763.264169,False,9.321936,30.333332,960,540,226,38
62,1576430763.406033,False,9.458004,30.333332,960,540,230,39
63,1576430763.5892406,False,9.60414,30.333332,960,540,233,39
64,1576430763.7294385,False,9.786841,30.333332,960,540,238,39
65,1576430763.8638031,False,9.91424,30.333332,960,540,241,40
66,1576430764.0076458,False,10.06108,30.333332,960,540,243,40
67,1576430764.1709223,False,10.227998,30.333332,960,540,248,40
68,1576430764.3196845,False,10.37787,30.333332,960,540,251,40
69,1576430764.4805996,False,10.526146,30.333332,960,540,255,41
