,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1576440115.6653163,False,-1.0,-1.0,0,0,0,0
1,1576440120.5953972,False,0.006777,6.08,426,240,4,0
2,1576440120.7279942,False,0.073449,6.08,426,240,4,0
3,1576440120.9022553,False,0.250877,6.08,426,240,8,1
4,1576440121.045902,False,0.381491,6.08,426,240,11,1
5,1576440121.183008,False,0.528554,6.08,426,240,15,2
6,1576440121.3250887,False,0.669228,6.08,426,240,19,2
7,1576440121.463207,False,0.808123,6.08,426,240,23,2
8,1576440121.596764,False,0.945798,6.08,426,240,26,3
9,1576440121.7790046,False,1.122583,6.08,426,240,30,3
10,1576440121.9121094,False,1.258039,6.08,426,240,34,4
11,1576440122.0538623,False,1.390292,6.08,426,240,37,4
12,1576440122.2036264,False,1.53476,6.08,426,240,41,5
13,1576440122.3422134,False,1.688663,6.08,426,240,46,6
14,1576440122.4825943,False,1.829174,6.08,426,240,48,6
15,1576440122.643511,False,1.985413,6.08,426,240,53,7
16,1576440122.7824624,False,2.130463,6.08,426,240,56,7
17,1576440122.9220676,False,2.267569,6.08,426,240,59,7
18,1576440123.0599844,False,2.404476,6.08,426,240,62,7
19,1576440123.1947744,False,2.539147,6.08,426,240,66,9
20,1576440123.3257515,False,2.671391,6.08,426,240,69,9
21,1576440123.5390055,False,2.879046,6.08,426,240,73,10
22,1576440123.6714067,False,3.015182,6.08,426,240,79,12
23,1576440123.8084748,False,3.155221,6.08,426,240,81,12
24,1576440123.9378102,False,3.284429,6.08,426,240,85,12
25,1576440124.0760615,False,3.422037,6.08,426,240,89,13
26,1576440124.2084954,False,3.552685,6.08,426,240,91,13
27,1576440124.3663743,False,3.714975,6.08,426,240,95,13
28,1576440124.5055346,False,3.849529,6.08,426,240,98,13
29,1576440124.6435614,False,3.987479,6.08,426,240,103,14
30,1576440124.7838392,False,4.128017,6.08,426,240,106,14
31,1576440124.9226265,False,4.266325,6.08,426,240,110,15
32,1576440125.0591035,False,4.406021,6.08,426,240,113,15
33,1576440125.2113473,False,4.560884,6.08,426,240,116,15
34,1576440125.3466644,False,4.686431,6.08,426,240,120,16
35,1576440125.477752,False,4.825566,6.08,426,240,124,17
36,1576440125.620481,False,4.966052,6.08,426,240,126,17
37,1576440125.7500505,False,5.097328,6.08,426,240,130,17
38,1576440125.8788977,False,5.226691,6.08,426,240,133,18
39,1576440126.012073,False,5.36063,6.08,426,240,137,19
40,1576440126.1403975,False,5.488919,6.08,426,240,140,19
41,1576440126.2744024,False,5.622674,6.08,426,240,144,20
