,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,0.9861975362005619,,,,,,,,,,,454802.0,570392,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,195322.0,195322.0,195322.0,454802.0,753857.0,244964,244964,244964,570392,945452,17.358427333333335,17.358427333333335,17.358427333333335,47.89774461666664,66.10443464999993,0.0,10.033222,4.627,,,,,,,,,,,10.03,0.0,1572084655.6399999,1572084650.475,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-360p-6ab2d0.ts,47.89774461666664
1,-0.008,,,,,,,,,,,523470.0,-1,9.383999853134155,0,0,1,0.0,0,0.0,1,,,,,,,,,,,-1,218312.0,218312.0,218312.0,523470.0,855522.0,273164,273164,273164,654992,1070472,17.756906550000032,17.756906550000032,17.756906550000032,47.993701400000006,65.79848363333333,5.164999961853027,10.01,0.001,,,,,,,,,,,20.04,10.03,1572084656.461,1572084656.286,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-360p-6ab2d1.ts,47.993701400000006
2,-0.008,1.3610223376623376,,,,,,,,,,463820.0,-1,15.32599977493286,0,0,2,454802.0,1,47.89774461666664,1,1.0,,,,,,,,,,0,194873.0,194873.0,463820.0,765071.0,1292448.0,243836,243836,580356,957296,1617176,16.48092606666667,16.48092606666667,45.84726656666665,64.04116183333332,78.75123784999997,0.0,10.01,0.001,3.85,,,,,,,,,,30.05,20.04,1572084660.5140002,1572084660.354,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-360p-6ab2d2.ts,45.84726656666665
3,-0.008,2.656091533180778,,1.3610223376623376,,,,,,,,470431.0,-1,23.385999965667725,0,0,3,523470.0,1,47.993701400000006,1,1.0,,1.0,,,,,,,,0,199681.0,199681.0,470431.0,782650.0,1346989.0,249852,249852,588628,979292,1685420,17.273225850000017,17.273225850000017,46.96591459999999,65.04706788333334,79.45953948333323,0.0,10.01,0.001,1.748,,3.85,,,,,,,,40.06,30.05,1572084662.373,1572084662.304,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-360p-6ab2d3.ts,46.96591459999999
4,-0.008,3.704975609756097,,2.656091533180778,1.3610223376623376,,,,,,,693252.0,-1,29.668999967575076,0,0,4,463820.0,1,45.84726656666665,2,1.0,,1.0,1.0,,,,,,,-1,165274.0,165274.0,413487.0,693252.0,1167590.0,206800,206800,517376,867432,1460948,17.367353316666687,17.367353316666687,47.11047594999998,65.27658198333332,79.76107866666672,0.0,10.01,0.001,1.2710000000000001,,1.748,3.85,,,,,,,50.07,40.06,1572084666.185,1572084666.031,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-480p-d48104.ts,65.27658198333332
5,-0.008,3.1905544827586203,,3.704975609756097,2.656091533180778,1.3610223376623376,,,,,,708174.0,-1,29.625999755859375,0,0,5,470431.0,1,46.96591459999999,2,2.0,,1.0,1.0,1.0,,,,,,-1,176994.0,176994.0,428662.0,708174.0,1181290.0,221464,221464,536364,886984,1479560,13.724832349999994,13.724832349999994,38.251155616666665,63.38092296666666,78.39604980000004,0.0,10.019955,0.001,2.1750000000000003,,1.2710000000000001,1.748,3.85,,,,,,60.09,50.07,1572084676.138,1572084676.084,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-480p-d48105.ts,63.38092296666666
6,-0.008,7.671212972972973,,3.1905544827586203,3.704975609756097,2.656091533180778,1.3610223376623376,,,,,831330.0,-1,29.65399989128113,0,0,6,693252.0,2,65.27658198333332,2,2.0,,2.0,1.0,1.0,1.0,,,,,0,490865.0,206292.0,831330.0,1407237.0,2876828.0,614196,258124,1040204,1760808,3599636,34.26831983333336,11.505249116666667,64.48113343333328,78.79011464999992,100.0,0.0,10.010011,0.001,0.925,,2.1750000000000003,1.2710000000000001,1.748,3.85,,,,,70.1,60.09,1572084686.099,1572084686.076,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-480p-d48106.ts,64.48113343333328
7,-0.008,7.620542124542124,,7.671212972972973,3.1905544827586203,3.704975609756097,2.656091533180778,1.3610223376623376,,,,1566652.0,-1,29.154999828338617,0,0,7,708174.0,2,63.38092296666666,3,2.0,,2.0,2.0,1.0,1.0,1.0,,,,-1,565539.0,237995.0,934702.0,1566652.0,3154490.0,707632,297792,1169548,1960276,3947060,29.886230083333345,9.878213316666658,64.38395433333332,78.8553530166666,100.0,0.0,10.010011,0.001,1.092,,0.925,2.1750000000000003,1.2710000000000001,1.748,3.85,,,,80.11,70.1,1572084696.612,1572084696.585,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-720p-303ed7.ts,78.8553530166666
8,-0.008,7.586941461054668,,7.620542124542124,7.671212972972973,3.1905544827586203,3.704975609756097,2.656091533180778,1.3610223376623376,,,1557487.0,-1,29.66999994277954,0,0,8,831330.0,2,64.48113343333328,3,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,-1,570497.0,240549.0,926739.0,1557487.0,3177177.0,713836,300988,1159584,1948808,3975448,34.5087015166667,16.72380005,68.0780959333334,79.92271420000002,100.0,0.0,10.010011,0.001,2.067,,1.092,0.925,2.1750000000000003,1.2710000000000001,1.748,3.85,,,90.12,80.11,1572084706.106,1572084706.08,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-720p-303ed8.ts,79.92271420000002
9,-0.008,7.564514313440077,,7.586941461054668,7.620542124542124,7.671212972972973,3.1905544827586203,3.704975609756097,2.656091533180778,1.3610223376623376,,1582278.0,-1,29.683999891281132,0,0,9,1566652.0,3,78.8553530166666,3,3.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,0,930495.0,559078.0,1582278.0,3280399.0,3280399.0,1164284,699548,1979828,4104604,4104604,67.98320083472451,46.25000649415698,79.65518507512517,100.0,100.0,0.0,10.010011,0.001,2.061,,2.067,1.092,0.925,2.1750000000000003,1.2710000000000001,1.748,3.85,,100.13,90.12,1572084716.1,1572084716.076,https://hls1-l3.xvideos-cdn.com/f255e183859f7358f7be19856eede2144046fbdf-1572095443/videos/hls/84/fc/e3/84fce36a8cd9b685a6abb3914931e352/hls-720p-303ed9.ts,79.65518507512517
