,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,1.2077909261969473,,,,,,,,,,,576348.0,722108,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,213673.0,213673.0,213673.0,576348.0,975935.0,267712,267712,267712,722108,1222752,10.659611999999996,10.659611999999996,10.659611999999996,37.821204338983065,61.10028166101694,0.0,10.023222,4.783,,,,,,,,,,,10.02,0.0,1572058353.285,1572058348.451,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-360p-9e9360.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,37.821204338983065
1,-0.008,,,,,,,,,,,637395.0,-1,9.96700002670288,0,0,1,0.0,0,0.0,1,,,,,,,,,,,-1,232819.0,232819.0,232819.0,637395.0,1074608.0,291024,291024,291024,796744,1343260,9.593343254237286,9.593343254237286,9.593343254237286,35.421411661016954,57.95048081355934,4.834000110626221,10.0,0.001,,,,,,,,,,,20.02,10.02,1572058353.371,1572058353.338,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-360p-9e9361.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,35.421411661016954
2,-0.008,4.697090641120118,,,,,,,,,,956092.0,-1,18.524000186920166,0,0,2,576348.0,1,37.821204338983065,2,1.0,,,,,,,,,,-1,212364.0,212364.0,555126.0,956092.0,1745542.0,265456,265456,693908,1195116,2181928,2.9176476949152543,2.9176476949152543,29.32768318644069,54.135778644067784,74.60378959322028,0.0,10.0,0.001,1.357,,,,,,,,,,30.02,20.02,1572058354.793,1572058354.781,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-480p-0fd482.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,54.135778644067784
3,-0.008,17.640088560885605,,4.697090641120118,,,,,,,,1564761.0,-1,27.903000135421753,0,0,3,637395.0,1,35.421411661016954,3,2.0,,1.0,,,,,,,,-2,203328.0,203328.0,543395.0,947670.0,1564761.0,254364,254364,679244,1184588,1955952,3.108294508474576,3.108294508474576,29.567889966101685,53.224867084745796,73.74062715254239,0.0,10.0,0.001,0.542,,1.357,,,,,,,,40.02,30.02,1572058355.412,1572058355.402,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-720p-6e8b83.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,73.74062715254239
4,-0.008,20.616094861660077,,17.640088560885605,4.697090641120118,,,,,,,2769014.0,-1,29.621000070571903,0,0,4,956092.0,2,54.135778644067784,4,3.0,,2.0,1.0,,,,,,,-2,427888.0,171305.0,749894.0,1285769.0,2769014.0,534860,214132,937368,1607212,3461268,28.04852416949154,1.5929220677966105,52.16849591836737,72.76447561224494,100.0,0.0,10.0,0.001,0.759,,0.542,1.357,,,,,,,50.02,40.02,1572058363.6890001,1572058363.684,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-1080p-b40954.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,100.0
5,-0.008,18.133689587426325,,20.616094861660077,17.640088560885605,4.697090641120118,,,,,,2855945.0,-1,29.647000093460086,0,0,5,1564761.0,3,73.74062715254239,4,4.0,,3.0,2.0,1.0,,,,,,-1,833817.0,482182.0,1382777.0,2855945.0,2855945.0,1042272,602728,1728472,3569932,3569932,55.51229901694913,31.605413401360554,75.55717762711865,100.0,100.0,0.0,10.0,0.001,1.5270000000000001,,0.759,0.542,1.357,,,,,,60.02,50.02,1572058373.662,1572058373.658,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-1080p-b40955.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,100.0
6,-0.008,28559.456,,18.133689587426325,20.616094861660077,17.640088560885605,4.697090641120118,,,,,3324892.0,-1,29.651999969482425,0,0,6,2769014.0,4,100.0,4,4.0,,4.0,3.0,2.0,1.0,,,,,0,1654550.0,1002416.0,3324892.0,3324892.0,3324892.0,2068188,1253020,4156116,4156116,4156116,72.95421833898303,51.740592033898324,100.0,100.0,100.0,0.0,10.0,0.001,0.001,,1.5270000000000001,0.759,0.542,1.357,,,,,70.02,60.02,1572058383.6580002,1572058383.653,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-1080p-b40956.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,100.0
7,-0.008,35.59842398286938,,28559.456,18.133689587426325,20.616094861660077,17.640088560885605,4.697090641120118,,,,3299024.0,-1,29.65300013542175,0,0,7,2855945.0,4,100.0,4,4.0,,4.0,4.0,3.0,2.0,1.0,,,,0,1626124.0,985721.0,3299024.0,3299024.0,3299024.0,2032656,1232152,4123780,4123780,4123780,71.70878183050853,50.17916166101696,100.0,100.0,100.0,0.0,10.0,0.001,0.934,,0.001,1.5270000000000001,0.759,0.542,1.357,,,,80.02,70.02,1572058393.656,1572058393.652,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-1080p-b40957.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,100.0
8,-0.008,32.76091360476663,,35.59842398286938,28559.456,18.133689587426325,20.616094861660077,17.640088560885605,4.697090641120118,,,3000780.0,-1,29.651999969482418,0,0,8,3324892.0,4,100.0,4,4.0,,4.0,4.0,4.0,3.0,2.0,1.0,,,0,1440982.0,846150.0,3000780.0,3000780.0,3000780.0,1801228,1057688,3750976,3750976,3750976,74.5805643728814,54.23483606779659,100.0,100.0,100.0,0.0,10.0,0.001,1.0070000000000001,,0.934,0.001,1.5270000000000001,0.759,0.542,1.357,,,90.02,80.02,1572058403.6590002,1572058403.653,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-1080p-b40958.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,100.0
9,-0.008,37.18439653035935,,32.76091360476663,35.59842398286938,28559.456,18.133689587426325,20.616094861660077,17.640088560885605,4.697090641120118,,3147721.0,-1,29.651000041961666,0,0,9,3299024.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,3.0,2.0,1.0,,0,1592736.0,969628.0,3147721.0,3147721.0,3147721.0,1990920,1212036,3934652,3934652,3934652,73.5149818644067,52.393911389830535,100.0,100.0,100.0,0.0,10.0,0.001,0.807,,1.0070000000000001,0.934,0.001,1.5270000000000001,0.759,0.542,1.357,,100.02,90.02,1572058413.658,1572058413.654,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-1080p-b40959.ts?JweZphCQSZG6q2SoqkmbU1ev9l1YW4aMGC8fNoUTeCqQI695BI3ToEQAurY6OMbjRa2Rtn7JNXvYf_Ac0p977HAeTGECJoBgPXO5xHVvl_k_juw-x9Pf6yYio3biYksiliXHHXKYqkY5bwaJxPXtmWVT5g,100.0
