,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572241004.489936,False,0.636862,10.033232,640,360,26,0
1,1572241004.4920595,False,0.639314,10.033232,640,360,26,0
2,1572241004.637736,False,0.789279,10.033232,640,360,28,2
3,1572241004.7859695,False,0.927243,10.033232,640,360,33,3
4,1572241004.9451618,False,1.096044,10.033232,640,360,38,5
5,1572241005.093505,False,1.244494,10.033232,640,360,44,8
6,1572241005.2408807,False,1.39178,10.033232,640,360,47,9
7,1572241005.3766696,False,1.525641,10.033232,640,360,53,10
8,1572241005.5335467,False,1.680073,10.033232,640,360,56,13
9,1572241005.7177124,False,1.86397,10.033232,640,360,62,13
10,1572241005.8602812,False,2.006971,10.033232,640,360,67,15
11,1572241005.9988413,False,2.146151,10.033232,640,360,71,17
12,1572241006.1319494,False,2.281156,10.033232,640,360,75,18
13,1572241006.2676773,False,2.418252,10.033232,640,360,78,19
14,1572241006.409635,False,2.561528,10.033232,640,360,83,21
15,1572241006.5552664,False,2.708047,10.033232,640,360,85,22
16,1572241006.7238524,False,2.876156,10.033232,640,360,90,23
17,1572241006.8730702,False,3.014852,10.033232,640,360,93,24
18,1572241007.0125496,False,3.166237,10.033232,640,360,100,28
19,1572241007.1966069,False,3.348894,10.033232,640,360,106,31
20,1572241007.353097,False,3.50196,10.033232,640,360,110,34
21,1572241007.4867976,False,3.640812,10.033232,640,360,114,36
22,1572241007.6188128,False,3.766109,10.033232,640,360,118,38
23,1572241007.7533696,False,3.906171,10.033232,640,360,122,40
24,1572241007.9126291,False,4.062723,10.033232,640,360,126,42
25,1572241008.1350672,False,4.209988,20.043243,640,360,131,44
26,1572241008.2957268,False,4.449438,20.043243,640,360,139,49
27,1572241008.4332597,False,4.581952,20.043243,640,360,143,52
28,1572241008.5925689,False,4.741885,20.043243,640,360,146,52
29,1572241008.9340925,False,5.07808,20.043243,640,360,157,58
30,1572241009.0769994,False,5.220584,20.043243,640,360,161,60
31,1572241009.2238905,False,5.36948,20.043243,640,360,167,63
32,1572241009.3678908,False,5.518178,20.043243,640,360,171,64
33,1572241009.5103664,False,5.656276,20.043243,640,360,175,64
34,1572241009.648438,False,5.799455,20.043243,640,360,179,66
35,1572241009.790288,False,5.941019,20.043243,640,360,183,66
36,1572241009.932065,False,6.083606,20.043243,640,360,187,68
37,1572241010.079554,False,6.221508,30.053254,640,360,192,70
38,1572241010.2619987,False,6.413425,30.053254,640,360,198,72
39,1572241010.4114654,False,6.562812,30.053254,640,360,201,72
40,1572241010.5626268,False,6.702169,30.053254,640,360,207,75
41,1572241010.7059639,False,6.854281,30.053254,640,360,211,77
42,1572241010.8412728,False,6.989919,30.053254,640,360,217,80
43,1572241010.9859543,False,7.129442,30.053254,640,360,220,80
44,1572241011.128878,False,7.277184,30.053254,640,360,224,81
45,1572241011.2676857,False,7.416169,30.053254,640,360,228,83
46,1572241011.3992634,False,7.553396,30.053254,640,360,232,83
47,1572241011.539711,False,7.691231,30.053254,640,360,237,85
48,1572241011.6846273,False,7.831024,30.053254,640,360,241,87
49,1572241011.8467696,False,7.993145,30.053254,640,360,244,87
50,1572241011.9935222,False,8.143811,30.053254,640,360,249,89
51,1572241012.1387284,False,8.286735,30.053254,640,360,255,91
52,1572241012.2847552,False,8.427976,30.053254,640,360,258,91
53,1572241012.4236467,False,8.575465,30.053254,640,360,263,93
54,1572241012.6153157,False,8.712579,30.053254,640,360,266,93
55,1572241012.7520463,False,8.897676,30.053254,640,360,272,95
56,1572241012.9102578,False,9.045343,30.053254,640,360,277,97
57,1572241013.0548017,False,9.198992,30.053254,640,360,282,97
58,1572241013.1928499,False,9.342202,30.053254,640,360,286,99
59,1572241013.3412468,False,9.485069,30.053254,640,360,290,99
60,1572241013.481334,False,9.628797,30.053254,640,360,294,101
61,1572241013.6198103,False,9.76925,30.053254,640,360,298,101
62,1572241013.7566824,False,9.908802,30.053254,640,360,303,103
63,1572241013.9427764,False,10.086847,40.063266,640,360,309,105
64,1572241014.1066334,False,10.255855,40.063266,640,360,313,107
65,1572241014.2519674,False,10.398031,40.063266,640,360,317,107
66,1572241014.399826,False,10.552322,40.063266,640,360,321,109
67,1572241014.536278,False,10.685929,40.063266,640,360,326,111
68,1572241014.7402856,False,10.890644,40.063266,640,360,332,113
69,1572241014.9012008,False,11.044369,40.063266,640,360,337,115
70,1572241015.0438416,False,11.192019,40.063266,640,360,340,115
71,1572241015.1857996,False,11.333196,40.063266,640,360,345,117
72,1572241015.358223,False,11.507157,40.063266,640,360,350,117
