,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572203987.1504111,False,0.668081,10.023221,640,360,22,1
1,1572203987.1568384,False,0.670632,10.023221,640,360,22,1
2,1572203987.299803,False,0.81926,10.023221,640,360,27,5
3,1572203987.4366245,False,0.953602,10.023221,640,360,30,9
4,1572203987.6342301,False,1.130425,10.023221,640,360,34,9
5,1572203987.7789369,False,1.291163,10.023221,640,360,41,12
6,1572203987.9412196,False,1.450767,10.023221,640,360,45,15
7,1572203988.0801244,False,1.598609,10.023221,640,360,49,17
8,1572203988.2462552,False,1.765718,10.023221,640,360,53,19
9,1572203988.4140751,False,1.93257,10.023221,640,360,59,23
10,1572203988.6521554,False,2.172666,10.023221,640,360,66,25
11,1572203988.7769964,False,2.29748,10.023221,640,360,69,26
12,1572203988.9168952,False,2.434823,10.023221,640,360,75,28
13,1572203989.0554905,False,2.571249,10.023221,640,360,79,30
14,1572203989.1945624,False,2.706227,10.023221,640,360,83,30
15,1572203989.3476243,False,2.858304,10.023221,640,360,87,32
16,1572203989.4976926,False,3.014254,10.023221,640,360,92,33
17,1572203989.6527252,False,3.171037,10.023221,640,360,97,34
18,1572203989.7933986,False,3.306931,10.023221,640,360,101,35
19,1572203989.9361339,False,3.450932,10.023221,640,360,105,37
20,1572203990.0802894,False,3.595642,10.023221,640,360,109,38
21,1572203990.230433,False,3.748642,10.023221,640,360,113,39
22,1572203990.4279244,False,3.946669,10.023221,640,360,118,42
23,1572203990.5667887,False,4.083828,10.023221,640,360,125,43
24,1572203990.7067795,False,4.222515,10.023221,640,360,128,44
25,1572203990.8509824,False,4.362707,10.023221,640,360,132,45
26,1572203990.994705,False,4.507844,10.023221,640,360,136,46
27,1572203991.166352,False,4.683963,10.023221,640,360,142,47
28,1572203991.312395,False,4.829403,10.023221,640,360,147,51
29,1572203991.450622,False,4.969451,10.023221,640,360,151,52
30,1572203991.5980864,False,5.115437,10.023221,640,360,154,53
31,1572203991.7558305,False,5.274633,10.023221,640,360,160,55
32,1572203991.9014604,False,5.418983,10.023221,640,360,163,56
33,1572203992.0480072,False,5.560241,10.023221,640,360,169,58
34,1572203992.190026,False,5.704414,10.023221,640,360,173,60
35,1572203992.356333,False,5.868269,10.023221,640,360,177,61
36,1572203992.4898293,False,6.004699,10.023221,640,360,182,62
37,1572203992.6247115,False,6.139438,10.023221,640,360,186,63
38,1572203992.7657204,False,6.28265,10.023221,640,360,191,64
39,1572203992.909835,False,6.424148,10.023221,640,360,194,65
40,1572203993.0456269,False,6.559998,10.023221,640,360,198,66
41,1572203993.1843495,False,6.699045,10.023221,640,360,203,68
42,1572203993.3612988,False,6.876906,10.023221,640,360,208,69
43,1572203993.4936256,False,7.013802,10.023221,640,360,212,70
44,1572203993.632187,False,7.149339,10.023221,640,360,216,71
45,1572203993.7737079,False,7.291551,10.023221,640,360,221,72
46,1572203993.9099293,False,7.425954,10.023221,640,360,225,73
47,1572203994.1037426,False,7.615089,10.023221,640,360,230,75
48,1572203994.2499018,False,7.765641,10.023221,640,360,234,75
49,1572203994.3865447,False,7.901715,10.023221,640,360,238,77
50,1572203994.5325043,False,8.047687,10.023221,640,360,243,78
51,1572203994.678864,False,8.197492,10.023221,640,360,246,79
52,1572203994.8270874,False,8.345022,10.023221,640,360,252,81
53,1572203994.9628003,False,8.477652,10.023221,640,360,256,83
54,1572203995.1023276,False,8.617588,10.023221,640,360,260,84
55,1572203995.2448018,False,8.756886,10.023221,640,360,264,85
56,1572203995.4244761,False,8.93818,10.023221,640,360,270,86
57,1572203995.5642786,False,9.075131,10.023221,640,360,274,87
58,1572203995.7100692,False,9.228289,10.023221,640,360,278,89
59,1572203995.8592525,False,9.372431,10.023221,640,360,283,90
60,1572203996.012711,False,9.524274,10.023221,640,360,287,91
61,1572203996.1661847,False,9.684802,10.023221,640,360,291,92
62,1572203996.3040237,False,9.821808,10.023221,640,360,295,93
63,1572203996.4899943,False,9.96157,10.023221,640,360,299,94
64,1572203996.6253338,False,9.96157,10.023221,640,360,299,94
65,1572203996.7594545,False,9.96157,10.023221,640,360,299,94
66,1572203996.9114108,False,9.96157,10.023221,640,360,299,94
67,1572203997.0502958,False,9.96157,10.023221,640,360,299,94
68,1572203997.1927953,False,9.96157,10.023221,640,360,299,94
69,1572203997.3354733,False,10.049536,20.023221,640,360,305,94
70,1572203997.4788096,False,10.156999,20.023221,640,360,306,94
71,1572203997.6177557,False,10.297515,20.023221,640,360,311,96
72,1572203997.775987,False,10.451417,20.023221,640,360,316,98
73,1572203997.9243011,False,10.607042,20.023221,640,360,319,98
74,1572203998.0619926,False,10.746004,20.023221,640,360,324,100
75,1572203998.2324114,False,10.905324,20.023221,640,360,328,100
76,1572203998.3704145,False,11.050915,20.023221,640,360,333,102
77,1572203998.5190797,False,11.191167,20.023221,640,360,337,104
78,1572203998.6554453,False,11.336072,20.023221,640,360,342,104
79,1572203998.7985532,False,11.476047,20.023221,640,360,346,106
80,1572203998.9381237,False,11.613036,20.023221,640,360,349,106
81,1572203999.080656,False,11.759977,20.023221,640,360,355,108
82,1572203999.2186248,False,11.903842,20.023221,640,360,359,110
83,1572203999.3576903,False,12.036372,20.023221,640,360,363,110
84,1572203999.5031347,False,12.18351,20.023221,640,360,367,112
85,1572203999.653363,False,12.327728,20.023221,640,360,371,112
86,1572203999.7998545,False,12.474063,20.023221,640,360,375,114
87,1572203999.9535785,False,12.633533,20.023221,640,360,381,116
88,1572204000.0912201,False,12.768939,20.023221,640,360,385,116
89,1572204000.2420251,False,12.919193,20.023221,640,360,389,118
90,1572204000.3816712,False,13.0647,20.023221,640,360,393,120
91,1572204000.5225258,False,13.201575,20.023221,640,360,397,120
92,1572204000.7095785,False,13.389366,20.023221,640,360,403,122
93,1572204000.8464987,False,13.52615,20.023221,640,360,408,124
94,1572204000.9985955,False,13.676926,20.023221,640,360,411,124
95,1572204001.1404145,False,13.823623,20.023221,640,360,417,126
96,1572204001.2870455,False,13.968575,20.023221,640,360,420,126
97,1572204001.4527712,False,14.132738,20.023221,640,360,426,128
98,1572204001.5936348,False,14.273772,20.023221,640,360,430,128
99,1572204001.7428164,False,14.425437,20.023221,640,360,434,130
100,1572204001.896331,False,14.575837,20.023221,640,360,439,132
101,1572204002.0400567,False,14.722616,20.023221,640,360,442,132
102,1572204002.1993287,False,14.881579,20.023221,640,360,448,134
103,1572204002.3389082,False,15.017759,20.023221,640,360,453,137
104,1572204002.4824088,False,15.163344,20.023221,640,360,457,138
105,1572204002.6305192,False,15.313745,20.023221,640,360,461,138
106,1572204002.8440976,False,15.522918,20.023221,640,360,467,140
107,1572204002.9845884,False,15.661153,20.023221,640,360,471,140
108,1572204003.1321895,False,15.813708,20.023221,640,360,475,142
109,1572204003.2865417,False,15.966084,20.023221,640,360,481,144
110,1572204003.489114,False,16.165859,20.023221,640,360,486,146
111,1572204003.6315355,False,16.314065,30.023221,640,360,491,148
112,1572204003.77081,False,16.453719,30.023221,640,360,494,148
113,1572204003.9105856,False,16.588739,30.023221,640,360,499,151
114,1572204004.0542264,False,16.736395,30.023221,640,360,504,151
115,1572204004.2001584,False,16.881565,30.023221,640,360,509,153
116,1572204004.3517976,False,17.031307,30.023221,640,360,513,155
117,1572204004.4922724,False,17.172147,30.023221,640,360,518,156
118,1572204004.6314695,False,17.314269,30.023221,640,360,521,157
119,1572204004.7804124,False,17.458081,30.023221,640,360,524,157
120,1572204004.9196255,False,17.600065,30.023221,640,360,530,159
121,1572204005.105304,False,17.736119,30.023221,640,360,534,159
122,1572204005.2528486,False,17.932622,30.023221,640,360,540,161
123,1572204005.4034007,False,18.082351,30.023221,640,360,544,163
124,1572204005.5511236,False,18.233992,30.023221,640,360,548,163
125,1572204005.6991413,False,18.373872,30.023221,640,360,552,165
126,1572204005.8481836,False,18.521578,30.023221,640,360,558,167
127,1572204005.9896579,False,18.66956,30.023221,640,360,561,167
128,1572204006.1389432,False,18.81986,30.023221,640,360,565,167
129,1572204006.2846673,False,18.960908,30.023221,640,360,571,170
130,1572204006.4235754,False,19.105174,30.023221,640,360,574,171
131,1572204006.5739026,False,19.250457,30.023221,640,360,579,171
132,1572204006.7146685,False,19.397211,30.023221,640,360,583,173
133,1572204006.8601756,False,19.541003,30.023221,640,360,588,173
134,1572204007.008707,False,19.684266,30.023221,640,360,592,175
135,1572204007.1710389,False,19.850251,30.023221,640,360,597,177
136,1572204007.3234391,False,20.00015,30.023221,640,360,600,177
137,1572204007.470955,False,20.153589,30.023221,444,250,605,179
138,1572204007.6154494,False,20.295653,30.023221,444,250,611,181
139,1572204007.7681231,False,20.446143,40.023221,444,250,614,181
140,1572204007.9171557,False,20.59216,40.023221,444,250,620,183
141,1572204008.0577137,False,20.73176,40.023221,444,250,623,183
142,1572204008.198713,False,20.873411,40.023221,444,250,628,185
143,1572204008.3480668,False,21.025647,40.023221,444,250,633,186
144,1572204008.4996078,False,21.180386,40.023221,444,250,637,187
145,1572204008.638658,False,21.320632,40.023221,444,250,641,187
146,1572204008.783609,False,21.462431,40.023221,444,250,646,189
147,1572204008.9288797,False,21.610777,40.023221,444,250,650,189
148,1572204009.074276,False,21.753707,40.023221,444,250,654,191
