,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,0.9549394177812746,,,,,,,,,,,362992.0,455148,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,133996.0,133996.0,133996.0,362992.0,634117.0,167884,167884,167884,455148,794488,36.4549759437751,36.4549759437751,36.4549759437751,66.5896953815261,83.44567257028115,0.0,10.023222,3.813,,,,,,,,,,,10.02,0.0,1572035311.595,1572035307.728,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-360p-4f4930.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,66.5896953815261
1,-0.008,,,,,,,,,,,473910.0,-1,9.973999996185302,0,0,1,0.0,0,0.0,1,,,,,,,,,,,-1,192361.0,192361.0,192361.0,473910.0,814265.0,240452,240452,240452,592388,1017832,31.762431445783125,31.762431445783125,31.762431445783125,64.44324514056225,82.2968039759036,3.867000102996826,10.0,0.001,,,,,,,,,,,20.02,10.02,1572035311.68,1572035311.641,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-360p-4f4931.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,64.44324514056225
2,-0.008,0.48516625716625716,,,,,,,,,,182435.0,-1,9.992000122070312,0,0,2,362992.0,1,66.5896953815261,0,1.0,,,,,,,,,,1,182435.0,182435.0,458419.0,775612.0,1341868.0,228044,228044,573024,969516,1677336,26.899037871485938,26.899037871485938,60.507305662650616,78.85189076305218,100.0,0.0,10.0,0.001,9.768,,,,,,,,,,30.02,20.02,1572035321.658,1572035321.623,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-250p-b6a282.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,26.899037871485938
3,-0.008,0.6771907943578322,,0.48516625716625716,,,,,,,,157619.0,-1,17.230999965667724,0,0,3,473910.0,1,64.44324514056225,0,0.0,,1.0,,,,,,,,1,157619.0,157619.0,408937.0,724199.0,1264907.0,197024,197024,511172,905972,1582396,12.321390240963854,12.321390240963854,25.80714388000002,79.2244286345381,100.0,0.0,10.007978,0.001,2.694,,9.768,,,,,,,,40.03,30.02,1572035324.423,1572035324.384,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-250p-b6a283.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,12.321390240963854
4,-0.008,0.9037798165137615,,0.6771907943578322,0.48516625716625716,,,,,,,164086.0,-1,25.44100001335144,0,0,4,182435.0,0,26.899037871485938,0,0.0,,0.0,1.0,,,,,,,0,164086.0,164086.0,164086.0,421420.0,727936.0,205108,205108,205108,526776,909920,5.905020080000003,5.905020080000003,5.905020080000003,14.558345582329318,81.92083244979914,0.0,10.0,0.001,1.744,,2.694,9.768,,,,,,,50.03,40.03,1572035326.226,1572035326.184,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-250p-b6a284.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,5.905020080000003
5,-0.008,0.44612941816204454,,0.9037798165137615,0.6771907943578322,0.48516625716625716,,,,,,216876.0,-1,29.69700005531311,0,0,5,157619.0,0,12.321390240963854,0,0.0,,0.0,0.0,1.0,,,,,,0,216876.0,216876.0,216876.0,558585.0,939849.0,271096,271096,271096,698232,1174812,3.6186928514056222,3.6186928514056222,3.6186928514056222,9.463081686746989,81.50149696000003,0.0,10.0,0.001,3.678,,1.744,2.694,9.768,,,,,,60.03,50.03,1572035331.983,1572035331.928,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-250p-b6a285.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,3.6186928514056222
6,-0.008,0.9694984354045596,,0.44612941816204454,0.9037798165137615,0.6771907943578322,0.48516625716625716,,,,,227555.0,-1,29.686000137329103,0,0,6,164086.0,0,5.905020080000003,0,0.0,,0.0,0.0,0.0,1.0,,,,,0,227555.0,227555.0,227555.0,605016.0,1026780.0,284444,284444,284444,756888,1283476,9.412618795180725,9.412618795180725,9.412618795180725,60.01643421686747,79.96377883534136,0.0,10.0,0.001,2.237,,3.678,1.744,2.694,9.768,,,,,70.03,60.03,1572035341.942,1572035341.939,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-250p-b6a286.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,9.412618795180725
7,-0.008,2.5199911406423032,,0.9694984354045596,0.44612941816204454,0.9037798165137615,0.6771907943578322,0.48516625716625716,,,,208153.0,-1,29.694000034332277,0,0,7,216876.0,0,3.6186928514056222,0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,0,208153.0,208153.0,208153.0,569715.0,994294.0,260192,260192,260192,712144,1242868,14.55588208835342,14.55588208835342,14.55588208835342,62.31524180722894,80.27118746987951,0.0,10.0,0.001,0.903,,2.237,3.678,1.744,2.694,9.768,,,,80.03,70.03,1572035351.934,1572035351.931,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-250p-b6a287.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,14.55588208835342
8,-0.008,2.4780190476190476,,2.5199911406423032,0.9694984354045596,0.44612941816204454,0.9037798165137615,0.6771907943578322,0.48516625716625716,,,475689.0,-1,29.691999940872194,0,0,8,227555.0,0,9.412618795180725,1,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,-1,181081.0,181081.0,181081.0,475689.0,819078.0,226352,226352,226352,594644,1023848,17.739720923694783,17.739720923694783,17.739720923694783,64.54984267999998,81.36938092369476,0.0,10.0,0.001,0.84,,0.903,2.237,3.678,1.744,2.694,9.768,,,90.03,80.03,1572035361.9390001,1572035361.933,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-360p-4f4938.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,64.54984267999998
9,-0.008,2.4383147104049203,,2.4780190476190476,2.5199911406423032,0.9694984354045596,0.44612941816204454,0.9037798165137615,0.6771907943578322,0.48516625716625716,,493161.0,-1,29.69600012779236,0,0,9,208153.0,0,14.55588208835342,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-1,192662.0,192662.0,192662.0,493161.0,834419.0,240828,240828,240828,616452,1043024,15.84212389558232,15.84212389558232,15.84212389558232,62.349900401606405,79.6734657831325,0.0,10.0,0.001,1.951,,0.84,0.903,2.237,3.678,1.744,2.694,9.768,,100.03,90.03,1572035371.935,1572035371.929,https://vid-egc.xvideos-cdn.com/videos/hls/7a/65/e2/7a65e20558c169be06588131c02d089b/hls-360p-4f4939.ts?UbL9YNOBFJXOP0oEkgqn7JU0AVMwfMRp-MeZhEpk98qeA2A_gKxbyJSzhUCT8iMaGjvIPHJWCWp3PvRKMoEQwj8mT-wj707oXvfssXwJVwqDN2UC1ywddzVvj7O5vz11hKyLuJEDRlf48viqNGsh_8u-EA,62.349900401606405
