,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,0.9012725637181409,,,,,,,,,,,599756.0,751436,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,211872.0,211872.0,211872.0,599756.0,1025452.0,265456,265456,265456,751436,1284792,52.853765060728776,52.853765060728776,52.853765060728776,73.8571148582996,84.73858068825909,0.0,10.023222,6.67,,,,,,,,,,,10.02,0.0,1572088045.647,1572088038.946,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-360p-59d790.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,73.8571148582996
1,-0.008,,,,,,,,,,,548358.0,-1,9.968000192642211,0,0,1,0.0,0,0.0,1,,,,,,,,,,,-1,195820.0,195820.0,195820.0,548358.0,921200.0,244776,244776,244776,685448,1151500,52.40835069105686,52.40835069105686,52.40835069105686,73.73668723577234,84.6194380894309,6.700999975204468,10.0,0.001,,,,,,,,,,,20.02,10.02,1572088045.734,1572088045.699,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-360p-59d791.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,73.73668723577234
2,-0.008,0.7991232876712328,,,,,,,,,,528054.0,-1,13.039999980926513,0,0,2,599756.0,1,73.8571148582996,1,1.0,,,,,,,,,,0,190105.0,190105.0,528054.0,880742.0,1551225.0,237632,237632,660068,1100928,1939032,54.70283481781378,54.70283481781378,74.9644303238867,85.1179898785425,100.0,0.0,10.0,0.001,6.862,,,,,,,,,,30.02,20.02,1572088052.676,1572088052.627,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-360p-59d792.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,74.9644303238867
3,-0.008,0.5849721945275285,,0.7991232876712328,,,,,,,,181683.0,-1,13.825999994277954,0,0,3,548358.0,1,73.73668723577234,0,1.0,,1.0,,,,,,,,1,181683.0,181683.0,496620.0,830508.0,1445344.0,227104,227104,620776,1038136,1806680,55.005664817813795,55.005664817813795,74.91936728744939,85.11467659919035,100.0,0.0,10.0,0.001,9.027000000000001,,6.862,,,,,,,,40.02,30.02,1572088061.911,1572088061.841,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d3.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,55.005664817813795
4,-0.008,0.9075084915084914,,0.5849721945275285,0.7991232876712328,,,,,,,187553.0,-1,21.729000110626224,0,0,4,528054.0,1,74.9644303238867,0,0.0,,1.0,1.0,,,,,,,1,187553.0,187553.0,512713.0,858483.0,1470160.0,234812,234812,640892,1073104,1837700,55.68817760162602,55.68817760162602,75.38674589430892,85.38920138211377,100.0,0.0,10.0,0.001,2.0020000000000002,,9.027000000000001,6.862,,,,,,,50.02,40.02,1572088063.966,1572088063.938,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d4.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,55.68817760162602
5,-0.008,0.5929595959595959,,0.9075084915084914,0.5849721945275285,0.7991232876712328,,,,,,180179.0,-1,28.51300003051758,0,0,5,181683.0,0,55.005664817813795,0,0.0,,0.0,1.0,1.0,,,,,,0,180179.0,180179.0,180179.0,497072.0,828223.0,225224,225224,225224,621340,1035316,56.40590538461542,56.40590538461542,56.40590538461542,69.35095919028336,85.45713311740893,0.0,10.000356,0.001,3.168,,2.0020000000000002,9.027000000000001,6.862,,,,,,60.02,50.02,1572088067.187,1572088067.154,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d5.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,56.40590538461542
6,-0.008,0.6967486465583913,,0.5929595959595959,0.9075084915084914,0.5849721945275285,0.7991232876712328,,,,,175516.0,-1,29.72099997520447,0,0,6,187553.0,0,55.68817760162602,0,0.0,,0.0,0.0,1.0,1.0,,,,,0,175516.0,175516.0,175516.0,485491.0,811859.0,219396,219396,219396,606864,1014824,56.86944631578949,56.86944631578949,56.86944631578949,69.20362417004047,85.56781708502025,0.0,10.0,0.001,2.586,,3.168,2.0020000000000002,9.027000000000001,6.862,,,,,70.02,60.02,1572088076.2450001,1572088075.946,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d6.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,56.86944631578949
7,-0.008,0.6182345896442408,,0.6967486465583913,0.5929595959595959,0.9075084915084914,0.5849721945275285,0.7991232876712328,,,,190853.0,-1,29.559999961853023,0,0,7,180179.0,0,56.40590538461542,0,0.0,,0.0,0.0,0.0,1.0,1.0,,,,0,190853.0,190853.0,190853.0,511510.0,849910.0,238948,238948,238948,639388,1062388,56.81552077235772,56.81552077235772,56.81552077235772,68.3698806097561,85.12378186991867,0.0,10.0,0.001,2.839,,2.586,3.168,2.0020000000000002,9.027000000000001,6.862,,,,80.02,70.02,1572088086.275,1572088086.107,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d7.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,56.81552077235772
8,-0.008,0.8556777081468219,,0.6182345896442408,0.6967486465583913,0.5929595959595959,0.9075084915084914,0.5849721945275285,0.7991232876712328,,,194607.0,-1,29.720999975204464,0,0,8,175516.0,0,56.86944631578949,0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,0,194607.0,194607.0,194607.0,516624.0,858934.0,243272,243272,243272,645780,1073668,52.838054170040465,52.838054170040465,52.838054170040465,60.15102388663969,84.6369159109312,0.0,10.0,0.001,2.234,,2.839,2.586,3.168,2.0020000000000002,9.027000000000001,6.862,,,90.02,80.02,1572088095.9950001,1572088095.946,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d8.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,52.838054170040465
9,-0.008,0.9102787652011225,,0.8556777081468219,0.6182345896442408,0.6967486465583913,0.5929595959595959,0.9075084915084914,0.5849721945275285,0.7991232876712328,,224998.0,-1,29.720000047683712,0,0,9,190853.0,0,56.81552077235772,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0,224998.0,224998.0,224998.0,573926.0,958198.0,281248,281248,281248,717408,1197748,54.276594655870454,54.276594655870454,54.276594655870454,63.91117890688259,84.81024412955472,0.0,10.0,0.001,2.138,,2.234,2.839,2.586,3.168,2.0020000000000002,9.027000000000001,6.862,,100.02,90.02,1572088106.012,1572088105.947,https://hls-hw.xvideos-cdn.com/videos/hls/b4/00/0f/b4000f42d21024cc8e2b2ba7b7ee222f/hls-250p-4395d9.ts?e=1572098832&l=0&h=0be6d2f2ce45fc24e875851e1e6059ec,54.276594655870454
