,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572088046.3669991,False,0.470032,10.023222,640,360,17,0
1,1572088046.3778453,False,0.473457,10.023222,640,360,17,0
2,1572088046.5122094,False,0.615513,10.023222,640,360,21,0
3,1572088046.646809,False,0.752475,10.023222,640,360,25,1
4,1572088046.7870166,False,0.889613,10.023222,640,360,28,2
5,1572088046.9333835,False,1.031824,10.023222,640,360,32,3
6,1572088047.0752816,False,1.179348,10.023222,640,360,36,4
7,1572088047.2165382,False,1.322272,10.023222,640,360,40,4
8,1572088047.3545794,False,1.459078,10.023222,640,360,43,5
9,1572088047.4984455,False,1.600781,10.023222,640,360,46,5
10,1572088047.6389046,False,1.740564,10.023222,640,360,50,6
11,1572088047.7752867,False,1.878374,10.023222,640,360,53,6
12,1572088047.9277341,False,2.033593,10.023222,640,360,57,7
13,1572088048.0644395,False,2.169481,10.023222,640,360,60,8
14,1572088048.219032,False,2.325767,10.023222,640,360,63,8
15,1572088048.361401,False,2.466334,10.023222,640,360,66,8
16,1572088048.499802,False,2.605124,10.023222,640,360,70,9
17,1572088048.6375608,False,2.740238,10.023222,640,360,75,11
18,1572088048.773803,False,2.879344,10.023222,640,360,78,11
19,1572088048.9192863,False,3.018297,10.023222,640,360,81,11
20,1572088049.0694947,False,3.172009,10.023222,640,360,85,11
21,1572088049.2233272,False,3.325769,10.023222,640,360,90,13
22,1572088049.3650284,False,3.469819,10.023222,640,360,92,13
23,1572088049.5007691,False,3.604066,10.023222,640,360,96,15
24,1572088049.6342616,False,3.739939,10.023222,640,360,100,15
25,1572088049.8307512,False,3.931501,10.023222,640,360,103,15
26,1572088049.978681,False,4.078587,10.023222,640,360,109,16
27,1572088050.1219535,False,4.222969,10.023222,640,360,113,17
28,1572088050.2578752,False,4.363528,10.023222,640,360,114,17
29,1572088050.4186416,False,4.525042,10.023222,640,360,119,19
30,1572088050.5554817,False,4.657162,10.023222,640,360,122,19
31,1572088050.6959555,False,4.801096,10.023222,640,360,126,19
32,1572088050.8427916,False,4.948724,10.023222,640,360,129,20
33,1572088051.0107467,False,5.112762,10.023222,640,360,133,21
34,1572088051.1464357,False,5.251052,10.023222,640,360,139,23
35,1572088051.2793486,False,5.386881,10.023222,640,360,141,24
36,1572088051.4229298,False,5.521523,10.023222,640,360,144,24
37,1572088051.555735,False,5.658156,10.023222,640,360,149,25
38,1572088051.6979787,False,5.80332,10.023222,640,360,151,26
39,1572088051.8352213,False,5.939932,10.023222,640,360,154,26
40,1572088052.0078244,False,6.10923,10.023222,640,360,158,27
41,1572088052.1519477,False,6.252452,10.023222,640,360,163,28
42,1572088052.2921882,False,6.3949,10.023222,640,360,166,29
43,1572088052.4354725,False,6.540193,10.023222,640,360,168,29
44,1572088052.5733142,False,6.677909,10.023222,640,360,172,30
45,1572088052.7662082,False,6.870857,20.023222,640,360,178,30
46,1572088052.9075367,False,7.010286,20.023222,640,360,181,31
47,1572088053.0509903,False,7.153451,20.023222,640,360,185,32
48,1572088053.190265,False,7.292614,20.023222,640,360,188,32
49,1572088053.376036,False,7.482704,20.023222,640,360,192,33
50,1572088053.5165877,False,7.618345,20.023222,640,360,196,34
51,1572088053.6518795,False,7.753017,20.023222,640,360,201,35
52,1572088053.7872903,False,7.89206,20.023222,640,360,204,35
53,1572088053.9285367,False,8.029501,20.023222,640,360,207,36
54,1572088054.061205,False,8.164802,20.023222,640,360,210,36
55,1572088054.2018278,False,8.303261,20.023222,640,360,213,37
56,1572088054.3434348,False,8.446001,20.023222,640,360,217,37
57,1572088054.5269804,False,8.63307,20.023222,640,360,220,38
58,1572088054.6694953,False,8.774193,20.023222,640,360,224,38
59,1572088054.8084593,False,8.911031,20.023222,640,360,229,38
60,1572088054.9455638,False,9.050187,20.023222,640,360,232,39
61,1572088055.105236,False,9.204308,20.023222,640,360,236,39
62,1572088055.2500787,False,9.35514,20.023222,640,360,239,39
63,1572088055.398758,False,9.500117,20.023222,640,360,243,39
64,1572088055.5697165,False,9.667798,20.023222,640,360,248,40
65,1572088055.7030401,False,9.810327,20.023222,640,360,251,41
66,1572088055.8439896,False,9.946805,20.023222,640,360,254,41
67,1572088055.9874582,False,10.086776,20.023222,640,360,258,41
68,1572088056.1439366,False,10.244149,20.023222,640,360,262,42
