,timestamp_finish,bitrate_level_encoded,bitrate_level,vmaf_level,buffer_level_at_timestamp_finish,rebuffer_level_at_timestamp_finish,body_size_byte,seg_len_s,t_download_s,quality_level_chosen,played_at_beginning,played_at_end,reward
0,1572306331.694,886054.4356435643,993141.0,78.36104879999995,4.487037,,104796.0,5.04,3.5810000000000004,2.0,,0.5129630000000001,
1,1572306334.785,886054.4356435643,714400.0,70.41852959999997,2.7514390000000004,-0.0,103582.0,1.6399999999999997,3.017,2.0,,3.169561,
2,1572306336.35,886054.4356435643,952032.0,56.60036506666665,4.270945,-0.0,103582.0,2.24,0.057,2.0,3.970709,4.609055000000001,
3,1572306336.7129998,886054.4356435643,952032.0,56.60036506666665,10.078880999999999,-0.0,42649.0,1.3200000000000003,0.01,2.0,4.609055000000001,5.281119,
4,1572306336.8720002,545199.6930693069,624661.0,28.699514533333325,10.078880999999999,-0.0,76521.0,2.4399999999999995,0.012,1.0,4.609055000000001,5.281119,
5,1572306336.9020002,545199.6930693069,652736.0,34.64021386666666,10.078880999999999,-0.0,67220.0,2.6799999999999997,0.012,1.0,4.609055000000001,5.281119,
6,1572306337.175,545199.6930693069,634688.0,8.242999066666666,14.441443,-0.0,134941.0,5.120000000000001,0.022000000000000002,1.0,4.609055000000001,6.038557,
7,1572306338.018,4538472.089108911,6351893.0,100.0,16.228062,-0.0,821278.0,2.16,0.264,5.0,5.281119,6.371938,
8,1572306339.046,4538472.089108911,2861109.0,100.0,22.196255999999998,-0.0,2097152.0,6.919999999999998,0.944,5.0,6.038557,7.3237440000000005,
9,1572306340.853,4538472.089108911,5125130.0,100.0,26.583046000000003,-0.0,1989480.0,6.280000000000005,0.63,5.0,8.282592999999999,9.256953999999999,
10,1572306344.451,4538472.089108911,4337034.0,100.0,27.850485,-0.0,1710112.0,5.119999999999997,0.478,5.0,11.813075,13.109515,
11,1572306347.1009998,4538472.089108911,9504277.0,100.0,31.006293999999997,-0.0,1684299.0,5.119999999999997,0.617,5.0,14.100093,15.073706,
12,1572306348.564,4538472.089108911,3770528.0,100.0,32.996582000000004,-0.0,1672925.0,5.200000000000003,0.439,5.0,16.00159,17.004417999999998,
13,1572306351.865,4538472.089108911,3162410.0,100.0,36.067628,-0.0,1661727.0,5.039999999999999,0.391,5.0,19.203793,20.252372,
14,1572306354.5029998,4538472.089108911,3597066.0,100.0,38.601101,-0.0,1686063.0,5.119999999999997,0.526,5.0,21.831573000000002,22.838898999999998,
15,1572306357.319,4538472.089108911,6365930.0,100.0,40.840287999999994,-0.0,1692570.0,5.159999999999997,0.845,5.0,24.123418,25.759712,
16,1572306359.191,4538472.089108911,5407381.0,100.0,44.239320000000006,-0.0,1279317.0,5.0800000000000125,0.706,5.0,26.106503,27.44068,
17,1572306361.947,4538472.089108911,3485269.0,100.0,46.070775,-0.0,1596432.0,5.11999999999999,0.975,5.0,28.799097999999997,30.729225,
18,1572306363.986,4538472.089108911,4356085.0,100.0,47.297368000000006,-0.0,1698442.0,5.1200000000000045,0.513,5.0,31.386227,32.703632,
19,1572306366.5270002,4538472.089108911,4353578.0,100.0,52.284366000000006,-0.0,1685781.0,5.1200000000000045,0.385,5.0,33.754224,34.755634,
20,1572306370.1920002,4538472.089108911,6612586.0,100.0,53.744747,-0.0,1632869.0,5.11999999999999,0.469,5.0,37.459252,38.415253,
21,1572306372.702,4538472.089108911,6224554.0,100.0,59.73805,-0.0,2097152.0,8.799999999999997,0.593,5.0,40.107003000000006,41.18195,
22,1572306376.286,4538472.089108911,3140352.0,100.0,62.078945000000004,-0.0,2097152.0,5.920000000000002,0.5640000000000001,5.0,43.687703000000006,44.761055,
23,1572306380.036,4538472.089108911,4349066.0,100.0,64.081549,-0.0,1823281.0,5.760000000000005,0.5640000000000001,5.0,47.511994,48.558451,
24,1572306382.3979998,4538472.089108911,3842720.0,100.0,62.053343,-0.0,1696229.0,5.1200000000000045,0.426,5.0,49.587531,50.586657,
25,1572306385.0010002,4538472.089108911,5399861.0,100.0,64.496757,-0.0,1608788.0,5.11999999999999,0.56,5.0,52.256717,53.263243,
26,1572306387.014,4538472.089108911,4173098.0,100.0,62.389949,-0.0,1514511.0,5.1200000000000045,0.292,5.0,54.574290000000005,55.370051000000004,
27,1572306392.4629998,4538472.089108911,2797941.0,100.0,62.14839399999999,-0.0,1733417.0,5.1200000000000045,2.241,5.0,57.976078,60.731606000000006,
28,1572306396.245,4538472.089108911,5774858.0,100.0,63.503744,-0.0,1648217.0,5.1200000000000045,2.272,5.0,62.11314599999999,64.496256,
29,1572306399.4060001,4538472.089108911,5654538.0,100.0,65.189715,-0.0,1680758.0,5.1200000000000045,0.434,5.0,66.868686,67.930285,
30,1572306405.921,4538472.089108911,4507488.0,100.0,63.815973000000014,-0.0,1626883.0,5.119999999999976,1.181,5.0,72.33702199999999,74.424027,
31,1572306410.0219998,4538472.089108911,3382997.0,100.0,65.09525200000002,-0.0,1646153.0,5.1200000000000045,0.381,5.0,77.498317,78.264748,
32,1572306414.944,4538472.089108911,3960533.0,100.0,65.08311199999999,-0.0,1704198.0,5.1200000000000045,0.469,5.0,82.00395,83.396888,
33,1572306421.054,4538472.089108911,4239274.0,100.0,64.304307,-0.0,1675984.0,5.1200000000000045,0.581,5.0,88.619206,89.295693,
34,1572306426.045,4538472.089108911,4057792.0,100.0,64.487777,-0.0,1707303.0,5.1200000000000045,0.653,5.0,93.152213,94.232223,
35,1572306432.104,4538472.089108911,5282048.0,100.0,62.990896000000006,-0.0,1680794.0,5.1200000000000045,1.88,5.0,98.000411,100.849104,
36,1572306435.3270001,4538472.089108911,4203178.0,100.0,65.636035,-0.0,1669969.0,5.119999999999976,0.601,5.0,102.60938,103.323965,
37,1572306441.278,4538472.089108911,5536224.0,100.0,64.49209800000001,-0.0,1708117.0,5.1200000000000045,0.555,5.0,108.56283700000002,109.587902,
38,1572306446.2370002,4538472.089108911,3567989.0,100.0,64.67990199999998,-0.0,1684225.0,5.1200000000000045,0.547,5.0,113.736652,114.520098,
39,1572306450.498,4538472.089108911,4670922.0,100.0,65.559834,-0.0,1638932.0,5.1200000000000045,0.252,5.0,118.371218,118.760166,
40,1572306455.435,4538472.089108911,3804117.0,100.0,65.70043899999999,-0.0,1603411.0,5.1200000000000045,0.209,5.0,123.006522,123.73956100000001,
41,1572306461.9450002,4538472.089108911,3100245.0,100.0,64.088293,-0.0,1628713.0,5.1200000000000045,0.478,5.0,129.381046,130.471707,
42,1572306466.3739998,4538472.089108911,4540074.0,100.0,64.98043500000003,-0.0,1690491.0,5.119999999999976,0.402,5.0,133.966405,134.69956499999998,
43,1572306471.104,4538472.089108911,6379968.0,100.0,65.09483600000002,-0.0,1687525.0,5.1200000000000045,0.213,5.0,139.001373,139.705164,
44,1572306475.9720001,4538472.089108911,3645194.0,100.0,65.49081000000001,-0.0,1690221.0,5.1200000000000045,0.24600000000000002,5.0,143.67078999999998,144.42918999999998,
45,1572306482.688,4538472.089108911,3862272.0,100.0,64.16677999999999,-0.0,1634813.0,5.1200000000000045,0.963,5.0,149.79964099999998,150.87322,
46,1572306486.661,4538472.089108911,4075840.0,100.0,64.99126799999999,-0.0,1661188.0,5.1200000000000045,0.365,5.0,154.397492,155.168732,
47,1572306491.919,4538472.089108911,3881824.0,100.0,65.05953099999999,-0.0,1654353.0,5.1200000000000045,0.6960000000000001,5.0,159.138934,160.220469,
48,1572306498.081,4538472.089108911,3367456.0,100.0,64.123539,-0.0,1699595.0,5.119999999999976,0.94,5.0,165.211638,166.276461,
49,1572306569.01,4538472.089108911,6102229.0,100.0,5.904850999999979,6.805460900817877,865901.0,2.8000000000000114,25.919,5.0,210.600675,237.49514900000003,
50,1572306569.429,4538472.089108911,5412394.0,100.0,9.66529300000002,-0.0,677116.0,1.7199999999999989,0.27699999999999997,5.0,236.77403199999998,237.89470699999998,
51,1572306569.5110002,4538472.089108911,5412394.0,100.0,9.66529300000002,-0.0,84767.0,0.4399999999999977,0.032,5.0,237.49514900000003,237.89470699999998,
52,1572306569.696,886054.4356435643,1108949.0,64.65310920000002,9.66529300000002,-0.0,124792.0,2.0,0.049,2.0,237.49514900000003,237.89470699999998,
