,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,1.3656,,,,,,,,,,,1741632.0,102420,0.0,102419.0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,-2,595584.0,595584.0,595584.0,899392.0,1741632.0,74448,74448,74448,112424,217704,4.706628800000002,4.706628800000002,4.706628800000002,20.476412,44.4045952,0.0,1.24,0.6,,,,,,,,,,,1.24,0.0,1572294176.831,1572294176.229,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=243&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=11893410&dur=594.040&lmt=1569290680363332&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhAMtomlNpoTpfOiy8kMdwhaFJGxwgqptF7XvmP-hHg34CAiEArKAWyC1zpABsjQ2c3VFhnlS3UHi9cV311iPAs-fLh1E%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=0-102419&rn=1&rbuf=0,44.4045952
1,1.7541006564551422,,,,,,,,,,,1649888.0,100203,0.0,202622.0,102420.0,1,0.0,0,0.0,2,,,,,,,,,,,-2,667776.0,667776.0,667776.0,1015200.0,1649888.0,83472,83472,83472,126900,206236,7.027687999999998,7.027687999999998,7.027687999999998,32.02267679999999,52.119688,0.8169999122619629,2.2,0.457,,,,,,,,,,,3.44,1.24,1572294177.505,1572294177.046,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=243&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=11893410&dur=594.040&lmt=1569290680363332&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhAMtomlNpoTpfOiy8kMdwhaFJGxwgqptF7XvmP-hHg34CAiEArKAWyC1zpABsjQ2c3VFhnlS3UHi9cV311iPAs-fLh1E%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=102420-202622&rn=3&rbuf=2109,52.119688
2,1.1072154696132597,,,,,,,,,,,870816.0,100203,1.7700001716613771,302825.0,202623.0,3,0.0,0,0.0,2,,,,,,,,,,,-2,499328.0,499328.0,499328.0,669280.0,870816.0,62416,62416,62416,83660,108852,0.0,0.0,0.0,25.483726,53.31201,0.4590001106262207,2.72,0.724,,,,,,,,,,,6.16,3.44,1572294178.972,1572294177.935,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=243&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=11893410&dur=594.040&lmt=1569290680363332&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhAMtomlNpoTpfOiy8kMdwhaFJGxwgqptF7XvmP-hHg34CAiEArKAWyC1zpABsjQ2c3VFhnlS3UHi9cV311iPAs-fLh1E%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=202623-302825&rn=5&rbuf=3538,53.31201
3,0.8879673802242609,,,,,,,,,,,958048.0,108887,0.9160000801086428,411712.0,302826.0,6,0.0,0,0.0,2,,,,,,,,,,,-2,523392.0,523392.0,523392.0,706880.0,958048.0,65424,65424,65424,88360,119756,0.216114,0.216114,0.216114,28.341829200000006,56.020462800000004,0.0,3.76,0.981,,,,,,,,,,,9.92,6.16,1572294179.8140001,1572294178.789,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=243&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=11893410&dur=594.040&lmt=1569290680363332&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhAMtomlNpoTpfOiy8kMdwhaFJGxwgqptF7XvmP-hHg34CAiEArKAWyC1zpABsjQ2c3VFhnlS3UHi9cV311iPAs-fLh1E%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=302826-411712&rn=6&rbuf=5330,56.020462800000004
4,1.3870769230769229,,,,,,,,,,,5152704.0,2254,3.0480000209808353,2253.0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,-4,595584.0,595584.0,595584.0,899392.0,1741632.0,74448,74448,74448,112424,217704,4.706628800000002,4.706628800000002,4.706628800000002,20.476412,44.4045952,0.0,0.0,0.013000000000000001,,,,,,,,,,,0.0,0.0,1572294179.41,1572294179.377,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=247&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=29837085&dur=594.040&lmt=1569290680329785&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRQIhAMNyEiY8k9JzeLGQc7sftmG6ConjHNwqUZ8CLZug9S0eAiBC6neO46Cxi5jCkyPr4QX2NFF5T8VqSW7jfZawWkO6qg%3D%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=0-2253&rn=7&rbuf=0,85.78251159999998
5,1.9759999999999995,,,,,,,,,,,2917760.0,2223,2.879000110626221,2222.0,0.0,0,0.0,0,0.0,3,,,,,,,,,,,-3,595584.0,595584.0,595584.0,899392.0,1741632.0,74448,74448,74448,112424,217704,4.706628800000002,4.706628800000002,4.706628800000002,20.476412,44.4045952,0.0,0.0,0.009000000000000001,,,,,,,,,,,0.0,0.0,1572294179.581,1572294179.546,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=244&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=17478060&dur=594.040&lmt=1569290680350416&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhANOoCWdbf6AAtov0B1rE5sAZ4yEI-9TjeOw8B_6z3RnQAiEA6hpMn5sMJYOwUeSYec7gXtyWf7vvkqILio_3oImjpQo%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=0-2222&rn=8&rbuf=0,62.5907776
6,-0.008,,,,,,,,,,,1021216.0,-1,6.284000091552734,860783.0,667470.0,9,0.0,0,0.0,3,,,,,,,,,,,-3,448192.0,448192.0,448192.0,640704.0,855776.0,56024,56024,56024,80088,106972,43.11555680000001,43.11555680000001,43.11555680000001,64.268036,79.29655479999998,0.0,5.119999999999999,0.001,,,,,,,,,,,15.04,9.92,1572294179.938,1572294179.901,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=244&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=17478060&dur=594.040&lmt=1569290680350416&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhANOoCWdbf6AAtov0B1rE5sAZ4yEI-9TjeOw8B_6z3RnQAiEA6hpMn5sMJYOwUeSYec7gXtyWf7vvkqILio_3oImjpQo%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=667470-860783&rn=10&rbuf=7273,83.16579199999998
7,-0.008,0.8879673802242609,,1.9759999999999995,1.3870769230769229,1.1072154696132597,1.7541006564551422,,,,,5835520.0,-1,8.999000120162963,1283247.0,860784.0,15,2917760.0,3,62.5907776,3,2.0,,3.0,4.0,2.0,2.0,,,,,0,3534400.0,1837888.0,5835520.0,7936608.0,10864896.0,441800,229736,729440,992076,1358112,30.78614280000001,11.949467599999998,47.5028904,63.41745519999998,100.0,0.0,10.280000000000001,0.001,0.981,,0.009000000000000001,0.013000000000000001,0.724,0.457,,,,,25.32,15.04,1572294182.326,1572294182.306,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=244&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=17478060&dur=594.040&lmt=1569290680350416&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhANOoCWdbf6AAtov0B1rE5sAZ4yEI-9TjeOw8B_6z3RnQAiEA6hpMn5sMJYOwUeSYec7gXtyWf7vvkqILio_3oImjpQo%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=860784-1283247&rn=12&rbuf=10128,47.5028904
8,-0.008,1.1030391644908617,,0.6544697418535759,0.8879673802242609,1.9759999999999995,1.3870769230769229,1.1072154696132597,1.7541006564551422,,,1493472.0,-1,14.160000162124632,2060250.0,1283248.0,25,1021216.0,3,83.16579199999998,3,3.0,,3.0,2.0,3.0,4.0,2.0,2.0,,,0,1275392.0,955040.0,1493472.0,1977760.0,3050112.0,159424,119380,186684,247220,381264,72.92040959999999,53.66348879999999,81.05819720000002,87.07123239999999,100.0,0.0,26.08,0.001,3.064,,2.363,0.981,0.009000000000000001,0.013000000000000001,0.724,0.457,,,51.4,25.32,1572294187.4789999,1572294187.425,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=244&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=17478060&dur=594.040&lmt=1569290680350416&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRgIhANOoCWdbf6AAtov0B1rE5sAZ4yEI-9TjeOw8B_6z3RnQAiEA6hpMn5sMJYOwUeSYec7gXtyWf7vvkqILio_3oImjpQo%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=1283248-2060250&rn=15&rbuf=15158,81.05819720000002
9,-0.008,1.1030391644908617,,0.6544697418535759,0.8879673802242609,1.9759999999999995,1.3870769230769229,1.1072154696132597,1.7541006564551422,,,1740128.0,-1,8.642000036239622,5410956.0,3566915.0,51,5835520.0,3,47.5028904,4,3.0,,3.0,2.0,3.0,4.0,2.0,2.0,,,-1,842240.0,589568.0,1076864.0,1740128.0,2983936.0,105280,73696,134608,217516,372992,61.468636,42.0200048,71.92160200000002,83.05409799999998,100.0,0.0,40.64000000000001,0.001,3.064,,2.363,0.981,0.009000000000000001,0.013000000000000001,0.724,0.457,,,92.04,51.4,1572294192.982,1572294192.943,https://r5---sn-4g5edn7y.googlevideo.com/videoplayback?expire=1572315771&ei=G063Xe6rFZGI7gO9pL_wCw&ip=3.122.179.7&id=o-AFF_b0aw1b32vVX97VkyOhkNdQMqnREEeqobVr1z5-ON&itag=247&aitags=133%2C134%2C135%2C136%2C137%2C160%2C242%2C243%2C244%2C247%2C248%2C278&source=youtube&requiressl=yes&mm=31%2C26&mn=sn-4g5edn7y%2Csn-aigl6ney&ms=au%2Conr&mv=m&mvi=4&pl=14&initcwndbps=170000&mime=video%2Fwebm&gir=yes&clen=29837085&dur=594.040&lmt=1569290680329785&mt=1572294019&fvip=5&keepalive=yes&fexp=23842630&c=WEB&txp=5535432&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cmime%2Cgir%2Cclen%2Cdur%2Clmt&sig=ALgxI2wwRQIhAMNyEiY8k9JzeLGQc7sftmG6ConjHNwqUZ8CLZug9S0eAiBC6neO46Cxi5jCkyPr4QX2NFF5T8VqSW7jfZawWkO6qg%3D%3D&lsparams=mm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Cinitcwndbps&lsig=AHylml4wRQIgE85hxH2OxVi2HSS6Oz58QQurrFPm9SDAI1Xj5gZruQACIQCQ3CdJ8gYF2Kz2cVouu1h70jVPoAK1j0QGpYv-ue1IqA%3D%3D&alr=yes&cpn=yub_knGrKs5SRqst&cver=2.20191022.03.00&range=3566915-5410956&rn=16&rbuf=35738,83.05409799999998
