,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572333899.6415603,False,3.494089,10.0,640,360,90,1
1,1572333899.6447253,False,3.497983,10.0,640,360,90,1
2,1572333899.9929698,False,3.849969,14.84,640,360,99,4
3,1572333900.6822298,False,4.528533,14.84,640,360,109,6
4,1572333901.3336835,False,5.182943,14.84,640,360,125,8
5,1572333901.9688423,False,5.819182,14.84,640,360,141,9
6,1572333902.621002,False,6.453738,15.541,640,360,157,10
7,1572333903.234649,False,7.088542,22.801,640,360,173,11
8,1572333903.5822177,False,7.436429,22.801,640,360,188,13
9,1572333904.203534,False,8.057289,24.32,640,360,197,13
10,1572333904.8575544,False,8.412031,24.32,640,360,212,14
11,1572333905.2571723,False,9.112649,24.32,640,360,229,16
12,1572333905.8783092,False,9.444707,24.32,640,360,238,16
13,1572333906.5225923,False,10.086354,24.32,640,360,255,17
14,1572333907.159028,False,11.00766,24.32,640,360,271,18
15,1572333907.7733924,False,11.344124,24.32,640,360,286,18
16,1572333908.413712,False,12.268469,24.32,640,360,302,19
17,1572333909.0491006,False,12.903679,24.32,640,360,318,20
18,1572333909.6789317,False,13.535969,24.32,640,360,334,20
19,1572333910.340878,False,14.189531,24.32,640,360,350,21
20,1572333911.002344,False,14.85161,40.001,640,360,366,22
21,1572333911.6535206,False,15.504977,40.001,854,480,383,25
22,1572333912.3655674,False,16.220295,40.001,854,480,406,25
23,1572333912.9796567,False,16.831753,40.001,854,480,416,26
24,1572333913.623706,False,17.466305,40.001,854,480,432,27
25,1572333914.2469068,False,18.094661,40.001,854,480,449,28
26,1572333914.8929698,False,18.448927,40.001,854,480,464,28
27,1572333915.5432415,False,19.387042,40.001,854,480,480,30
28,1572333915.9074183,False,19.743054,40.001,854,480,496,31
29,1572333916.5434153,False,20.397532,40.001,854,480,506,34
30,1572333917.4696195,False,21.302595,50.001,854,480,522,37
31,1572333918.1265514,False,21.974872,58.88,854,480,544,40
32,1572333919.2526314,False,23.106025,58.88,854,480,581,47
33,1572333919.8769822,False,23.73194,58.88,854,480,589,47
34,1572333920.5794833,False,24.432409,58.88,854,480,607,48
35,1572333921.2299094,False,25.074474,58.88,854,480,622,49
36,1572333921.8452287,False,25.699312,58.88,854,480,638,49
37,1572333922.481191,False,26.044592,58.88,854,480,654,50
38,1572333923.107459,False,26.678703,58.88,854,480,670,50
39,1572333923.7502244,False,27.60705,58.88,854,480,687,50
40,1572333924.3860798,False,27.952028,58.88,854,480,701,50
41,1572333925.0324268,False,28.887562,58.88,854,480,725,50
42,1572333925.7218227,False,29.576485,58.88,854,480,742,51
43,1572333926.333298,False,29.900382,58.88,854,480,751,51
44,1572333927.021986,False,30.816378,58.88,854,480,767,51
45,1572333927.361256,False,31.200583,58.88,854,480,782,51
46,1572333927.9788146,False,31.8296,58.88,854,480,792,52
47,1572333928.6333723,False,32.202876,58.88,854,480,807,53
48,1572333929.2678914,False,33.120717,58.88,854,480,824,53
49,1572333929.9120643,False,33.480304,70.001,854,480,839,53
50,1572333930.2624595,False,34.116946,70.001,854,480,856,54
51,1572333930.58785,False,34.439805,70.001,854,480,864,54
52,1572333931.2093463,False,35.064818,70.001,854,480,872,55
53,1572333931.8477066,False,35.703036,74.88,854,480,888,57
54,1572333932.4860206,False,36.334644,74.88,854,480,904,58
55,1572333932.8215463,False,36.664419,74.88,854,480,919,58
56,1572333933.1727123,False,37.019456,74.88,854,480,928,60
57,1572333933.8868365,False,37.730464,74.88,854,480,938,63
58,1572333934.8509269,False,38.396501,74.88,854,480,962,65
59,1572333935.4873369,False,39.340583,74.88,854,480,979,69
60,1572333936.475664,False,40.032571,74.88,854,480,996,70
61,1572333937.1189816,False,40.969212,74.88,854,480,1020,73
62,1572333937.4623275,False,41.317944,74.88,854,480,1035,73
63,1572333938.077219,False,41.648514,74.88,854,480,1043,74
64,1572333938.7154531,False,42.284639,74.88,854,480,1059,76
65,1572333939.359863,False,42.928412,74.88,854,480,1077,77
66,1572333940.0165026,False,43.567921,74.88,854,480,1091,78
67,1572333940.6650877,False,44.233477,74.88,1280,720,1108,80
68,1572333941.3562732,False,44.921423,74.88,1280,720,1127,82
69,1572333941.9989748,False,45.853957,74.88,1280,720,1142,83
70,1572333942.6510797,False,46.497179,74.88,1280,720,1159,84
71,1572333943.3053327,False,46.853938,74.88,1280,720,1174,85
72,1572333943.9300723,False,47.494111,74.88,1280,720,1190,86
73,1572333944.2860444,False,48.141462,74.88,1280,720,1206,87
74,1572333944.6216567,False,48.472637,74.88,1280,720,1214,88
75,1572333945.2434435,False,49.098685,74.88,1280,720,1223,89
76,1572333945.8968377,False,49.739145,74.88,1280,720,1239,92
77,1572333946.5145812,False,50.08578,74.88,1280,720,1254,93
78,1572333947.2597525,False,51.03446,74.88,1280,720,1271,93
79,1572333947.8798983,False,51.447749,74.88,1280,720,1289,94
80,1572333948.5225558,False,52.377502,74.88,1280,720,1305,96
81,1572333949.1648026,False,52.732632,74.88,1280,720,1321,97
82,1572333949.8047216,False,53.373849,74.88,1280,720,1337,98
83,1572333950.4582276,False,54.312978,74.88,1280,720,1354,98
84,1572333951.1059854,False,54.672897,74.88,1280,720,1369,99
85,1572333951.775598,False,55.625395,74.88,1280,720,1386,99
86,1572333952.1110845,False,55.967044,74.88,1280,720,1402,99
87,1572333952.7309597,False,56.293676,74.88,1280,720,1411,100
88,1572333953.0878284,False,56.94298,74.88,1280,720,1426,101
89,1572333953.7149224,False,57.569923,74.88,1280,720,1435,102
90,1572333954.1228006,False,57.978394,74.88,1280,720,1451,103
91,1572333954.7493482,False,58.317388,74.88,1280,720,1461,103
92,1572333955.1047335,False,58.959951,74.88,1280,720,1477,104
93,1572333955.735679,False,59.57969,74.88,1280,720,1485,104
94,1572333956.064581,False,59.919684,74.88,1280,720,1501,106
95,1572333956.71377,False,60.549573,74.88,1280,720,1510,108
96,1572333957.3770783,False,61.225032,79.44,1280,720,1534,110
97,1572333958.0083907,False,61.856267,79.44,1280,720,1542,111
98,1572333958.3540175,False,62.202353,79.44,1280,720,1557,112
99,1572333958.991589,False,62.55297,79.44,1280,720,1567,112
100,1572333959.6368568,False,63.203526,79.44,1280,720,1582,112
101,1572333960.3489828,False,64.194334,79.44,1280,720,1601,114
102,1572333960.7015557,False,64.553139,79.44,1280,720,1617,115
103,1572333961.3406003,False,65.195689,79.44,1280,720,1625,115
104,1572333961.9891992,False,65.558258,79.44,1280,720,1642,117
105,1572333962.6421402,False,66.205485,79.44,1280,720,1658,117
106,1572333963.3553324,False,67.209136,79.44,1280,720,1682,119
107,1572333963.9779966,False,67.538645,79.44,1280,720,1691,120
108,1572333964.3317962,False,68.18027,79.44,1280,720,1707,120
109,1572333964.9608855,False,68.531441,79.44,1280,720,1716,122
110,1572333965.3219013,False,69.177122,79.44,1280,720,1732,122
111,1572333965.6591282,False,69.509412,79.44,1280,720,1740,123
112,1572333966.337007,False,69.903095,79.44,1280,720,1748,124
113,1572333966.7031696,False,70.551736,79.44,1280,720,1767,125
114,1572333967.333262,False,71.188715,84.48,1280,720,1776,126
115,1572333967.9892814,False,71.834855,84.48,1280,720,1792,127
116,1572333968.6284983,False,72.478497,84.48,1280,720,1807,129
117,1572333969.260983,False,72.829359,84.48,1280,720,1823,130
118,1572333969.904149,False,73.472352,84.48,1280,720,1840,132
119,1572333970.5680306,False,74.412119,84.48,1280,720,1856,134
120,1572333970.9260805,False,74.781088,84.48,1280,720,1871,135
121,1572333971.557072,False,75.110007,84.48,1280,720,1881,136
122,1572333971.9629834,False,75.818221,84.48,1280,720,1896,138
123,1572333972.288164,False,76.143216,84.48,1280,720,1906,138
124,1572333972.9136968,False,76.768891,84.48,1280,720,1914,139
125,1572333973.5723498,False,77.13817,84.48,1280,720,1930,141
126,1572333974.2367976,False,77.800445,84.48,1280,720,1948,143
127,1572333974.8879864,False,78.459454,84.48,1280,720,1965,144
128,1572333975.2670515,False,79.122448,84.48,1280,720,1981,146
129,1572333975.8850121,False,79.454382,84.48,1280,720,1989,146
130,1572333976.5406609,False,80.109322,84.48,1280,720,2005,148
131,1572333976.9139352,False,80.769534,84.48,1280,720,2021,148
132,1572333977.2512991,False,81.106839,84.48,1280,720,2030,149
133,1572333977.8894484,False,81.732238,84.48,1280,720,2039,150
134,1572333978.2910278,False,82.147123,84.48,1280,720,2054,151
135,1572333978.64485,False,82.480657,84.48,1280,720,2064,151
136,1572333978.9843812,False,82.83902,84.48,1280,720,2074,153
137,1572333979.6227403,False,83.476717,84.48,1280,720,2082,153
138,1572333980.2708607,False,83.841191,84.48,1280,720,2099,154
139,1572333980.9367847,False,84.79295,84.48,1280,720,2112,155
140,1572333981.5484133,False,85.122491,84.48,1280,720,2112,155
141,1572333982.178103,False,85.752373,84.48,1280,720,2112,155
142,1572333982.8174489,False,86.392354,85.48,426,240,2137,178
143,1572333983.199475,False,87.052071,89.28,426,240,2142,216
144,1572333983.5555193,False,87.411613,89.28,426,240,2187,216
145,1572333983.8885336,False,87.742949,89.28,426,240,2196,218
146,1572333984.563996,False,88.419489,89.28,426,240,2206,219
147,1572333984.9442694,False,88.798579,89.28,426,240,2223,220
148,1572333985.2837057,False,89.131117,93.76,426,240,2231,221
149,1572333985.6196933,False,89.472999,93.76,426,240,2239,221
150,1572333986.2427444,False,90.096304,93.76,426,240,2249,222
151,1572333986.9088452,False,90.479575,93.76,426,240,2264,223
152,1572333987.5694044,False,91.140022,100.001,426,240,2281,223
153,1572333987.944615,False,91.799553,100.001,426,240,2297,224
154,1572333988.5643752,False,92.135527,100.001,426,240,2306,224
155,1572333988.9279375,False,92.782512,100.001,426,240,2322,226
156,1572333989.267803,False,93.123831,109.261,426,240,2330,227
157,1572333989.9813068,False,93.761737,109.44,426,240,2347,228
158,1572333990.3349757,False,94.190381,128.121,256,144,2358,228
159,1572333990.953038,False,94.525537,128.121,256,144,2366,228
160,1572333991.332315,False,95.178247,130.16,256,144,2382,229
