,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572298511.568632,False,3.213263,14.12,640,360,81,2
1,1572298511.5742211,False,3.215301,14.12,640,360,81,2
2,1572298512.262972,False,3.602731,14.12,640,360,93,6
3,1572298512.9489007,False,4.326405,14.241,640,360,110,9
4,1572298513.5756197,False,4.940426,14.241,640,360,126,10
5,1572298514.5095606,False,6.149445,14.241,640,360,149,11
6,1572298515.144528,False,6.77983,14.241,640,360,165,12
7,1572298515.7531815,False,7.395637,14.241,640,360,181,14
8,1572298516.377603,False,8.020298,14.241,640,360,196,15
9,1572298517.0195956,False,8.658112,14.241,640,360,211,15
10,1572298517.6410067,False,9.282272,14.241,640,360,228,16
11,1572298518.2545557,False,9.895955,14.241,640,360,243,16
12,1572298518.8782206,False,10.519232,14.241,640,360,259,16
13,1572298519.488827,False,11.133897,14.241,640,360,274,16
14,1572298520.1162324,False,11.757671,14.241,640,360,290,17
15,1572298520.738268,False,12.37833,14.241,640,360,306,18
16,1572298521.356341,False,13.005797,14.241,640,360,321,18
17,1572298522.0478644,False,13.685515,14.241,640,360,338,18
18,1572298522.6810236,False,14.165642,14.241,640,360,353,19
19,1572298523.2940364,False,14.579678,22.501,640,360,361,19
20,1572298523.9128215,False,15.201078,22.501,640,360,376,20
21,1572298524.5410645,False,15.822338,29.481,640,360,391,20
22,1572298525.1816804,False,16.456029,33.92,640,360,407,20
23,1572298525.814256,False,17.094731,33.92,640,360,423,21
24,1572298526.4380004,False,17.718948,33.92,640,360,439,21
25,1572298527.041561,False,18.043545,33.92,640,360,454,21
26,1572298527.6784945,False,18.954215,33.92,640,360,469,21
27,1572298528.596209,False,19.601089,33.92,640,360,485,21
28,1572298529.219455,False,20.506849,39.04,640,360,508,21
29,1572298529.841372,False,20.846044,39.04,640,360,524,21
30,1572298530.477831,False,21.762947,39.04,640,360,540,22
31,1572298531.1094582,False,22.391773,39.04,640,360,555,23
32,1572298531.7913265,False,23.070207,39.04,640,360,572,23
33,1572298532.4180608,False,23.694694,39.04,640,360,595,23
34,1572298533.0284722,False,24.317388,40.001,1280,720,604,25
35,1572298533.664927,False,24.668906,40.001,1280,720,619,26
36,1572298534.3080852,False,25.593292,44.16,1280,720,636,27
37,1572298534.9274707,False,26.217065,44.16,1280,720,651,28
38,1572298535.569103,False,26.850043,44.16,1280,720,667,29
39,1572298536.2119613,False,27.492463,44.16,1280,720,683,29
40,1572298536.8316793,False,27.829185,44.16,1280,720,699,30
41,1572298537.46817,False,28.469651,44.16,1280,720,714,31
42,1572298538.121067,False,29.396778,44.16,1280,720,731,32
43,1572298538.4606338,False,29.749991,44.16,1280,720,747,33
44,1572298539.088628,False,30.367069,49.28,1280,720,755,34
45,1572298539.723612,False,31.006604,49.28,1280,720,771,35
46,1572298540.0713003,False,31.36042,49.28,1280,720,787,37
47,1572298540.6928988,False,31.977243,49.28,1280,720,796,38
48,1572298541.0276356,False,32.312406,49.28,1280,720,811,39
49,1572298541.7192345,False,33.008563,49.28,1280,720,828,40
50,1572298542.3555667,False,33.338763,49.28,1280,720,837,41
51,1572298542.987044,False,34.265809,49.28,1280,720,853,42
52,1572298543.921643,False,34.922612,49.28,1280,720,876,43
53,1572298544.5713925,False,35.861028,49.28,1280,720,899,46
54,1572298545.1984527,False,36.487887,49.28,1280,720,915,47
55,1572298545.808528,False,37.098267,49.28,1280,720,923,47
56,1572298546.456511,False,37.736334,49.28,1280,720,939,48
57,1572298547.1479127,False,38.410328,49.28,1280,720,955,50
58,1572298547.7529724,False,39.041171,49.28,1280,720,972,51
59,1572298548.3817673,False,39.670542,49.28,1280,720,987,53
60,1572298549.0312715,False,40.309737,49.28,1280,720,1004,54
61,1572298549.6490414,False,40.937272,49.28,1280,720,1020,55
62,1572298550.283632,False,41.572309,49.28,1280,720,1036,57
63,1572298551.2194629,False,42.224334,49.28,1280,720,1058,60
64,1572298551.9310958,False,43.20938,49.28,1280,720,1076,62
65,1572298552.5895529,False,43.565168,49.28,1280,720,1091,63
66,1572298553.3395467,False,44.629233,49.28,1280,720,1108,65
67,1572298553.9893296,False,45.264469,49.28,1280,720,1126,68
68,1572298554.6179032,False,45.903892,49.28,1280,720,1142,71
69,1572298555.4709406,False,46.470925,49.28,1280,720,1164,76
70,1572298556.121796,False,47.39786,49.28,1280,720,1181,80
71,1572298556.7772913,False,48.065363,54.181,1280,720,1204,81
72,1572298557.4059634,False,48.689067,58.061,1280,720,1213,82
73,1572298558.044379,False,49.329575,60.001,1280,720,1229,85
74,1572298558.67121,False,49.956342,60.001,1280,720,1244,85
75,1572298559.3013868,False,50.30804,60.001,1280,720,1261,86
76,1572298559.953183,False,51.236068,68.08,1280,720,1277,87
77,1572298560.597084,False,51.87436,68.08,1280,720,1293,89
78,1572298561.2792103,False,52.566711,68.08,1280,720,1311,90
79,1572298561.9370122,False,53.209669,68.08,1280,720,1333,92
80,1572298562.5637755,False,53.567085,68.08,1280,720,1342,93
81,1572298563.1995034,False,54.486925,68.08,1280,720,1359,95
82,1572298563.8599136,False,54.86199,68.08,1280,720,1374,97
83,1572298564.520265,False,55.80142,68.08,1280,720,1391,97
84,1572298565.1557517,False,56.443479,68.08,1280,720,1407,98
85,1572298565.8044257,False,57.08291,68.08,1280,720,1423,99
86,1572298566.4336765,False,57.713282,68.08,1280,720,1439,99
87,1572298567.0619316,False,58.349976,70.001,1280,720,1455,101
88,1572298567.70021,False,58.699276,70.001,1280,720,1471,102
89,1572298568.345097,False,59.34867,70.001,1280,720,1487,104
90,1572298568.9842153,False,60.26584,70.001,1280,720,1502,105
91,1572298569.6796365,False,60.895319,70.001,1280,720,1519,106
92,1572298570.3003042,False,61.304609,70.001,1280,720,1535,107
93,1572298570.9448633,False,62.235127,70.001,1280,720,1552,108
94,1572298571.6003866,False,62.604116,70.001,1280,720,1567,109
95,1572298572.2349968,False,63.235909,70.001,1280,720,1584,109
96,1572298572.8732302,False,63.872767,73.56,1280,720,1599,109
97,1572298573.5211923,False,64.805258,73.56,1280,720,1616,111
98,1572298574.1456757,False,65.15137,73.56,1280,720,1632,111
99,1572298574.7869864,False,65.789613,73.56,1280,720,1647,112
100,1572298575.4628334,False,66.438889,80.001,1280,720,1664,114
101,1572298576.0810764,False,67.08318,80.001,1280,720,1680,116
102,1572298576.7411404,False,67.743386,83.28,1280,720,1696,118
103,1572298577.3782039,False,68.382819,83.28,1280,720,1713,119
104,1572298578.1209764,False,69.402417,83.28,1280,720,1731,121
105,1572298578.7635865,False,69.760278,83.28,1280,720,1746,122
106,1572298579.4419765,False,70.730827,90.001,1280,720,1770,123
107,1572298580.0764718,False,71.365613,90.001,1280,720,1786,124
108,1572298580.7052915,False,71.987705,90.001,1280,720,1796,124
109,1572298581.3454711,False,72.633728,98.56,1280,720,1811,125
110,1572298581.9870355,False,72.984161,98.56,1280,720,1827,126
111,1572298582.63174,False,73.912964,98.56,1280,240,1843,127
112,1572298583.258298,False,74.547703,98.56,426,240,1859,128
113,1572298583.9286673,False,75.190534,98.56,426,240,1876,130
114,1572298584.2547338,False,75.543796,98.56,426,240,1891,131
115,1572298584.9200501,False,76.203328,98.56,426,240,1899,131
116,1572298585.2542694,False,76.543347,98.56,426,240,1916,132
117,1572298585.624362,False,76.910483,98.56,426,240,1924,132
118,1572298586.2534132,False,77.533532,98.56,426,240,1934,132
119,1572298586.8929944,False,78.176833,98.56,426,240,1950,134
120,1572298587.2381322,False,78.527392,110.001,426,240,1966,136
121,1572298587.871665,False,79.14957,110.001,426,240,1974,136
122,1572298588.8032103,False,79.805299,110.001,426,240,1997,136
123,1572298589.445166,False,80.450879,110.001,426,240,2013,138
124,1572298590.08725,False,81.375046,110.001,426,240,2030,139
125,1572298590.718177,False,81.7251,110.001,426,240,2046,141
126,1572298591.3731015,False,82.38019,110.001,426,240,2063,143
127,1572298592.0190055,False,83.301439,110.001,426,240,2079,144
128,1572298592.6520767,False,83.941669,110.001,426,240,2094,145
129,1572298593.29018,False,84.569574,110.001,426,240,2110,146
130,1572298593.9142537,False,85.20083,110.001,426,240,2126,148
131,1572298594.6037161,False,85.892949,110.001,426,240,2143,148
132,1572298595.2473094,False,86.251329,110.001,426,240,2159,148
133,1572298596.2113352,False,87.193946,110.001,426,240,2175,149
134,1572298596.8353765,False,88.117452,110.001,426,240,2198,151
135,1572298597.186838,False,88.473878,110.001,426,240,2214,151
136,1572298597.51132,False,88.802257,110.001,426,240,2222,151
137,1572298598.1255243,False,89.414167,110.001,426,240,2231,152
138,1572298598.7858973,False,90.069862,110.001,426,240,2248,153
139,1572298599.4102561,False,90.412458,110.001,426,240,2264,154
140,1572298599.7557595,False,91.044425,110.001,426,240,2278,154
141,1572298600.3823423,False,91.376882,110.001,426,240,2288,156
142,1572298601.3263535,False,92.332068,110.001,426,240,2304,159
143,1572298602.0173478,False,93.303282,130.001,426,240,2328,160
144,1572298602.665166,False,93.95592,130.001,426,240,2352,162
145,1572298603.2964702,False,94.301821,130.001,426,240,2361,162
146,1572298604.257399,False,95.541805,130.001,426,240,2384,163
147,1572298604.6016836,False,95.890583,130.001,426,240,2399,163
148,1572298604.9246075,False,96.213938,130.001,426,240,2408,164
149,1572298605.533293,False,96.542308,160.001,426,240,2416,165
150,1572298606.201474,False,97.182663,160.001,426,240,2433,166
151,1572298606.5290678,False,97.817154,160.001,426,240,2449,168
152,1572298607.173435,False,98.442566,160.001,426,240,2457,169
153,1572298607.8342476,False,99.110692,178.24,426,240,2481,172
154,1572298608.1692066,False,99.453627,178.24,426,240,2488,172
155,1572298608.783079,False,99.783607,182.68,426,240,2498,173
156,1572298609.4804783,False,100.482962,187.04,426,240,2514,174
157,1572298610.1321895,False,101.135558,187.04,426,240,2531,175
158,1572298610.4861255,False,101.769319,187.04,426,240,2547,175
159,1572298610.8172026,False,102.107407,190.001,426,240,2555,177
160,1572298611.1473815,False,102.436481,190.001,426,240,2563,177
161,1572298612.0782416,False,103.082437,190.001,426,240,2579,178
162,1572298612.7237642,False,103.730072,190.001,426,240,2596,179
163,1572298613.0868125,False,104.373597,190.001,426,240,2612,181
164,1572298613.708009,False,104.998513,191.8,426,240,2621,181
165,1572298614.356218,False,105.358849,191.8,426,240,2637,181
166,1572298614.7047744,False,105.993362,191.8,426,240,2652,183
167,1572298615.0404317,False,106.318291,191.8,426,240,2660,183
168,1572298615.6850863,False,106.953474,191.8,426,240,2669,184
169,1572298616.304006,False,107.587523,191.8,426,240,2686,185
170,1572298616.9958594,False,108.272482,191.8,426,240,2703,185
171,1572298617.632379,False,108.922229,191.8,426,240,2718,186
172,1572298618.2797608,False,109.283464,191.8,426,240,2735,186
173,1572298618.6456857,False,109.935404,191.8,426,240,2751,187
174,1572298618.9716058,False,110.260868,191.8,426,240,2759,188
175,1572298619.299229,False,110.588276,191.8,426,240,2767,188
176,1572298619.9472332,False,111.234785,191.8,426,240,2783,189
177,1572298620.5610933,False,111.566737,191.8,426,240,2792,190
178,1572298621.200171,False,112.204005,191.8,426,240,2808,191
179,1572298621.848655,False,112.851365,191.8,426,240,2823,193
180,1572298622.4995983,False,113.785796,220.001,426,240,2840,195
181,1572298623.1473806,False,114.436169,220.001,426,240,2856,196
182,1572298623.5117748,False,114.798069,220.001,426,240,2873,198
183,1572298623.8990645,False,115.18888,220.001,426,240,2881,199
184,1572298624.5475154,False,115.836558,220.001,426,240,2898,200
185,1572298625.1641898,False,116.1685,220.001,426,240,2907,201
186,1572298625.8214195,False,116.825081,232.8,426,240,2924,202
187,1572298626.19395,False,117.468755,232.8,426,240,2939,204
