,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8650506912442393,,,,,,,,,,,497348.0,621716,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,497348.0,497348.0,497348.0,781289.0,1469486.0,621716,621716,621716,976660,1836948,60.535664382470124,60.535664382470124,60.535664382470124,74.89050139442232,87.97843717131474,0.0,10.000489,1.736,,,,,,,,,,,10.0,0.0,1572266088.575,1572266086.583,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment1_476000_av.ts,60.535664382470124
1,2.844629865174256,,,,,,,,,,,1118224.0,1397780,9.84500002861023,0,0,1,0.0,0,0.0,2,,,,,,,,,,,-2,410742.0,410742.0,410742.0,620099.0,1118224.0,513428,513428,513428,775124,1397780,58.61324023999998,58.61324023999998,58.61324023999998,73.99570759999995,88.24601403999996,1.9920001029968262,10.0,3.931,,,,,,,,,,,20.0,10.0,1572266092.766,1572266088.73,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment2_1496000_av.ts,88.24601403999996
2,-0.008,,,,,,,,,,,1368489.0,-1,15.694000005722046,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,352988.0,352988.0,352988.0,528656.0,961808.0,441236,441236,441236,660820,1202260,60.17388303999995,60.17388303999995,60.17388303999995,74.38227235999999,87.05295776000004,0.0,10.0,0.001,,,,,,,,,,,30.0,20.0,1572266092.982,1572266092.881,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_2296000_av.ts,91.26641511999998
3,-0.008,2.6521116279069767,,2.844629865174256,,,,,,,,1568172.0,-1,20.391000032424927,0,0,3,1118224.0,2,88.24601403999996,3,3.0,,2.0,,,,,,,,-1,526233.0,343352.0,1009904.0,1568172.0,2282850.0,657812,429204,1262420,1960276,2853652,72.74412804,59.04901504000002,84.92586107999993,89.22689355999992,100.0,0.0,10.000311,0.001,5.16,,3.931,,,,,,,,40.0,30.0,1572266098.196,1572266098.184,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment4_2296000_av.ts,89.22689355999992
4,-0.008,2.6521116279069767,,2.844629865174256,,,,,,,,1009904.0,-1,11.765000104904175,0,0,3,1368489.0,3,91.26641511999998,2,3.0,,2.0,,,,,,,,1,1009904.0,526233.0,1568172.0,2282850.0,2282850.0,1262420,657812,1960276,2853652,2853652,84.92586107999993,72.74412804,89.22689355999992,100.0,100.0,0.0,10.000311,0.001,5.16,,3.931,,,,,,,,40.0,30.0,1572266106.8309999,1572266106.81,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment4_1496000_av.ts,84.92586107999993
5,-0.008,2.535616369570675,,2.6521116279069767,2.844629865174256,,,,,,,1200041.0,-1,17.703999996185303,0,0,4,1568172.0,3,89.22689355999992,2,2.0,,3.0,2.0,,,,,,,1,1200041.0,636944.0,1823299.0,2752169.0,2752169.0,1500052,796180,2279124,3440212,3440212,84.97447192000003,72.29493111999996,89.49693571999991,100.0,100.0,0.0,10.0,0.001,3.983,,5.16,3.931,,,,,,,50.0,40.0,1572266110.884,1572266110.871,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment5_1496000_av.ts,84.97447192000003
6,-0.008,3.0403891563212566,,2.535616369570675,2.6521116279069767,2.844629865174256,,,,,,1589878.0,-1,23.697999954223633,0,0,5,1009904.0,2,84.92586107999993,3,2.0,,2.0,3.0,2.0,,,,,,-1,526249.0,350582.0,1000310.0,1589878.0,2410460.0,657812,438228,1250388,1987348,3013076,75.737222,65.22734944000001,85.73351815999997,89.32452956000004,100.0,0.0,10.0,0.001,3.947,,3.983,5.16,3.931,,,,,,60.0,50.0,1572266114.9060001,1572266114.877,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_2296000_av.ts,89.32452956000004
7,-0.008,3.0403891563212566,,2.535616369570675,2.6521116279069767,2.844629865174256,,,,,,1000310.0,-1,15.038000106811523,0,0,5,1200041.0,2,84.97447192000003,2,2.0,,2.0,3.0,2.0,,,,,,0,526249.0,350582.0,1000310.0,1589878.0,2410460.0,657812,438228,1250388,1987348,3013076,75.737222,65.22734944000001,85.73351815999997,89.32452956000004,100.0,0.0,10.0,0.001,3.947,,3.983,5.16,3.931,,,,,,60.0,50.0,1572266123.6039999,1572266123.537,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_1496000_av.ts,85.73351815999997
8,-0.008,2.2544746450304256,,3.0403891563212566,2.535616369570675,2.6521116279069767,2.844629865174256,,,,,1411786.0,-1,20.516000032424927,0,0,6,1589878.0,3,89.32452956000004,2,2.0,,2.0,2.0,3.0,2.0,,,,,1,1411786.0,747628.0,2186636.0,3132339.0,3132339.0,1764756,934548,2733332,3915476,3915476,90.91628256,81.40312336000002,93.73847323999998,100.0,100.0,0.0,10.000133,0.001,4.437,,3.947,3.983,5.16,3.931,,,,,70.0,60.0,1572266128.071,1572266128.059,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment7_1496000_av.ts,90.91628256
9,-0.008,2.013412435824301,,2.2544746450304256,3.0403891563212566,2.535616369570675,2.6521116279069767,2.844629865174256,,,,1289078.0,-1,23.447999954223633,0,0,7,1000310.0,2,85.73351815999997,2,2.0,,2.0,2.0,2.0,3.0,2.0,,,,0,697104.0,451651.0,1289078.0,1933993.0,2749763.0,871380,564564,1611348,2417492,3437204,75.73595856000003,64.68787028000001,86.21289480000006,90.13426760000004,100.0,0.0,10.0,0.001,7.0120000000000005,,4.437,3.947,3.983,5.16,3.931,,,,80.0,70.0,1572266135.137,1572266135.127,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment8_1496000_av.ts,86.21289480000006
