,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.866702017291066,,,,,,,,,,,497348.0,621716,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,497348.0,497348.0,497348.0,781289.0,1469486.0,621716,621716,621716,976660,1836948,60.535664382470124,60.535664382470124,60.535664382470124,74.89050139442232,87.97843717131474,0.0,10.000489,1.735,,,,,,,,,,,10.0,0.0,1572275592.687,1572275590.899,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment1_476000_av.ts,60.535664382470124
1,2.850025526043463,,,,,,,,,,,1652444.0,2065556,9.86300015449524,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,410742.0,410742.0,410742.0,620099.0,1118224.0,513428,513428,513428,775124,1397780,58.61324023999998,58.61324023999998,58.61324023999998,73.99570759999995,88.24601403999996,1.7880001068115234,10.0,5.798,,,,,,,,,,,20.0,10.0,1572275598.7199998,1572275592.824,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment2_2296000_av.ts,92.37487996
2,-0.008,,,,,,,,,,,1368489.0,-1,13.924000024795532,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,352988.0,352988.0,352988.0,528656.0,961808.0,441236,441236,441236,660820,1202260,60.17388303999995,60.17388303999995,60.17388303999995,74.38227235999999,87.05295776000004,0.0,10.0,0.001,,,,,,,,,,,30.0,20.0,1572275598.777,1572275598.763,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_2296000_av.ts,91.26641511999998
3,-0.008,4.315640491958373,,2.850025526043463,,,,,,,,1568172.0,-1,20.680999994277954,0,0,3,1652444.0,3,92.37487996,3,3.0,,3.0,,,,,,,,0,1009904.0,526233.0,1568172.0,2282850.0,2282850.0,1262420,657812,1960276,2853652,2853652,84.92586107999993,72.74412804,89.22689355999992,100.0,100.0,0.0,10.000311,0.001,3.1710000000000003,,5.798,,,,,,,,40.0,30.0,1572275602.033,1572275602.006,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment4_2296000_av.ts,89.22689355999992
4,-0.008,14.282520947176684,,4.315640491958373,2.850025526043463,,,,,,,2752169.0,-1,29.486999988555908,0,0,4,1368489.0,3,91.26641511999998,4,3.0,,3.0,3.0,,,,,,,-1,1200041.0,636944.0,1823299.0,2752169.0,2752169.0,1500052,796180,2279124,3440212,3440212,84.97447192000003,72.29493111999996,89.49693571999991,100.0,100.0,0.0,10.0,0.001,1.098,,3.1710000000000003,5.798,,,,,,,50.0,40.0,1572275603.319,1572275603.2,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment5_3296000_av.ts,100.0
5,-0.008,14.319300728407908,,14.282520947176684,4.315640491958373,2.850025526043463,,,,,,2410460.0,-1,37.35800004005432,0,0,5,1568172.0,3,89.22689355999992,4,4.0,,3.0,3.0,3.0,,,,,,-1,1000310.0,526249.0,1589878.0,2410460.0,2410460.0,1250388,657812,1987348,3013076,3013076,85.73351815999997,75.737222,89.32452956000004,100.0,100.0,0.0,10.0,0.001,1.922,,1.098,3.1710000000000003,5.798,,,,,,60.0,50.0,1572275605.346,1572275605.329,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_3296000_av.ts,100.0
6,-0.008,14.31390023752969,,14.319300728407908,14.282520947176684,4.315640491958373,2.850025526043463,,,,,3132339.0,-1,45.568000078201294,0,0,6,2752169.0,4,100.0,4,4.0,,4.0,3.0,3.0,3.0,,,,,0,2186636.0,1411786.0,3132339.0,3132339.0,3132339.0,2733332,1764756,3915476,3915476,3915476,93.73847323999998,90.91628256,100.0,100.0,100.0,0.0,10.000133,0.001,1.684,,1.922,1.098,3.1710000000000003,5.798,,,,,70.0,60.0,1572275607.134,1572275607.119,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment7_3296000_av.ts,100.0
7,-0.008,14.303108675799088,,14.31390023752969,14.319300728407908,14.282520947176684,4.315640491958373,2.850025526043463,,,,2749763.0,-1,53.253000020980835,0,0,7,2410460.0,4,100.0,4,4.0,,4.0,4.0,3.0,3.0,3.0,,,,0,1933993.0,1289078.0,2749763.0,2749763.0,2749763.0,2417492,1611348,3437204,3437204,3437204,90.13426760000004,86.21289480000006,100.0,100.0,100.0,0.0,10.0,0.001,2.19,,1.684,1.922,1.098,3.1710000000000003,5.798,,,,80.0,70.0,1572275609.447,1572275609.434,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment8_3296000_av.ts,100.0
8,-0.008,14.306780437044745,,14.303108675799088,14.31390023752969,14.319300728407908,14.282520947176684,4.315640491958373,2.850025526043463,,,3161243.0,-1,61.23800015449524,0,0,8,3132339.0,4,100.0,4,4.0,,4.0,4.0,4.0,3.0,3.0,3.0,,,0,2196281.0,1450300.0,3161243.0,3161243.0,3161243.0,2745364,1812884,3951572,3951572,3951572,85.28733108000003,79.64974436,100.0,100.0,100.0,0.0,10.000045,0.001,1.922,,2.19,1.684,1.922,1.098,3.1710000000000003,5.798,,,90.0,80.0,1572275611.465,1572275611.449,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment9_3296000_av.ts,100.0
9,-0.008,14.297863410221618,,14.306780437044745,14.303108675799088,14.31390023752969,14.319300728407908,14.282520947176684,4.315640491958373,2.850025526043463,,2959120.0,-1,68.91700005531311,0,0,9,2749763.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,0,1989340.0,1327580.0,2959120.0,2959120.0,2959120.0,2486676,1659476,3698900,3698900,3698900,83.23205396000003,76.71710068,100.0,100.0,100.0,0.0,10.0,0.001,2.211,,1.922,2.19,1.684,1.922,1.098,3.1710000000000003,5.798,,100.0,90.0,1572275613.784,1572275613.77,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment10_3296000_av.ts,100.0
10,-0.008,14.288363109608882,,14.297863410221618,14.306780437044745,14.303108675799088,14.31390023752969,14.319300728407908,14.282520947176684,4.315640491958373,2.850025526043463,2615004.0,-1,76.77500009536743,0,0,10,3161243.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0,1856988.0,1233731.0,2615004.0,2615004.0,2615004.0,2321236,1542164,3268756,3268756,3268756,93.03837223999996,88.39085127999996,100.0,100.0,100.0,0.0,10.0,0.001,2.071,,2.211,1.922,2.19,1.684,1.922,1.098,3.1710000000000003,5.798,110.0,100.0,1572275615.925,1572275615.912,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment11_3296000_av.ts,100.0
11,-0.008,14.320946330777655,2.850025526043463,14.288363109608882,14.297863410221618,14.306780437044745,14.303108675799088,14.31390023752969,14.319300728407908,14.282520947176684,4.315640491958373,2535537.0,-1,84.8659999370575,0,0,11,2959120.0,4,100.0,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0,1791976.0,1243329.0,2535537.0,2535537.0,2535537.0,2240020,1554196,3169492,3169492,3169492,93.8310354,89.7618183199999,100.0,100.0,100.0,0.0,10.000223,0.001,1.826,5.798,2.071,2.211,1.922,2.19,1.684,1.922,1.098,3.1710000000000003,120.0,110.0,1572275617.839,1572275617.821,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment12_3296000_av.ts,100.0
12,-0.008,14.3172987012987,4.315640491958373,14.320946330777655,14.288363109608882,14.297863410221618,14.306780437044745,14.303108675799088,14.31390023752969,14.319300728407908,14.282520947176684,2314204.0,-1,93.02100014686584,0,0,12,2615004.0,4,100.0,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0,1604316.0,1151913.0,2314204.0,2314204.0,2314204.0,2005396,1439892,2892756,2892756,2892756,87.24397008000003,81.65903607999998,100.0,100.0,100.0,0.0,10.0,0.001,1.7710000000000001,3.1710000000000003,1.826,2.071,2.211,1.922,2.19,1.684,1.922,1.098,130.0,120.0,1572275619.679,1572275619.666,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment13_3296000_av.ts,100.0
13,-0.008,14.320574257425742,14.282520947176684,14.3172987012987,14.320946330777655,14.288363109608882,14.297863410221618,14.306780437044745,14.303108675799088,14.31390023752969,14.319300728407908,2566876.0,-1,101.3529999256134,0,0,13,2535537.0,4,100.0,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1746294.0,1185603.0,2566876.0,2566876.0,2566876.0,2182868,1482004,3208596,3208596,3208596,87.92077924000004,82.13072024000004,100.0,100.0,100.0,0.0,10.0,0.001,1.616,1.098,1.7710000000000001,1.826,2.071,2.211,1.922,2.19,1.684,1.922,140.0,130.0,1572275621.351,1572275621.334,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment14_3296000_av.ts,100.0
14,-0.008,25668.768,14.319300728407908,14.320574257425742,14.3172987012987,14.320946330777655,14.288363109608882,14.297863410221618,14.306780437044745,14.303108675799088,14.31390023752969,2817029.0,-1,109.47000002861023,0,0,14,2314204.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1914665.0,1260151.0,2817029.0,2817029.0,2817029.0,2393428,1575252,3521428,3521428,3521428,81.97912780000001,74.61065515999995,100.0,100.0,100.0,0.0,10.0004,0.001,0.001,1.922,1.616,1.7710000000000001,1.826,2.071,2.211,1.922,2.19,1.684,150.0,140.0,1572275623.232,1572275623.217,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment15_3296000_av.ts,100.0
15,-0.008,14.314747967479674,14.31390023752969,25668.768,14.320574257425742,14.3172987012987,14.320946330777655,14.288363109608882,14.297863410221618,14.306780437044745,14.303108675799088,3132380.0,-1,117.42300009727478,0,0,15,2566876.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2210729.0,1433462.0,3132380.0,3132380.0,3132380.0,2763412,1791828,3915476,3915476,3915476,86.95275399999996,80.71488259999998,100.0,100.0,100.0,0.0,10.0,0.001,1.968,1.684,0.001,1.616,1.7710000000000001,1.826,2.071,2.211,1.922,2.19,160.0,150.0,1572275625.28,1572275625.264,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment16_3296000_av.ts,100.0
16,-0.008,14.296580556823368,14.303108675799088,14.314747967479674,25668.768,14.320574257425742,14.3172987012987,14.320946330777655,14.288363109608882,14.297863410221618,14.306780437044745,2131318.0,-1,125.15400004386902,0,0,16,2817029.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1647632.0,1072502.0,2131318.0,2131318.0,2131318.0,2059540,1340628,2664148,2664148,2664148,87.34808948000006,81.85372928000007,100.0,100.0,100.0,0.0,10.0,0.001,2.191,2.19,1.968,0.001,1.616,1.7710000000000001,1.826,2.071,2.211,1.922,170.0,160.0,1572275627.545,1572275627.533,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment17_3296000_av.ts,100.0
17,-0.008,14.323376344086022,14.306780437044745,14.296580556823368,14.314747967479674,25668.768,14.320574257425742,14.3172987012987,14.320946330777655,14.288363109608882,14.297863410221618,2424759.0,-1,133.61100006103516,0,0,17,3132380.0,4,100.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1741380.0,1149440.0,2424759.0,2424759.0,2424759.0,2176852,1436884,3031124,3031124,3031124,91.09570264,86.54157671999998,100.0,100.0,100.0,0.0,10.000577999999999,0.001,1.488,1.922,2.191,1.968,0.001,1.616,1.7710000000000001,1.826,2.071,2.211,180.0,170.0,1572275629.09,1572275629.076,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment18_3296000_av.ts,100.0
