,bandwidth_mbit,bandwidth_mbit_-1,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.867705153294194,,439597.0,549524,0.0,0,0,0,0.0,0,0.0,0,,0,439597.0,439597.0,439597.0,689851.0,1238483.0,549524,549524,549524,862356,1548180,47.3691861354582,47.3691861354582,47.3691861354582,61.973361912350605,76.55465394422309,0.0,10.000489,1.5330000000000001,,10.0,0.0,1572433460.5259998,1572433458.985,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment1_476000_av.ts,47.3691861354582
1,2.852073760415244,,2088003.0,2610004,0.0,0,0,1,0.0,0,0.0,3,,-3,487747.0,487747.0,487747.0,774108.0,1414211.0,609684,609684,609684,967636,1767764,51.13156656,51.13156656,51.13156656,66.19311527999999,80.72229648000005,1.7710001468658447,10.0,7.321,,20.0,10.0,1572433468.091,1572433460.756,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment2_2296000_av.ts,86.26255976000002
2,-0.008,,2169820.0,-1,9.940999984741211,0,0,2,0.0,0,0.0,3,,-3,511811.0,511811.0,511811.0,807798.0,1459932.0,639764,639764,639764,1009748,1824916,55.378587279999984,55.378587279999984,55.378587279999984,71.25166667999997,86.27036979999995,7.335000038146973,10.0,0.001,,30.0,20.0,1572433468.16,1572433468.15,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_2296000_av.ts,91.37876219999997
3,-0.008,2.852073760415244,511811.0,-1,4.858999967575073,0,0,2,2088003.0,3,86.26255976000002,0,3.0,3,1459932.0,807798.0,2169820.0,3173289.0,3173289.0,1824916,1009748,2712276,3966612,3966612,86.27036979999995,71.25166667999997,91.37876219999997,100.0,100.0,0.0,10.0,0.001,7.321,30.0,20.0,1572433473.318,1572433473.232,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
4,-0.008,2.852073760415244,511811.0,-1,0.0,0,0,2,2169820.0,3,91.37876219999997,0,3.0,3,1459932.0,807798.0,2169820.0,3173289.0,3173289.0,1824916,1009748,2712276,3966612,3966612,86.27036979999995,71.25166667999997,91.37876219999997,100.0,100.0,3.753000020980835,10.0,0.001,7.321,30.0,20.0,1572433481.8630002,1572433481.844,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
5,-0.008,2.852073760415244,511811.0,-1,0.0,0,0,2,511811.0,0,55.378587279999984,0,3.0,0,511811.0,511811.0,511811.0,807798.0,1459932.0,639764,639764,639764,1009748,1824916,55.378587279999984,55.378587279999984,55.378587279999984,71.25166667999997,86.27036979999995,9.771999835968018,10.0,0.001,7.321,30.0,20.0,1572433491.756,1572433491.616,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
6,-0.008,2.852073760415244,511811.0,-1,0.0,0,0,2,511811.0,0,55.378587279999984,0,3.0,0,511811.0,511811.0,511811.0,807798.0,1459932.0,639764,639764,639764,1009748,1824916,55.378587279999984,55.378587279999984,55.378587279999984,71.25166667999997,86.27036979999995,11.628000020980835,10.0,0.001,7.321,30.0,20.0,1572433503.2649999,1572433503.244,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
7,-0.008,2.852073760415244,511811.0,-1,0.0,0,0,2,511811.0,0,55.378587279999984,0,3.0,0,511811.0,511811.0,511811.0,807798.0,1459932.0,639764,639764,639764,1009748,1824916,55.378587279999984,55.378587279999984,55.378587279999984,71.25166667999997,86.27036979999995,15.697999954223633,10.0,0.001,7.321,30.0,20.0,1572433518.9589999,1572433518.942,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
8,-0.008,2.852073760415244,511811.0,-1,0.0,0,0,2,511811.0,0,55.378587279999984,0,3.0,0,511811.0,511811.0,511811.0,807798.0,1459932.0,639764,639764,639764,1009748,1824916,55.378587279999984,55.378587279999984,55.378587279999984,71.25166667999997,86.27036979999995,23.761000156402588,10.0,0.001,7.321,30.0,20.0,1572433542.808,1572433542.703,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
9,-0.008,2.852073760415244,511811.0,-1,0.0,0,0,2,511811.0,0,55.378587279999984,0,3.0,0,511811.0,511811.0,511811.0,807798.0,1459932.0,639764,639764,639764,1009748,1824916,55.378587279999984,55.378587279999984,55.378587279999984,71.25166667999997,86.27036979999995,39.69599986076355,10.0,0.001,7.321,30.0,20.0,1572433582.4889998,1572433582.399,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190923_1505_sendung_bfr/4/190923_1505_sendung_bfr.smil/segment3_476000_av.ts,55.378587279999984
