,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.861518610421836,,,,,,,,,,,461254.0,576596,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,461254.0,461254.0,461254.0,718726.0,1276983.0,576596,576596,576596,898452,1596308,44.37869980079682,44.37869980079682,44.37869980079682,59.98412358565736,77.90539135458167,0.0,10.000489,1.612,,,,,,,,,,,10.0,0.0,1572285966.035,1572285964.398,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment1_476000_av.ts,44.37869980079682
1,2.837817086032846,,,,,,,,,,,1883459.0,2354324,9.870000123977661,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,463683.0,463683.0,463683.0,709136.0,1262608.0,579604,579604,579604,886420,1578260,50.47452316,50.47452316,50.47452316,66.70356699999998,83.90817812,1.6370000839233398,10.0,6.6370000000000005,,,,,,,,,,,20.0,10.0,1572285972.894,1572285966.165,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment2_2296000_av.ts,90.03723048000003
2,-0.008,,,,,,,,,,,1878646.0,-1,13.092000007629395,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,473308.0,473308.0,473308.0,713948.0,1252982.0,591636,591636,591636,892436,1566228,54.60886704000002,54.60886704000002,54.60886704000002,71.56425039999998,88.93867431999998,0.0,10.0,0.001,,,,,,,,,,,30.0,20.0,1572285972.957,1572285972.943,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment3_2296000_av.ts,94.98047516
3,-0.008,5.867103060587133,,2.837817086032846,,,,,,,,2838711.0,-1,19.776000022888184,0,0,3,1883459.0,3,90.03723048000003,4,3.0,,3.0,,,,,,,,-1,1341977.0,745208.0,2025373.0,2838711.0,2838711.0,1677524,931540,2531796,3548500,3548500,86.68472484000004,70.34882404000003,92.29133175999998,100.0,100.0,0.0,10.000311,0.001,3.202,,6.6370000000000005,,,,,,,,40.0,30.0,1572285976.315,1572285976.259,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment4_3296000_av.ts,100.0
4,-0.008,9.542184873949578,,5.867103060587133,2.837817086032846,,,,,,,2667945.0,-1,26.642000198364258,0,0,4,1878646.0,3,94.98047516,4,4.0,,3.0,3.0,,,,,,,-1,1267420.0,677852.0,1909929.0,2667945.0,2667945.0,1584276,847316,2387412,3334932,3334932,85.71295479999999,69.96399367999999,90.86842284,100.0,100.0,0.0,10.0,0.001,2.975,,3.202,6.6370000000000005,,,,,,,50.0,40.0,1572285979.425,1572285979.393,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment5_3296000_av.ts,100.0
5,-0.008,9.545422540250447,,9.542184873949578,5.867103060587133,2.837817086032846,,,,,,2990403.0,-1,33.74000000953674,0,0,5,2838711.0,4,100.0,4,4.0,,4.0,3.0,3.0,,,,,,0,2068752.0,1346832.0,2990403.0,2990403.0,2990403.0,2585940,1683540,3738004,3738004,3738004,92.707203,87.80020268000004,100.0,100.0,100.0,0.0,10.0,0.001,2.795,,2.975,3.202,6.6370000000000005,,,,,,60.0,50.0,1572285982.3100002,1572285982.295,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment6_3296000_av.ts,100.0
6,-0.008,9.544855410150015,,9.545422540250447,9.542184873949578,5.867103060587133,2.837817086032846,,,,,2586093.0,-1,40.50800013542175,0,0,6,2667945.0,4,100.0,4,4.0,,4.0,4.0,3.0,3.0,,,,,0,1866589.0,1212057.0,2586093.0,2586093.0,2586093.0,2333268,1515092,3232660,3232660,3232660,91.33730059999996,85.02059548000003,100.0,100.0,100.0,0.0,10.000133,0.001,3.133,,2.795,2.975,3.202,6.6370000000000005,,,,,70.0,60.0,1572285985.563,1572285985.527,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment7_3296000_av.ts,100.0
7,-0.008,9.54290774907749,,9.544855410150015,9.545422540250447,9.542184873949578,5.867103060587133,2.837817086032846,,,,1724636.0,-1,47.69000005722046,0,0,7,2990403.0,4,100.0,4,4.0,,4.0,4.0,4.0,3.0,3.0,,,,0,1277046.0,793360.0,1724636.0,1724636.0,1724636.0,1596308,991700,2155796,2155796,2155796,88.11423647999997,82.59494492,100.0,100.0,100.0,0.0,10.0,0.001,2.71,,3.133,2.795,2.975,3.202,6.6370000000000005,,,,80.0,70.0,1572285988.365,1572285988.345,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment8_3296000_av.ts,100.0
8,-0.008,9.5389203539823,,9.54290774907749,9.544855410150015,9.545422540250447,9.542184873949578,5.867103060587133,2.837817086032846,,,2100025.0,-1,55.77999997138977,0,0,8,2586093.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,,,0,1450300.0,981054.0,2100025.0,2100025.0,2100025.0,1812884,1226324,2625044,2625044,2625044,90.04350427999996,85.68790515999997,100.0,100.0,100.0,0.0,10.000045,0.001,1.808,,2.71,3.133,2.795,2.975,3.202,6.6370000000000005,,,90.0,80.0,1572285990.2700002,1572285990.255,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment9_3296000_av.ts,100.0
9,-0.008,9.545614545454544,,9.5389203539823,9.54290774907749,9.544855410150015,9.545422540250447,9.542184873949578,5.867103060587133,2.837817086032846,,2181852.0,-1,63.51200008392334,0,0,9,1724636.0,4,100.0,4,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,0,1445494.0,947369.0,2181852.0,2181852.0,2181852.0,1806868,1184212,2727316,2727316,2727316,89.33185055999998,85.42239916000003,100.0,100.0,100.0,0.0,10.0,0.001,2.2,,1.808,2.71,3.133,2.795,2.975,3.202,6.6370000000000005,,100.0,90.0,1572285992.537,1572285992.523,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment10_3296000_av.ts,100.0
