,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.870271062271062,,,,,,,,,,,235075.0,293844,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,235075.0,235075.0,235075.0,490153.0,663414.0,293844,293844,293844,612692,829268,11.254508879999996,11.254508879999996,11.254508879999996,37.98948216000003,55.58671607999998,0.0,10.0,0.8190000000000001,,,,,,,,,,,10.0,0.0,1572263983.67,1572263982.693,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment1_189000_av.ts,11.254508879999996
1,2.848637616387337,,,,,,,,,,,1527220.0,1912148,9.909000158309937,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,234691.0,234691.0,234691.0,486950.0,667136.0,293844,293844,293844,609684,835284,9.068268000000003,9.068268000000003,9.068268000000003,38.161805159999965,55.66479828000001,0.9769999980926514,10.016356,5.37,,,,,,,,,,,20.02,10.0,1572263989.2329998,1572263983.761,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment2_1456000_av.ts,76.15357911999997
2,-0.008,,,,,,,,,,,1572855.0,-1,14.409000177383422,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,232642.0,232642.0,232642.0,497316.0,672963.0,290836,290836,290836,621716,841300,8.115275920000002,8.115275920000002,8.115275920000002,36.63154651999999,53.06241999999999,0.0,10.001134,0.001,,,,,,,,,,,30.02,20.02,1572263989.293,1572263989.281,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment3_1456000_av.ts,74.97595280000007
3,-0.008,2.848637616387337,,,,,,,,,,672963.0,-1,5.6510000419616695,0,0,2,1527220.0,3,76.15357911999997,2,3.0,,,,,,,,,,1,672963.0,497316.0,1572855.0,2398156.0,3394293.0,841300,621716,1966292,2998036,4243348,53.06241999999999,36.63154651999999,74.97595280000007,85.97445628000006,100.0,0.0,10.001134,0.001,5.37,,,,,,,,,,30.02,20.02,1572263998.0770001,1572263998.039,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment3_606000_av.ts,53.06241999999999
4,-0.008,0.949280677009873,,2.848637616387337,,,,,,,,656195.0,-1,9.957000017166138,0,0,3,1572855.0,3,74.97595280000007,2,2.0,,3.0,,,,,,,,1,656195.0,482934.0,1534531.0,2383990.0,3346550.0,820244,603668,1918164,2979988,4183188,60.05980748,42.748959800000016,82.92719675999999,92.60743364,100.0,1.4769999790191655,10.0,0.001,7.09,,5.37,,,,,,,,40.02,30.02,1572264005.274,1572264005.21,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment4_606000_av.ts,60.05980748
5,-0.008,0.949280677009873,,2.848637616387337,,,,,,,,482934.0,-1,1.2000000476837158,0,0,3,672963.0,2,53.06241999999999,1,2.0,,3.0,,,,,,,,1,482934.0,232668.0,656195.0,1534531.0,2383990.0,603668,290836,820244,1918164,2979988,42.748959800000016,9.456553680000006,60.05980748,82.92719675999999,92.60743364,0.0,10.0,0.001,7.09,,5.37,,,,,,,,40.02,30.02,1572264014.004,1572264013.967,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment4_436000_av.ts,42.748959800000016
6,-0.008,1.1862795381970033,,0.949280677009873,2.848637616387337,,,,,,,669538.0,-1,9.96200013160706,0,0,4,656195.0,2,60.05980748,2,1.0,,2.0,3.0,,,,,,,0,489353.0,227483.0,669538.0,1551245.0,2360877.0,612692,284820,838292,1942228,2955924,54.34501184,20.122503999999974,68.81033103999998,86.79987411999998,94.38865728000002,2.9079999923706055,10.016356,0.001,4.071,,7.09,5.37,,,,,,,50.04,40.02,1572264018.1339998,1572264018.113,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment5_606000_av.ts,68.81033103999998
7,-0.008,1.4003624973898516,,1.1862795381970033,0.949280677009873,2.848637616387337,,,,,,658461.0,-1,15.141000051498413,0,0,5,482934.0,1,42.748959800000016,2,2.0,,1.0,2.0,3.0,,,,,,-1,232619.0,232619.0,485237.0,658461.0,1517362.0,290836,290836,606676,823252,1897108,21.295377480000006,21.295377480000006,53.91654616,67.47804200000002,85.48810107999998,0.0,10.002134,0.001,4.789,,4.071,7.09,5.37,,,,,,60.03,50.03,1572264022.964,1572264022.954,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment6_606000_av.ts,67.47804200000002
8,-0.008,1.4197059711144642,,1.4003624973898516,1.1862795381970033,0.949280677009873,2.848637616387337,,,,,687478.0,-1,20.44900012969971,0,0,6,669538.0,2,68.81033103999998,2,2.0,,2.0,1.0,2.0,3.0,,,,,0,499779.0,237481.0,687478.0,1563408.0,2412867.0,624724,296852,859348,1954260,3016084,53.547268599999974,22.25213688,69.50539759999997,86.33839740000002,93.35625376000004,0.0,10.0,0.001,4.639,,4.789,4.071,7.09,5.37,,,,,70.04,60.04,1572264027.6469998,1572264027.636,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment7_606000_av.ts,69.50539759999997
9,-0.008,1.1536808189293504,,1.4197059711144642,1.4003624973898516,1.1862795381970033,0.949280677009873,2.848637616387337,,,,635872.0,-1,24.452000160217292,0,0,7,658461.0,2,67.47804200000002,2,2.0,,2.0,2.0,1.0,2.0,3.0,,,,0,465305.0,227472.0,635872.0,1464683.0,2252654.0,582612,284820,796180,1833940,2820564,36.83832912000003,6.539659440000001,56.64585968000001,78.95870023999998,90.65446232,0.0,10.016856,0.001,5.9590000000000005,,4.639,4.789,4.071,7.09,5.37,,,,80.06,70.04,1572264033.6529999,1572264033.643,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/16/07/160705_zeitreise_wikinger_wv_tex/3/160705_zeitreise_wikinger_wv_tex.smil/segment8_606000_av.ts,56.64585968000001
