,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.87000412371134,,,,,,,,,,,278376.0,347988,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,278376.0,278376.0,278376.0,540661.0,855884.0,347988,347988,347988,675860,1069908,17.055035919999998,17.055035919999998,17.055035919999998,46.40733903999999,60.239283919999984,0.0,10.000489,0.97,,,,,,,,,,,10.0,0.0,1572387051.91,1572387050.431,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment1_229000_av.ts?null=0,17.055035919999998
1,2.8637301475755446,,,,,,,,,,,815017.0,1018772,0.0,0,0,1,0.0,0,0.0,2,,,,,,,,,,,-2,256732.0,256732.0,256732.0,509404.0,815017.0,320916,320916,320916,636756,1018772,23.97312836000001,23.97312836000001,23.97312836000001,54.41564884,67.564163,1.9860000610351562,10.0,2.846,,,,,,,,,,,20.0,10.0,1572387055.486,1572387052.417,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment2_776000_av.ts?null=0,67.564163
2,-0.008,,,,,,,,,,,1563408.0,-1,9.501000165939331,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,261545.0,261545.0,261545.0,514217.0,827049.0,326932,326932,326932,642772,1033812,27.96838847999999,27.96838847999999,27.96838847999999,60.41759903999999,72.54608999999995,3.069000005722046,10.0,0.001,,,,,,,,,,,30.0,20.0,1572387056.194,1572387055.985,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_1496000_av.ts?null=0,83.88506435999993
3,-0.008,3.371593702825102,,2.8637301475755446,,,,,,,,1582609.0,-1,14.598000049591064,0,0,3,815017.0,2,67.564163,3,3.0,,2.0,,,,,,,,-1,528639.0,268756.0,841461.0,1582609.0,2432042.0,660820,335956,1051860,1978324,3040148,60.01835967999998,28.849548359999986,72.25988819999998,83.6533068799999,87.89694331999998,0.0,10.000311,0.001,4.6370000000000005,,2.846,,,,,,,,40.0,30.0,1572387060.905,1572387060.888,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment4_1496000_av.ts?null=0,83.6533068799999
4,-0.008,7.226754337899544,,3.371593702825102,2.8637301475755446,,,,,,,2374364.0,-1,21.84599995613098,0,0,4,1563408.0,3,83.88506435999993,4,3.0,,3.0,2.0,,,,,,,-1,831862.0,523843.0,1573033.0,2374364.0,3409116.0,1039828,654804,1966292,2967956,4261396,70.89953064000002,58.45008732,83.67685851999997,88.73671399999996,100.0,0.0,10.0,0.001,2.19,,4.6370000000000005,2.846,,,,,,,50.0,40.0,1572387063.867,1572387063.64,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment5_2296000_av.ts?null=0,88.73671399999996
5,-0.008,6.530156215621562,,7.226754337899544,3.371593702825102,2.8637301475755446,,,,,,3356176.0,-1,27.591000080108643,0,0,5,1582609.0,3,83.6533068799999,5,4.0,,3.0,3.0,2.0,,,,,,-2,819830.0,519030.0,1544156.0,2359926.0,3356176.0,1024788,648788,1930196,2949908,4195220,69.44975035999995,55.55769608000002,83.12000027999993,88.49602884,100.0,0.0,10.0,0.001,3.636,,2.19,4.6370000000000005,2.846,,,,,,60.0,50.0,1572387068.191,1572387067.895,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment6_3296000_av.ts?null=0,100.0
6,-0.008,7.323098407156884,,6.530156215621562,7.226754337899544,3.371593702825102,2.8637301475755446,,,,,3459605.0,-1,32.62000012397766,0,0,6,2374364.0,4,88.73671399999996,5,5.0,,4.0,3.0,3.0,2.0,,,,,-1,1577825.0,841476.0,2369520.0,3459605.0,3459605.0,1972308,1051860,2961940,4324564,4324564,83.14120692000003,69.60168608000001,89.02522711999997,100.0,100.0,0.0,10.000133,0.001,4.583,,3.636,2.19,4.6370000000000005,2.846,,,,,70.0,60.0,1572387072.886,1572387072.866,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment7_3296000_av.ts?null=0,100.0
7,-0.008,7.390837855159154,,7.323098407156884,6.530156215621562,7.226754337899544,3.371593702825102,2.8637301475755446,,,,3255107.0,-1,37.82800006866455,0,0,7,3356176.0,5,100.0,5,5.0,,5.0,4.0,3.0,3.0,2.0,,,,0,2386396.0,1541750.0,3255107.0,3255107.0,3255107.0,2982996,1927188,4068884,4068884,4068884,86.46245735999996,81.54978372,100.0,100.0,100.0,0.0,10.0,0.001,4.681,,4.583,3.636,2.19,4.6370000000000005,2.846,,,,80.0,70.0,1572387077.715,1572387077.658,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment8_3296000_av.ts?null=0,100.0
8,-0.008,7.428359653126426,,7.390837855159154,7.323098407156884,6.530156215621562,7.226754337899544,3.371593702825102,2.8637301475755446,,,3476480.0,-1,43.28500008583069,0,0,8,3459605.0,5,100.0,5,5.0,,5.0,5.0,4.0,3.0,3.0,2.0,,,0,2410449.0,1592277.0,3476480.0,3476480.0,3476480.0,3013076,1990356,4345620,4345620,4345620,93.1145268,89.31052471999998,100.0,100.0,100.0,0.0,10.000045,0.001,4.382,,4.681,4.583,3.636,2.19,4.6370000000000005,2.846,,,90.0,80.0,1572387082.223,1572387082.201,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment9_3296000_av.ts?null=0,100.0
9,-0.008,7.205173056994817,,7.428359653126426,7.390837855159154,7.323098407156884,6.530156215621562,7.226754337899544,3.371593702825102,2.8637301475755446,,3233449.0,-1,48.354000091552734,0,0,9,3255107.0,5,100.0,5,5.0,,5.0,5.0,5.0,4.0,3.0,3.0,2.0,,0,2374364.0,1556188.0,3233449.0,3233449.0,3233449.0,2967956,1945236,4041812,4041812,4041812,86.97587183999994,83.27070520000005,100.0,100.0,100.0,0.0,10.0,0.001,4.825,,4.382,4.681,4.583,3.636,2.19,4.6370000000000005,2.846,,100.0,90.0,1572387087.1529999,1572387087.132,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment10_3296000_av.ts?null=0,100.0
