,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8670547147846333,,,,,,,,,,,492535.0,615700,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,492535.0,492535.0,492535.0,769258.0,1430986.0,615700,615700,615700,961620,1788820,60.00757274900396,60.00757274900396,60.00757274900396,74.23549669322713,87.49168521912354,0.0,10.000489,1.718,,,,,,,,,,,10.0,0.0,1572259197.369,1572259195.61,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment1_476000_av.ts,60.00757274900396
1,2.850516313993174,,,,,,,,,,,2088003.0,2610004,9.815000057220459,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,466089.0,466089.0,466089.0,730793.0,1387740.0,582612,582612,582612,913492,1734676,54.03128703999999,54.03128703999999,54.03128703999999,71.14750840000005,87.11679844,1.7590000629425049,10.0,7.325,,,,,,,,,,,20.0,10.0,1572259204.918,1572259197.554,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment2_2296000_av.ts,91.8826188
2,-0.008,,,,,,,,,,,2234793.0,-1,12.394999980926514,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,487747.0,487747.0,487747.0,764483.0,1486403.0,609684,609684,609684,955604,1858004,51.42934568000001,51.42934568000001,51.42934568000001,68.19946175999999,85.33777567999998,0.0,10.0,0.001,,,,,,,,,,,30.0,20.0,1572259205.007,1572259204.974,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment3_2296000_av.ts,90.94995344000006
3,-0.008,2.850516313993174,,,,,,,,,,764483.0,-1,3.6480000019073486,0,0,2,2088003.0,3,91.8826188,1,3.0,,,,,,,,,,2,1486403.0,764483.0,2234793.0,3168476.0,3168476.0,1858004,955604,2793492,3960596,3960596,85.33777567999998,68.19946175999999,90.94995344000006,100.0,100.0,0.0,10.0,0.001,7.325,,,,,,,,,,30.0,20.0,1572259213.749,1572259213.721,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment3_776000_av.ts,68.19946175999999
4,-0.008,3.044536837913182,,2.850516313993174,,,,,,,,1532077.0,-1,11.072999954223633,0,0,3,2234793.0,3,90.94995344000006,3,1.0,,3.0,,,,,,,,0,1036374.0,559921.0,1532077.0,2191410.0,2191410.0,1295508,699924,1915156,2739348,2739348,85.81870903999997,70.60378331999998,91.28682051999996,100.0,100.0,0.0,10.000311,0.001,2.511,,7.325,,,,,,,,40.0,30.0,1572259216.309,1572259216.296,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment4_2296000_av.ts,91.28682051999996
5,-0.008,3.355507665352606,,3.044536837913182,2.850516313993174,,,,,,,1493622.0,-1,16.43400001525879,0,0,4,764483.0,1,68.19946175999999,3,3.0,,1.0,3.0,,,,,,,-2,340956.0,340956.0,519030.0,985872.0,1493622.0,426196,426196,648788,1232340,1867028,54.86517371999999,54.86517371999999,69.44241503999997,83.73872607999998,88.75670400000006,0.0,10.0,0.001,4.566,,2.511,7.325,,,,,,,50.0,40.0,1572259220.948,1572259220.935,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment5_2296000_av.ts,88.75670400000006
6,-0.008,3.17521768707483,,3.355507665352606,3.044536837913182,2.850516313993174,,,,,,1883459.0,-1,21.649999856948853,0,0,5,1532077.0,3,91.28682051999996,3,3.0,,3.0,1.0,3.0,,,,,,0,1310736.0,641756.0,1883459.0,2855644.0,2855644.0,1638420,802196,2354324,3569556,3569556,80.61880868000004,64.09942059999999,86.46132191999996,100.0,100.0,0.0,10.0,0.001,4.704,,4.566,2.511,7.325,,,,,,60.0,50.0,1572259225.736,1572259225.719,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment6_2296000_av.ts,86.46132191999996
7,-0.008,2.9223571761055083,,3.17521768707483,3.355507665352606,3.044536837913182,2.850516313993174,,,,,1724613.0,-1,25.108999967575073,0,0,6,1493622.0,3,88.75670400000006,3,3.0,,3.0,3.0,1.0,3.0,,,,,0,1118209.0,588808.0,1724613.0,2574061.0,2574061.0,1397780,736020,2155796,3217620,3217620,78.9746984399999,64.23336803999999,84.62269207999995,100.0,100.0,0.0,10.000133,0.001,6.445,,4.704,4.566,2.511,7.325,,,,,70.0,60.0,1572259232.271,1572259232.26,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment7_2296000_av.ts,84.62269207999995
8,-0.008,3.096295870736086,,2.9223571761055083,3.17521768707483,3.355507665352606,3.044536837913182,2.850516313993174,,,,2051907.0,-1,29.480000019073486,0,0,7,1883459.0,3,86.46132191999996,3,3.0,,3.0,3.0,3.0,1.0,3.0,,,,0,1320361.0,697104.0,2051907.0,3012060.0,3012060.0,1650452,871380,2564884,3765076,3765076,81.18652176,68.27220688000007,86.49676156000002,100.0,100.0,0.0,10.0,0.001,5.57,,6.445,4.704,4.566,2.511,7.325,,,,80.0,70.0,1572259237.902,1572259237.889,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment8_2296000_av.ts,86.49676156000002
9,-0.008,2.7901920043513733,,3.096295870736086,2.9223571761055083,3.17521768707483,3.355507665352606,3.044536837913182,2.850516313993174,,,2061523.0,-1,32.056999921798706,0,0,8,1724613.0,3,84.62269207999995,3,3.0,,3.0,3.0,3.0,3.0,1.0,3.0,,,0,1375702.0,754854.0,2061523.0,2951887.0,2951887.0,1719636,943572,2576916,3689876,3689876,80.08423691999995,65.85563255999996,85.54148991999998,100.0,100.0,0.0,10.000045,0.001,7.354,,5.57,6.445,4.704,4.566,2.511,7.325,,,90.0,80.0,1572259245.3240001,1572259245.312,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment9_2296000_av.ts,85.54148991999998
10,-0.008,3.3493627944760354,,2.7901920043513733,3.096295870736086,2.9223571761055083,3.17521768707483,3.355507665352606,3.044536837913182,2.850516313993174,,2210729.0,-1,35.8289999961853,0,0,9,2051907.0,3,86.49676156000002,3,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,3.0,,0,1481590.0,798172.0,2210729.0,3002435.0,3002435.0,1851988,997716,2763412,3753044,3753044,81.76027232000001,67.36389352000005,87.22268292000004,100.0,100.0,0.0,10.0,0.001,6.155,,7.354,5.57,6.445,4.704,4.566,2.511,7.325,,100.0,90.0,1572259251.552,1572259251.54,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment10_2296000_av.ts,87.22268292000004
11,-0.008,3.1180953455571223,,3.3493627944760354,2.7901920043513733,3.096295870736086,2.9223571761055083,3.17521768707483,3.355507665352606,3.044536837913182,2.850516313993174,2172227.0,-1,38.66100001335144,0,0,10,2061523.0,3,85.54148991999998,3,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0,1462339.0,776515.0,2172227.0,3158851.0,3158851.0,1827924,970644,2715284,3948564,3948564,84.01142607999998,67.63727923999997,90.03453828000002,100.0,100.0,0.0,10.0,0.001,7.09,,6.155,7.354,5.57,6.445,4.704,4.566,2.511,7.325,110.0,100.0,1572259258.723,1572259258.708,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment11_2296000_av.ts,90.03453828000002
