,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8670547147846333,,,,,,,,,,,492535.0,615700,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,492535.0,492535.0,492535.0,769258.0,1430986.0,615700,615700,615700,961620,1788820,60.00757274900396,60.00757274900396,60.00757274900396,74.23549669322713,87.49168521912354,0.0,10.000489,1.718,,,,,,,,,,,10.0,0.0,1572346268.333,1572346266.54,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment1_476000_av.ts,60.00757274900396
1,-1.1042097998619738e-06,,,,,,,,,,,2088003.0,-1,0.0,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,466089.0,466089.0,466089.0,730793.0,1387740.0,582612,582612,582612,913492,1734676,54.03128703999999,54.03128703999999,54.03128703999999,71.14750840000005,87.11679844,1.998000144958496,10.0,7.245,,,,,,,,,,,20.0,10.0,1572346276.042,1572346268.538,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment2_2296000_av.ts,91.8826188
2,-0.008,,,,,,,,,,,466089.0,-1,0.0,0,0,1,492535.0,0,60.00757274900396,0,,,,,,,,,,,0,466089.0,466089.0,466089.0,730793.0,1387740.0,582612,582612,582612,913492,1734676,54.03128703999999,54.03128703999999,54.03128703999999,71.14750840000005,87.11679844,8.679999828338623,10.0,0.001,,,,,,,,,,,20.0,10.0,1572346277.254,1572346277.218,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment2_476000_av.ts,54.03128703999999
3,-0.008,2.3421587939698494,,,,,,,,,,1486403.0,-1,9.82699990272522,0,0,2,2088003.0,3,91.8826188,2,0.0,,,,,,,,,,1,1486403.0,764483.0,2234793.0,3168476.0,3168476.0,1858004,955604,2793492,3960596,3960596,85.33777567999998,68.19946175999999,90.94995344000006,100.0,100.0,2.0260000228881836,10.0,0.001,1.99,,,,,,,,,,30.0,20.0,1572346279.607,1572346279.417,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment3_1496000_av.ts,85.33777567999998
4,-0.008,2.6429644381223327,,2.3421587939698494,,,,,,,,1036374.0,-1,13.953999996185303,0,0,3,466089.0,0,54.03128703999999,2,2.0,,0.0,,,,,,,,-2,374634.0,374634.0,374634.0,559921.0,1036374.0,468308,468308,468308,699924,1295508,54.721821479999974,54.721821479999974,54.721821479999974,70.60378331999998,85.81870903999997,0.0,10.000311,0.001,5.6240000000000006,,1.99,,,,,,,,40.0,30.0,1572346285.313,1572346285.29,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment4_1496000_av.ts,85.81870903999997
5,-0.008,2.186050200379667,,2.6429644381223327,2.3421587939698494,,,,,,,985872.0,-1,19.138000011444092,0,0,4,1486403.0,2,85.33777567999998,2,2.0,,2.0,0.0,,,,,,,0,519030.0,340956.0,985872.0,1493622.0,2203510.0,648788,426196,1232340,1867028,2754388,69.44241503999997,54.86517371999999,83.73872607999998,88.75670400000006,100.0,0.0,10.0,0.001,4.741,,5.6240000000000006,1.99,,,,,,,50.0,40.0,1572346290.125,1572346290.106,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment5_1496000_av.ts,83.73872607999998
6,-0.008,3.2154990215264183,,2.186050200379667,2.6429644381223327,2.3421587939698494,,,,,,1310736.0,-1,26.019999980926514,0,0,5,1036374.0,2,85.81870903999997,2,2.0,,2.0,2.0,0.0,,,,,,0,641756.0,420368.0,1310736.0,1883459.0,2855644.0,802196,525460,1638420,2354324,3569556,64.09942059999999,48.66013304000001,80.61880868000004,86.46132191999996,100.0,0.0,10.0,0.001,3.0660000000000003,,4.741,5.6240000000000006,1.99,,,,,,60.0,50.0,1572346293.2549999,1572346293.224,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment6_1496000_av.ts,80.61880868000004
7,-0.008,1.865019920318725,,3.2154990215264183,2.186050200379667,2.6429644381223327,2.3421587939698494,,,,,1118209.0,-1,28.908999919891357,0,0,6,985872.0,2,83.73872607999998,2,2.0,,2.0,2.0,2.0,0.0,,,,,0,588808.0,384266.0,1118209.0,1724613.0,2574061.0,736020,480340,1397780,2155796,3217620,64.23336803999999,50.33281235999999,78.9746984399999,84.62269207999995,100.0,0.0,10.000133,0.001,7.0280000000000005,,3.0660000000000003,4.741,5.6240000000000006,1.99,,,,,70.0,60.0,1572346300.3630002,1572346300.335,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment7_1496000_av.ts,78.9746984399999
8,-0.008,1.865019920318725,,3.2154990215264183,2.186050200379667,2.6429644381223327,2.3421587939698494,,,,,588808.0,-1,19.997999906539917,0,0,6,1310736.0,2,80.61880868000004,1,2.0,,2.0,2.0,2.0,0.0,,,,,1,588808.0,384266.0,1118209.0,1724613.0,2574061.0,736020,480340,1397780,2155796,3217620,64.23336803999999,50.33281235999999,78.9746984399999,84.62269207999995,100.0,0.0,10.000133,0.001,7.0280000000000005,,3.0660000000000003,4.741,5.6240000000000006,1.99,,,,,70.0,60.0,1572346309.664,1572346309.246,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment7_776000_av.ts,64.23336803999999
9,-0.008,2.20861215303826,,1.865019920318725,3.2154990215264183,2.186050200379667,2.6429644381223327,2.3421587939698494,,,,1320361.0,-1,26.88100004196167,0,0,7,1118209.0,2,78.9746984399999,2,1.0,,2.0,2.0,2.0,2.0,0.0,,,,0,697104.0,451651.0,1320361.0,2051907.0,3012060.0,871380,564564,1650452,2564884,3765076,68.27220688000007,55.98752948000002,81.18652176,86.49676156000002,100.0,0.0,10.0,0.001,2.666,,7.0280000000000005,3.0660000000000003,4.741,5.6240000000000006,1.99,,,,80.0,70.0,1572346312.694,1572346312.363,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190927_1925_sendung_bet/3/190927_1925_sendung_bet.smil/segment8_1496000_av.ts,81.18652176
