,bandwidth_mbit,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8668539465506524,461254.0,576596,0.0,0,0,0,0.0,0.0,0.0,0,0.0,461254.0,461254.0,461254.0,718726.0,1276983.0,576596.0,576596.0,576596.0,898452.0,1596308.0,44.37869980079682,44.37869980079682,44.37869980079682,59.98412358565736,77.90539135458167,0.0,10.000489,1.609,10.0,0.0,1576434843.6590002,1576434842.028,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment1_476000_av.ts,44.37869980079682
1,2.852429501741633,1883459.0,2354324,0.0,0,0,1,0.0,0.0,0.0,3,-3.0,463683.0,463683.0,463683.0,709136.0,1262608.0,579604.0,579604.0,579604.0,886420.0,1578260.0,50.47452316,50.47452316,50.47452316,66.70356699999998,83.90817812,1.7569999694824219,10.0,6.603,20.0,10.0,1576434850.4780002,1576434843.785,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment2_2296000_av.ts,90.03723048000003
2,3.627430778142498,1878646.0,2348308,,0,0,2,,,,3,,,,,,,,,,,,,,,,,,10.0,5.179,30.0,20.0,1576434855.7380002,1576434850.532,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment3_2296000_av.ts,94.98047516
3,3.8660752051918306,2025373.0,2531796,,0,0,3,,,,3,,,,,,,,,,,,,,,,,,10.000311,5.239,40.0,30.0,1576434861.0660002,1576434855.811,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment4_2296000_av.ts,92.29133175999998
4,3.713648843087692,1909929.0,2387412,,0,0,4,,,,3,,,,,,,,,,,,,,,,,,10.0,5.143,50.0,40.0,1576434866.3079998,1576434861.149,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment5_2296000_av.ts,90.86842284
5,3.7986632390745503,2068752.0,2585940,,0,0,5,,,,3,,,,,,,,,,,,,,,,,,10.0,5.446,60.0,50.0,1576434871.8219998,1576434866.36,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment6_2296000_av.ts,92.707203
6,3.7808677334413607,1866589.0,2333268,,0,0,6,,,,3,,,,,,,,,,,,,,,,,,10.000133,4.937,70.0,60.0,1576434876.832,1576434871.879,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment7_2296000_av.ts,91.33730059999996
7,3.724253135024788,1277046.0,1596308,,0,0,7,,,,3,,,,,,,,,,,,,,,,,,10.0,3.4290000000000003,80.0,70.0,1576434880.3279998,1576434876.886,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment8_2296000_av.ts,88.11423647999997
8,3.7857144348734013,1450300.0,1812884,,0,0,8,,,,3,,,,,,,,,,,,,,,,,,10.000045,3.831,90.0,80.0,1576434884.2220001,1576434880.371,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment9_2296000_av.ts,90.04350427999996
9,3.783026432870976,1445494.0,1806868,,0,0,9,,,,3,,,,,,,,,,,,,,,,,,10.0,3.821,100.0,90.0,1576434888.104,1576434884.27,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment10_2296000_av.ts,89.33185055999998
10,3.6838549371633746,2051907.0,2564884,,0,0,10,,,,3,,,,,,,,,,,,,,,,,,10.0,5.57,110.0,100.0,1576434893.744,1576434888.155,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment11_2296000_av.ts,90.23208355999995
11,3.807020408163265,1753474.0,2191892,,0,0,11,,,,3,,,,,,,,,,,,,,,,,,10.000223,4.606,120.0,110.0,1576434898.414,1576434893.793,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment12_2296000_av.ts,88.04771692
12,3.6777093425605534,1700572.0,2125716,,0,0,12,,,,3,,,,,,,,,,,,,,,,,,10.0,4.624,130.0,120.0,1576434903.095,1576434898.456,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment13_2296000_av.ts,86.94583648
13,3.693443227264823,2124099.0,2655124,,0,0,13,,,,3,,,,,,,,,,,,,,,,,,10.0,5.751,140.0,130.0,1576434908.903,1576434903.138,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment14_2296000_av.ts,88.87910532000004
14,3.7034146341463416,2140858.0,2676180,,0,0,14,,,,3,,,,,,,,,,,,,,,,,,10.0004,5.781,150.0,140.0,1576434914.756,1576434908.961,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment15_2296000_av.ts,90.21108484000004
15,3.6610944193061843,2427305.0,3034132,,0,0,15,,,,3,,,,,,,,,,,,,,,,,,10.0,6.63,160.0,150.0,1576434921.461,1576434914.805,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment16_2296000_av.ts,92.13264248
16,3.6784697019325256,1123036.0,1403796,,0,0,16,,,,3,,,,,,,,,,,,,,,,,,10.0,3.053,170.0,160.0,1576434924.596,1576434921.51,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment17_2296000_av.ts,90.02762084
17,3.7196888045540795,1568130.0,1960276,,0,0,17,,,,3,,,,,,,,,,,,,,,,,,10.000577999999999,4.216,180.0,170.0,1576434928.8700001,1576434924.637,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment18_2296000_av.ts,90.41283448000004
18,3.747664909197422,1279452.0,1599316,,0,0,18,,,,3,,,,,,,,,,,,,,,,,,10.0,3.414,190.0,180.0,1576434932.3479998,1576434928.919,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment19_2296000_av.ts,90.18920404000004
19,3.790236905020647,1743888.0,2179860,,0,0,19,,,,3,,,,,,,,,,,,,,,,,,10.0,4.601,200.0,190.0,1576434936.995,1576434932.376,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment20_2296000_av.ts,91.59919139999997
20,3.7499765929778928,2306808.0,2883732,,0,0,20,,,,3,,,,,,,,,,,,,,,,,,10.000767,6.152,210.0,200.0,1576434943.216,1576434937.043,https://zdfvodnone-vh.akamaihd.net/i/meta-files/tivi/smil/m3u8/300/19/09/190923_mauerfall_sendung_pur/3/190923_mauerfall_sendung_pur.smil/segment21_2296000_av.ts,93.24384776
