,bandwidth_mbit,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.7330429570429566,273564.0,341972,0.0,0,0,0,0.0,0.0,0.0,0,0.0,273564.0,273564.0,273564.0,533442.0,851071.0,341972.0,341972.0,341972.0,666836.0,1063892.0,47.073341795918395,47.073341795918395,47.073341795918395,70.22816820408164,78.57609510204078,0.0,10.000489,1.0010000000000001,10.0,0.0,1576428208.933,1576428207.921,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment1_229000_av.ts,47.073341795918395
1,2.8611204911742134,1491216.0,1864020,0.0,0,0,1,0.0,0.0,0.0,3,-3.0,263952.0,263952.0,263952.0,516624.0,800579.0,329940.0,329940.0,329940.0,645780.0,1000724.0,27.044455469387735,27.044455469387735,27.044455469387735,57.50175620408157,70.0184067755102,1.1070001125335693,10.0,5.212,20.0,10.0,1576428214.828,1576428209.028,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment2_1496000_av.ts,81.55144918367344
2,2.9429365020423317,1585065.0,1981332,,0,0,2,,,,3,,,,,,,,,,,,,,,,,,10.0,5.386,30.0,20.0,1576428220.269,1576428214.871,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment3_1496000_av.ts,78.54548265306127
3,3.7294609894166872,1515232.0,1894100,,0,0,3,,,,3,,,,,,,,,,,,,,,,,,10.000311,4.063,40.0,30.0,1576428224.48,1576428220.405,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment4_1496000_av.ts,80.5509293877551
4,3.3631286795626574,1599504.0,1999380,,0,0,4,,,,3,,,,,,,,,,,,,,,,,,10.0,4.756,50.0,40.0,1576428229.302,1576428224.535,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment5_1496000_av.ts,76.12320636734695
5,3.7596349514563103,1548969.0,1936212,,0,0,5,,,,3,,,,,,,,,,,,,,,,,,10.0,4.12,60.0,50.0,1576428233.478,1576428229.347,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment6_1496000_av.ts,75.42803387755104
6,2.8320116830960207,1551355.0,1939220,,0,0,6,,,,3,,,,,,,,,,,,,,,,,,10.000133,5.478,70.0,60.0,1576428247.71,1576428242.209,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment7_1496000_av.ts,75.85235665306122
7,2.8425173635719343,1604316.0,2005396,,0,0,7,,,,3,,,,,,,,,,,,,,,,,,10.0,5.644,80.0,70.0,1576428253.395,1576428247.74,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment8_1496000_av.ts,85.09324297959185
8,2.840741159830269,1606715.0,2008404,,0,0,8,,,,3,,,,,,,,,,,,,,,,,,10.000045,5.656,90.0,80.0,1576428259.1330001,1576428253.466,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment9_1496000_av.ts,78.5611587346939
9,2.8490542291319634,1539344.0,1924180,,0,0,9,,,,3,,,,,,,,,,,,,,,,,,10.0,5.4030000000000005,100.0,90.0,1576428264.592,1576428259.178,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment10_1496000_av.ts,81.17748597560977
10,3.095506578947368,1505654.0,1882068,,0,0,10,,,,3,,,,,,,,,,,,,,,,,,10.0,4.864,110.0,100.0,1576428269.5189998,1576428264.643,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment11_1496000_av.ts,83.25145387755106
11,3.873229871077597,1592249.0,1990356,,0,0,11,,,,3,,,,,,,,,,,,,,,,,,10.000223,4.111,120.0,110.0,1576428273.677,1576428269.555,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment12_1496000_av.ts,91.08074453061226
12,3.7323856905946453,1575440.0,1969300,,0,0,12,,,,3,,,,,,,,,,,,,,,,,,10.0,4.221,130.0,120.0,1576428277.9510002,1576428273.719,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment13_1496000_av.ts,81.2551644081633
13,3.754168659127625,2323830.0,2904788,,0,0,13,,,,4,,,,,,,,,,,,,,,,,,10.0,6.19,140.0,130.0,1576428284.27,1576428277.991,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment14_2296000_av.ts,86.952828
14,3.829422699968384,2422395.0,3028116,,0,0,14,,,,4,,,,,,,,,,,,,,,,,,10.0004,6.3260000000000005,150.0,140.0,1576428290.68,1576428284.342,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment15_2296000_av.ts,83.86920816326528
15,3.8210197109067012,2326236.0,2907796,,0,0,15,,,,4,,,,,,,,,,,,,,,,,,10.0,6.088,160.0,150.0,1576428296.846,1576428290.746,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment16_2296000_av.ts,85.94746102040811
16,3.7351748538935396,2364739.0,2955924,,0,0,16,,,,4,,,,,,,,,,,,,,,,,,10.0,6.331,170.0,160.0,1576428303.265,1576428296.921,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment17_2296000_av.ts,83.53989755102045
17,3.8907237939493045,2379040.0,2973972,,0,0,17,,,,4,,,,,,,,,,,,,,,,,,10.000577999999999,6.115,180.0,170.0,1576428309.464,1576428303.336,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment18_2296000_av.ts,87.19645097959183
18,3.7612459707787314,2497091.0,3121364,,0,0,18,,,,4,,,,,,,,,,,,,,,,,,10.0,6.639,190.0,180.0,1576428316.168,1576428309.514,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment19_2296000_av.ts,82.04595644897964
